"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Manulife Financial Corporation","Manulife Financial","$1,000,000","$0","$1,000,000","2004","20040503","financial offenses","investor protection violation","premerger notification violation","Manulife Financial Corporation, a Canadian-based insurance and financial services company, agreed to pay a $1 million civil penalty to settle charges that the company violated antitrust premerger notification requirements when it acquired more than $50 million of John Hancock common stock in the spring of 2003.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://www.justice.gov/archive/atr/public/press_releases/2004/203532.htm",""
"John Hancock Investment Management Services, LLC","Manulife Financial","$19,787,879","$0","$19,787,879","2007","20070625","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://www.sec.gov/litigation/admin/2007/34-55946.pdf",""
"John Hancock Assignment Co.","Manulife Financial","$38,910","$0","$38,910","2014","20140711","financial offenses","tax violations","","failure to pay out-of-state business registration fee","state","agency action","Connecticut Attorney General","civil","","","","","","Connecticut","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://portal.ct.gov/AG/Press-Releases-Archived/2014-Press-Releases/Merrill--Jepsen-Collect-16-Million-in-Penalties-from-Companies-Transacting-Business-in-Connecticut-W",""
"John Hancock Life Insurance Co.","Manulife Financial","$550,000","$0","$550,000","2014","20140926","financial offenses","investor protection violation","financial institution supervision failures","John Hancock Life Insurance Co. agreed to pay more than $550,000 in refunds in settlement of allegations it failed to properly supervise one of its representatives.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://web.archive.org/web/20141022013509/http://www.mass.gov/ago/news-and-updates/press-releases/2014/2014-09-26-john-hancock-aod.html",""
"John Hancock Life Insurance Co.","Manulife Financial","$40,000","$0","$40,000","2013","20130621","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://web.archive.org/web/20130715214635/http://www.mass.gov/ago/news-and-updates/press-releases/2013/insurance-co-to-pay-40k-for-giving-false-coverage-info.html",""
"John Hancock Life Insurance Co.","Manulife Financial","$3,000,000","$0","$3,000,000","2011","20110519","consumer-protection-related offenses","insurance violation","","John Hancock Life agreed to pay $3 million to settle multistate litigation regarding its use of the Social Security Administration's Death Master File.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Canada","","publicly traded","MFC","financial services","insurance","John Hancock Pays $3M in Settlement, States News Service, May 19, 2011 (via Nexis).",""
"John Hancock Life Insurance Co.","Manulife Financial","$70,000","$0","$70,000","2011","20110316","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"John Hancock Life Insurance Co. (USA) et al.","Manulife Financial","$200,000","$0","$200,000","2012","20120815","consumer-protection-related offenses","insurance violation","","John Hancock Life Insurance Company (USA), John Hancock Life and Health Insurance Company of New Yorks, and John Hancock Life and Health Insurance Co. agreed to pay a $200,000 civil penalty in settlement of allegations their previous use of the automatic default option establishing a retained asset account could result in an unsuitable arrangement for a beneficiary, in violation of state regulations.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={BBFF95BC-860F-49B6-BB92-BD9140CB9E7B}",""
"John Hancock Life Insurance Co. (USA) et al.","Manulife Financial","$900,000","$0","$900,000","2015","20150715","consumer-protection-related offenses","insurance violation","","John Hancock Life Insurance Company (USA), John Hancock Life Insurance Company of NY, and John Hancock Life and Health Insurance Company agreed to pay $900,000 to the state as part of a settlement of allegations they had inadequate procedures to ensure policies and other funds were timely investigated and paid out to beneficiaries.","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={AB2EC9FD-9347-4FA2-A8F8-D5FD8DCE84B5}",""
"John Hancock Life & Health Insurance Co.","Manulife Financial","$5,000","$0","$5,000","2016","20161205","consumer-protection-related offenses","insurance violation","","","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Canada","","publicly traded","MFC","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={26EF1AC5-4CFE-4076-BC9A-0365E9866413}",""
