"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Marathon Oil Co.","Marathon Oil","$30,000","$0","$30,000","2008","20080714","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.bsee.gov/site-page/2008-civil-penalties",""
"Marathon Oil Company","Marathon Oil","$10,840","$0","$10,840","2012","20120930","government-contracting-related offenses","federal leasing royalty violation","data submission deficiencies","Company failed to correct royalty reports to reflect Index Zone prices.","federal","agency action","Interior Department Office of Natural Resources Revenue","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.onrr.gov/compliance/PDFDocs/2012.pdf",""
"Marathon Oil Company","Marathon Oil","$7,700,000","$0","$7,700,000","2001","20010207","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Marathon Oil agreed to pay $7.7 million to resolve claims under the False Claims Act and administrative claims that the Houston-based corporation underpaid royalties due for oil produced on federal and Indian leases between 1988 and 1998.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2001/February/058civ.htm",""
"Marathon Oil Company","Marathon Oil","$4,697,476","$0","$4,697,476","2010","20100820","government-contracting-related offenses","False Claims Act and related","federal leasing royalty violation","Dominion Oklahoma Texas Exploration & Production Inc. and Marathon Oil Company agreed to pay the United States $2,219,974.98 and $4,697,476.57, respectively, to resolve claims that the two companies separately violated the False Claims Act by knowingly underpaying royalties owed on natural gas produced from federal and Indian leases.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.justice.gov/opa/pr/dominion-marathon-oil-pay-69-million-resolve-allegations-royalty-underpayments-american",""
"Marathon Oil Company","Marathon Oil","$40,000","$0","$40,000","2006","20061109","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.bsee.gov/site-page/2006-civil-penalties",""
"MARATHON OIL COMPANY","Marathon Oil","$8,000","$0","$8,000","2008","20080516","safety-related offenses","motor vehicle safety violation","","WY-2008-0013-US0141","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","HOUSTON","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"Marathon Oil Company","Marathon Oil","$7,500","$0","$7,500","2009","20091106","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Marathon Oil Company","Marathon Oil","$5,000","$0","$5,000","2010","20100610","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"Marathon Oil Co.","Marathon Oil","$400,000","$0","$400,000","2001","20011116","environment-related offenses","environmental violation","","Marathon Oil Co. agreed to pay over $400,000 in settlement of allegations it violated state and federal laws as a result of oil pipeline spills in 16 Illinois counties.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://web.archive.org/web/20020630213511/http://www.ag.state.il.us/pressrelease/111601b.htm",""
"Marathon Oil Co.","Marathon Oil","$22,000","$0","$22,000","2000","20001208","environment-related offenses","environmental violation","","Marathon Oil Co. agreed to pay $22,000 in settlement of allegations it violated underground storate tank regulations at an abandoned gasoline station.","state","agency action","Illinois Attorney General","civil","","","","","","Illinois","Springfield","","","","","USA","Texas","publicly traded","MRO","oil and gas","oil & gas","https://web.archive.org/web/20010308211626/http://www.ag.state.il.us/pressrelease/120800.htm",""
