"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"BP Products North America Inc.","Marathon Petroleum","$179,000,000","$0","$179,000,000","2009","20090219","environment-related offenses","environmental violation","","BP Products North America Inc. agreed to spend more than $161 million on pollution controls, enhanced maintenance and monitoring, and improved internal management practices to resolve Clean Air Act violations at its Texas City, Texas, refinery.  The company also agreed to pay a $12 million civil penalty and spend $6 million on a supplemental project to reduce air pollution in Texas City. The plant was later sold to Marathon Petroleum.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Texas","Texas City","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","https://www.justice.gov/opa/pr/bp-products-pay-nearly-180-million-settle-clean-air-violations-texas-city-refinery",""
"BP Products North America Inc.","Marathon Petroleum","$15,000,000","$0","$15,000,000","2010","20100930","environment-related offenses","environmental violation","","The Department of Justice and the Environmental Protection Agency announced  that BP Products North America agreed to pay a $15 million penalty to resolve federal Clean Air Act violations at its Texas City, Texas, petroleum refinery.  BP sold its petroleum refinery in Texas City to Marathon Petroleum in 2013.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","Texas","Texas City","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","http://www.justice.gov/opa/pr/bp-products-pay-largest-single-facility-clean-air-act-penalty-releases-hazardous-pollutants",""
"British Petroleum","Marathon Petroleum","$50,000,000","$0","$50,000,000","2007","20071025","environment-related offenses","environmental violation","","British Petroleum and several of its subsidiaries agreed to pay a $50 million criminal penalty for environmental violations stemming from a fatal explosion at a Texas refinery in March 2005. The facility was later sold to Marathon Petroleum.","federal","agency action","Justice Department Environment and Natural Resources Division","criminal","","","","","","Texas","Texas City","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2007/October/07_ag_850.html",""
"Giant Industries","Marathon Petroleum","$850,000","$0","$850,000","2005","20050803","environment-related offenses","environmental violation","","Giant Industries agreed to pay a $250,000 penalty and spend $600,000 on four approved supplemental environmental projects to resolve a Clean Air Act cases involving two facilities in northwestern New Mexico.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","New Mexico","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","https://yosemite.epa.gov/opa/admpress.nsf/0/504fb111fd84306b852570d6005e7f0b?OpenDocument",""
"Marathon Ashland Petroleum","Marathon Petroleum","$21,000","$0","$21,000","2006","20060502","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Ashland Petroleum","Marathon Petroleum","$8,500","$0","$8,500","2006","20060502","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Ashland Petroleum LLC","Marathon Petroleum","$275,300,000","$0","$275,300,000","2001","20010511","environment-related offenses","environmental violation","","To resolve a Clean Air Act case, the company agreed to spend $265 million to reduce emissions, pay a $3.8 million civil penalty and spend $6.5 million on supplementary environmental projects.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","https://www.justice.gov/archive/opa/pr/2001/May/217enrd.htm",""
"MARATHON ASHLAND PIPE LINE LLC","Marathon Petroleum","$25,000","$0","$25,000","2002","20021203","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_319965020.html?nocache=1436",""
"MARATHON ASHLAND PIPE LINE LLC","Marathon Petroleum","$6,000","$0","$6,000","2006","20060710","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320065031.html?nocache=9253",""
"Marathon, INc.","Marathon Petroleum","$10,001","$0","$10,001","2002","20020130","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Rhode Island","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Marathon Petroleum","Marathon Petroleum","$460,000","$0","$460,000","2012","20120405","environment-related offenses","environmental violation","","The Department of Justice and the U.S. Environmental Protection Agency announced an innovative environmental agreement with Ohio-based Marathon Petroleum Company that already has significantly reduced air pollution from all six of the company's petroleum refineries. ","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","http://www2.epa.gov/enforcement/marathon-petroleum-company-lp-and-catlettsburg-refining-llc-settlement-flaring",""
"Marathon Petroleum","Marathon Petroleum","$16,000","$0","$16,000","2007","20070418","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum","Marathon Petroleum","$8,400","$0","$8,400","2005","20050131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum","Marathon Petroleum","$8,000","$0","$8,000","2007","20070110","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum","Marathon Petroleum","$8,000","$0","$8,000","2006","20061115","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum","Marathon Petroleum","$7,500","$0","$7,500","2005","20050131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum","Marathon Petroleum","$7,500","$0","$7,500","2005","20050131","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Marathon Petroleum Company","Marathon Petroleum","$334,912,500","$0","$334,912,500","2016","20160609","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency and the Department of Justice announced an agreement with Marathon Petroleum Company to reduce air pollution from the company's petroleum refineries in Illinois, Kentucky, Louisiana, Michigan and Ohio.  Marathon agreed to spend $319 million to install state-of-the-art Flare Gas Recovery Systems, which will capture and recycle gases that would otherwise be sent to combustion devices known as flares.  Marathon also agreed to spend $15.55 million on projects to reduce air pollution at three of the facilities and pay a civil penalty of $326,500 to the United States.","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MPC","oil and gas","oil & gas","https://www.justice.gov/opa/pr/marathon-petroleum-company-reduce-air-pollution-refineries-five-states",""
