"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"M & M Mars","Mars Incorporated","$25,000","$0","$25,000","2009","20090729","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","10-CA-37861-001","","","Tennessee","Cleveland","","37311","311320","311320: Chocolate and Confectionery Manufacturing from Cacao Beans","USA","Virginia","privately held","","food products","food products","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MARS WRIGLEY CONFECTIONERY US LLC","Mars Incorporated","$20,300","$0","$20,300","2019","20190410","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Virginia","privately held","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"MARS INC","Mars Incorporated","$11,900","$0","$11,900","2000","20000503","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Virginia","privately held","","food products","food products","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"MARS PET CARE US INC","Mars Incorporated","$5,400","$0","$5,400","2008","20081203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","MCKENZIE","399 EUCLID AVENUE","38201","311111","311111: Dog and Cat Food Manufacturing","USA","Virginia","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MARS PETCARE US INC.","Mars Incorporated","$5,050","$0","$5,050","2009","20090616","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","SAN BERNARDINO","2765 LEXINGTON WAY","92407","311111","311111: Dog and Cat Food Manufacturing","USA","Virginia","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"WRIGLEY MANUFACTURING COMPANY LLC","Mars Incorporated","$6,500","$0","$6,500","2005","20050420","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","YORKVILLE","2800 NORTH RT. 47","60560","311340","311340: Nonchocolate Confectionery Manufacturing","USA","Virginia","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASTERFOODS USA","Mars Incorporated","$18,000","$0","$18,000","2004","20040601","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","VERNON","3376 EAST 44TH STREET","90058","311111","311111: Dog and Cat Food Manufacturing","USA","Virginia","privately held","","food products","food products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Mars Food US, LLC","Mars Incorporated","$38,000","$0","$38,000","2015","20150701","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","654415","","","Mississippi","Greenville ","","","","","USA","Virginia","privately held","","food products","food products","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1088887",""
"MARS WRIGLEY CONFECTIONERY US LLC","Mars Incorporated","$9,000","$0","$9,000","2017","20170901","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","85443-NEA170001","","","New Jersey","","","","","","USA","Virginia","privately held","","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"MARS WRIGLEY CONFECTIONERY US LLC","Mars Incorporated","$15,300","$0","$15,300","2013","20130613","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","85443-NEA120001","","","New Jersey","","","","","","USA","Virginia","privately held","","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
