"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alamo Gulf Coast Railroad","Martin Marietta Materials","$9,000","$0","$9,000","2008","20080624","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Alamo Gulf Coast Railroad","Martin Marietta Materials","$5,500","$0","$5,500","2007","20070222","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Alamo Gulf Coast Railroad","Martin Marietta Materials","$5,000","$0","$5,000","2008","20080328","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Alamo Gulf Coast Railroad","Martin Marietta Materials","$5,000","$0","$5,000","2003","20031119","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"American Stone Inc.","Martin Marietta Materials","$41,003","$0","$41,003","2007","20070918","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1249446","","","New Jersey","Hillside","","07205","33711","33711: Wood Kitchen Cabinet and Countertop Manufacturing","USA","North Carolina","publicly traded","MLM","building materials","building materials","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Martin Marietta Materials","Martin Marietta Materials","$60,000","$0","$60,000","2002","20021220","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","32-CA-19484-001","","","Nevada","Sparks","","89436","423390","423390: Other Construction Material Merchant Wholesalers","USA","North Carolina","publicly traded","MLM","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Rock and Rail, LLC","Martin Marietta Materials","$5,000","$0","$5,000","2015","20150409","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Rock and Rail, LLC","Martin Marietta Materials","$5,000","$0","$5,000","2004","20040331","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"TXI TRANSPORTATION COMPANY","Martin Marietta Materials","$5,040","$0","$5,040","2006","20060519","safety-related offenses","motor vehicle safety violation","","TX-2006-1195-US0966","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","MIDLOTHIAN","","","","","USA","North Carolina","publicly traded","MLM","building materials","building materials","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"AMERICAN STONE, INCORPORATED","Martin Marietta Materials","$7,800","$0","$7,800","2009","20090318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","HYANNIS","150 & 160 ROSARY LANE","02601","327991","327991: Cut Stone and Stone Product Manufacturing","USA","North Carolina","publicly traded","MLM","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
