"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Gavilon, LLC.","Marubeni","$6,000","$0","$6,000","2013","20130506","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"GAVILON FERTILIZER, LLC.","Marubeni","$8,000","$0","$8,000","2014","20140512","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Helena Chemical","Marubeni","$12,800","$0","$12,800","2013","20131218","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency today announced settlements with two companies selling agricultural chemicals in Arizona and California over improper storage and containment of federally regulated pesticides.","federal","agency action","Environmental Protection Agency","civil","","","","","","California","Hanford","","","","","Japan","","publicly traded","","diversified","diversified","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/90f2623201eb56e585257c4600682b61.html",""
"Helena Chemical Company","Marubeni","$225,000","$0","$225,000","2015","20150504","environment-related offenses","environmental violation","","On or about May 22, 2013, Helena Chemical Corporation (Helena"") at a terminal located in Welch, Oklahoma, knowingly and willfully disposed of restricted use chemicals including, Atrazine and S-Metolachor, which are two of the main active ingredients in Medal II AT, a restricted use pesticide, in a manner inconsistent with the labeling for Medal II AT. Defendant was sentenced 36 months of probation, and to pay $150,000 Federal fine and $75,000 restitution.","federal","agency action","Environmental Protection Agency","criminal","","","","","","Oklahoma","","","","","","Japan","","publicly traded","","diversified","diversified","http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2700&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%227TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2K565NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8%28%0A",""
"HELENA CHEMICAL COMPANY","Marubeni","$7,500","$0","$7,500","2015","20150921","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"HELENA CHEMICAL COMPANY","Marubeni","$7,500","$0","$7,500","2009","20091110","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"HELENA CHEMICAL COMPANY","Marubeni","$6,910","$0","$6,910","2007","20070531","safety-related offenses","motor vehicle safety violation","","OH-2007-0135-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Tennessee","COLLIERVILLE","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
"Helena Chemical Company","Marubeni","$5,210","$0","$5,210","2007","20070614","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1469260","","","South Carolina","West Columbia","","29170","424690","424690: Other Chemical and Allied Products Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Marubeni Corporation","Marubeni","$88,000,000","$0","$88,000,000","2014","20140515","competition-related offenses","Foreign Corrupt Practices Act","","Marubeni Corporation, a Japanese trading company, was sentenced for its participation in a scheme to pay bribes to high-ranking government officials in Indonesia to secure a lucrative power project.","federal","agency action","Justice Department Criminal Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.justice.gov/opa/pr/marubeni-corporation-sentenced-foreign-bribery-violations",""
"Marubeni Corporation","Marubeni","$54,600,000","$0","$54,600,000","2012","20120117","competition-related offenses","Foreign Corrupt Practices Act","","Marubeni Corporation agreed to pay a $54.6 million criminal penalty to resolve charges related to the Foreign Corrupt Practices Act for its alleged participation in a decade-long scheme to bribe Nigerian government officials to obtain engineering, procurement and construction contracts.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.justice.gov/opa/pr/marubeni-corporation-resolves-foreign-corrupt-practices-act-investigation-and-agrees-pay-546",""
"Marubeni America Corporation","Marubeni","$800,000","$0","$800,000","2015","20150323","financial offenses","investor protection violation","securities issuance or trading violation","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","http://www.cftc.gov/PressRoom/PressReleases/pr7140-15",""
"COLUMBIA GRAIN, INC.","Marubeni","$5,760","$0","$5,760","2011","20110330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oregon","PORTLAND","15660 NORTH LOMBARD","97203","488320","488320: Marine Cargo Handling","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN, LLC DBA PEAVEY COMPANY","Marubeni","$17,850","$0","$17,850","2010","20101116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Iowa","DUBUQUE","505 EAST 7TH","52001","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KMA MANUFACTURING, LLC","Marubeni","$52,400","$0","$52,400","2007","20071227","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","VANPORT","685 STATE STREET","15009","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBIA GRAIN, INC.","Marubeni","$12,003","$0","$12,003","2009","20090825","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","PLENTYWOOD","HWY 16 SOUTH","59254","493130","493130: Farm Product Warehousing and Storage","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HELENA CHEMICAL","Marubeni","$7,910","$0","$7,910","2009","20090129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BLYTHE","10821 WEST 15TH AVENUE","92225","424910","424910: Farm Supplies Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KMA MANUFACTURING, LLC","Marubeni","$10,500","$0","$10,500","2008","20080130","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","VANPORT","685 STATE STREET","15009","332410","332410: Power Boiler and Heat Exchanger Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Helena Chemical Company","Marubeni","$21,300","$0","$21,300","2017","20170228","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","IA-2017-0503-US1443","","","Tennessee","Collierville","","","","","Japan","","publicly traded","","diversified","diversified","https://ai.fmcsa.dot.gov/SafetyProgram/spRptEnforcement.aspx?rpt=CLOSE",""
"Helena Chemical Company","Marubeni","$231,985","$0","$231,985","2012","20120312","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","Japan","","publicly traded","","diversified","diversified","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"HELENA CHEMICAL","Marubeni","$8,750","$0","$8,750","2015","20150209","environment-related offenses","environmental violation","","solid waste violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Camden","","","","","Japan","","publicly traded","","diversified","diversified","http://www.in.gov/idem/oe/cause/AO/22528-S.htm",""
"GAVILON GRAIN","Marubeni","$25,000","$0","$25,000","2017","20170921","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DAQ -150173","","","Kentucky","","","","","","Japan","","publicly traded","","diversified","diversified","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"Helena Chemical Company","Marubeni","$15,000","$0","$15,000","2017","20171020","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Thibodaux","","","","","Japan","","publicly traded","","diversified","diversified","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2017/HelenaChemical0019_Final.pdf",""
"Gavilon Fertilizer LLC","Marubeni","$20,000","$0","$20,000","2018","20180306","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","683818","","","Mississippi","Greenville ","","","","","Japan","","publicly traded","","diversified","diversified","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1274076",""
"Gavilon, L.L.C.","Marubeni","$5,000","$0","$5,000","2012","20121220","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Nebraska Department of Environmental Quality","civil","","","","","","Nebraska","","","","","","Japan","","publicly traded","","diversified","diversified","http://deq.ne.gov/Press.nsf/Judicial_2012.xsp",""
"Gavilon Grain LLC","Marubeni","$874,532","$0","$874,532","2011","20110505","environment-related offenses","environmental violation","","Gavilon Grain agreed to pay a $7,886 civil penalty and fund a Supplemental Environmental Project with an estimated cost of $866,646 in settlement of allegations it violated its emission permits by failing to apply oil to all grain received, exceeding the permitted amount of grain received by hopper truck, failing to monitor the amount of grain from straight truck deliveries, failing to keep records of truck deliveries, and failing to submit applications to modify a permit prior to construction and operation. The SEP provided credit to settle the remaining civil penalty of $172,870.","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","Clovis","","","","","Japan","","publicly traded","","diversified","diversified","https://cloud.env.state.nm.us/air/?c=358&k=91ab30fe46",""
"Helena Chemical Co.","Marubeni","$279,076","$0","$279,076","2008","20080730","environment-related offenses","environmental violation","","","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","Mesquite","","","","","Japan","","publicly traded","","diversified","diversified","https://web.archive.org/web/20170125205910/https://www.env.nm.gov/OOTS/documents/PR-NewHelena-7-29-08.pdf",""
"Helena Chemical Co.","Marubeni","$36,000","$0","$36,000","2006","20061027","environment-related offenses","environmental violation","","","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","","","","","","Japan","","publicly traded","","diversified","diversified","https://web.archive.org/web/20161229044209/https://www.env.nm.gov/OOTS/PR/PR%20Helena%20CO%2010-27-07.pdf",""
"Helena Chemical Co.","Marubeni","$233,777","$0","$233,777","2005","20050610","environment-related offenses","environmental violation","","","state","agency action","New Mexico Environment Department","civil","","","","","","New Mexico","","","","","","Japan","","publicly traded","","diversified","diversified","https://web.archive.org/web/20161221150025/https://www.env.nm.gov/OOTS/PR/Helena%20CO%20PR.pdf",""
"Gavilon Fertilizer, LLC","Marubeni","$94,780","$0","$94,780","2019","20190829","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2019.pdf",""
"Helena Chemical Company","Marubeni","$5,000","$0","$5,000","2009","20091113","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2010.pdf",""
"Gavilon Grain, LLC","Marubeni","$269,988","$0","$269,988","2021","20211025","environment-related offenses","environmental violation","","Gavilon agreed to pay $18,283 in fish restitution and investigative costs, $244,704 in mussel restitution and a penalty of $7,000 in settlement of allegations a release of liquid nitrogen fertilizer entered state waters and caused environmental damage.","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Dubuque","","","","","Japan","","publicly traded","","diversified","diversified","https://programs.iowadnr.gov/legal/documents/6377093751795588772021WW25.pdf",""
"Gavilon Fertilizer LLC","Marubeni","$8,850","$0","$8,850","2021","20211129","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","","","","Mississippi","Greenville","","","","","Japan","","publicly traded","","diversified","diversified","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1532639",""
"GAVILON GRAIN LLC DBA PEAVEY","Marubeni","$105,000","$0","$105,000","2010","20100917","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MORRAL","116 W. NEFF STREET","43337","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN LLC DBA PEAVEY CO.","Marubeni","$63,000","$0","$63,000","2010","20100928","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","HARPSTER","7211 SHAWNEE","43323","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON LLC DBA PEAVEY GRAIN","Marubeni","$6,250","$0","$6,250","2010","20100511","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","PAXTON","1995 E COUNTY ROAD 50","69155","493130","493130: Farm Product Warehousing and Storage","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBIA GRAIN INTERNATIONAL INC.","Marubeni","$8,000","$0","$8,000","2010","20100609","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","CARTER","883 MOUNTAIN VIEW RD","59420","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBIA GRAIN, INC.","Marubeni","$37,719","$0","$37,719","2011","20110125","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","CHOTEAU","#11 SOUTH MAIN STREET","59422","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN, LLC, DBA PEAVEY GRAIN","Marubeni","$22,000","$0","$22,000","2010","20101012","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WEST JEFFERSON","3345 WEST JEFFERSON-KIOUSVILLE ROAD","43162","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN, LLC, DBA PEAVEY GRAIN","Marubeni","$113,725","$0","$113,725","2010","20101014","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WEST JEFFERSON","3345 WEST JEFFERSON-KIOUSVILLE ROAD","43162","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KMA MANUFACTURING, LLC","Marubeni","$40,995","$0","$40,995","2011","20111129","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","VANPORT","685 STATE STREET","15009","332313","332313: Plate Work Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KMA MANUFACTURING, LLC","Marubeni","$14,355","$0","$14,355","2012","20120202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","VANPORT","685 STATE STREET","15009","332313","332313: Plate Work Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COLUMBIA GRAIN INTL","Marubeni","$6,300","$0","$6,300","2013","20131216","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","POMEROY","291 CENTRAL FERRY ROAD","99347","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN LLC","Marubeni","$9,500","$0","$9,500","2011","20110405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Montana","HARDIN","206 WEST RAILROAD","59034","493130","493130: Farm Product Warehousing and Storage","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN LLC","Marubeni","$6,930","$0","$6,930","2011","20110608","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","MORRAL","116 W. NEFF STREET","43337","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN, LLC","Marubeni","$6,000","$0","$6,000","2012","20121107","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kansas","WICHITA","5755 S. HOOVER RD.","67215","424510","424510: Grain and Field Bean Merchant Wholesalers","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"GAVILON GRAIN","Marubeni","$11,750","$0","$11,750","2013","20130719","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nebraska","NEBRASKA CITY","500 1ST TERRACE","68410","493130","493130: Farm Product Warehousing and Storage","Japan","","publicly traded","","diversified","diversified","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
