"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American Shower & Bath","Masco","$40,000","$0","$40,000","2000","20000918","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-27396-001","","","New Jersey","Moorestown","","08057","423690","423690: Other Electronic Parts and Equipment Merchant Wholesalers","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MASCO CORP","Masco","$5,775","$0","$5,775","2001","20010301","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Merillat L.L.C.","Masco","$39,854","$0","$39,854","2004","20040927","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1355507","","","Nevada","Las Vegas","","89119","33711","33711: Wood Kitchen Cabinet and Countertop Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Merillat Industries","Masco","$404,867","$0","$404,867","2006","20061231","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1429074","","","Nevada","Las Vegas","","89119","33711","33711: Wood Kitchen Cabinet and Countertop Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"BEHR PROCESS CORPORATION","Masco","$5,000","$0","$5,000","2008","20080307","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","MCDONOUGH","130 DECLARATION DRIVE","30253","325510","325510: Paint and Coating Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MILL'S PRIDE","Masco","$7,000","$0","$7,000","2006","20060209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","WAVERLY","423 HOPEWELL ROAD","45690","337110","337110: Wood Kitchen Cabinet and Countertop Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"BEHR PROCESS CORPORATION","Masco","$7,000","$0","$7,000","2005","20050531","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CHICAGO HEIGHTS","270 STATE STREET","60411","325510","325510: Paint and Coating Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HANSGROHE INC.","Masco","$6,000","$0","$6,000","2005","20050210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","ALPHARETTA","1490 BLUEGRASS LAKES","30004","326191","326191: Plastics Plumbing Fixture Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AQUA GLASS CORPORATION","Masco","$7,500","$0","$7,500","2004","20040121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","MCEWEN","155 FORTNER ROAD","37101","326191","326191: Plastics Plumbing Fixture Manufacturing","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASCO, INC.","Masco","$15,000","$0","$15,000","2002","20020513","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Idaho","BOISE","FIDDLER'S GLENN SUBDIVISION","83709","000000","","USA","Michigan","publicly traded","NYSE: MAS","housewares and home furnishings","housewares","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
