"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brigham and Womens Hospital","Mass General Brigham","$10,001","$0","$10,001","2005","20050308","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Massachusetts","","","","","","USA","Massachusetts","non-profit","","healthcare services","hospitals","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Brigham and Women's Hospital, Inc., The","Mass General Brigham","$497,357","$0","$497,357","2009","20090321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1538371","","","Massachusetts","Boston","","02115","622110","622110: General Medical and Surgical Hospitals","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"General Hospital Corporation, The","Mass General Brigham","$812,036","$0","$812,036","2009","20090321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1538370","","","Massachusetts","Boston","","02114","622110","622110: General Medical and Surgical Hospitals","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"The General Hospital Corporation","Mass General Brigham","$10,001","$0","$10,001","2006","20060313","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Massachusetts","","","","","","USA","Massachusetts","non-profit","","healthcare services","hospitals","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Massachusetts General Hospital","Mass General Brigham","$118,840","$0","$118,840","2001","20010619","employment-related offenses","wage and hour violation","Fair Labor Standards Act","Massachusetts General Hospital in Boston agreed to pay nearly $119,000 in back overtime pay to 92 respiratory therapists as the result of an investigation by the U.S. Labor Department's Wage and Hour Division.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Massachusetts","Boston","","","","","USA","Massachusetts","non-profit","","healthcare services","hospitals","https://www.dol.gov/whd/media/press/bowh2001-092.htm",""
"Newton-Wellesley Hospital","Mass General Brigham","$267,487","$0","$267,487","2009","20090321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1538380","","","Massachusetts","Newton","","02462","622110","622110: General Medical and Surgical Hospitals","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"North Shore Medical Center, Inc., The","Mass General Brigham","$166,269","$0","$166,269","2009","20090321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1538386","","","Massachusetts","Salem","","01970","9660","","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Partners Health Care System, Inc.","Mass General Brigham","$7,120","$0","$7,120","2006","20060818","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-43266-001","","","Massachusetts","Braintree","","02184","621999","621999: All Other Miscellaneous Ambulatory Health Care Services","USA","Massachusetts","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Partners Healthcare System, Inc","Mass General Brigham","$57,524","$0","$57,524","2008","20081227","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1545563","","","Massachusetts","Boston","","02114","622110","622110: General Medical and Surgical Hospitals","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Partners HealthCare System, Inc.","Mass General Brigham","$109,314","$0","$109,314","2009","20090321","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1539407","","","Massachusetts","Boston","","02199","623990","623990: Other Residential Care Facilities","USA","Massachusetts","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
