"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","$10,000","$0","$10,000","2010","20100518","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-45551-001","","","Massachusetts","Cambridge","","02139","611310","611310: Colleges, Universities, and Professional Schools","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$35,000","$0","$35,000","2008","20080502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CAMBRIDGE","155 MASS AVE BLDG N-10","02139","611310","611310: Colleges, Universities, and Professional Schools","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$9,690","$0","$9,690","2007","20070621","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CAMBRIDGE","BUILDING   42, 59 VASSER STREET","02139","611310","611310: Colleges, Universities, and Professional Schools","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$7,500","$0","$7,500","2005","20050803","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CAMBRIDGE","50 AMES STREET","02139","238330","238330: Flooring Contractors","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$125,000","$0","$125,000","2011","20111122","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2009NE700306","","","","","","","","","USA","Massachusetts","non-profit","","miscellaneous services","university","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","$5,000","$0","$5,000","2018","20180614","employment-related offenses","wage and hour violation","","","state","agency action","Massachusetts Attorney General","civil","","","17-11-47709-001","","","Massachusetts","Cambridge","","","","","USA","Massachusetts","non-profit","","miscellaneous services","university","https://www.mass.gov/service-details/fair-labor-division-data","Penalty amount is total assessed."
"Massachusetts Institute of Technology","Massachusetts Institute of Technology","$18,100,000","$0","$18,100,000","2020","20200605","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","District of Massachusetts","1:16-cv-11620","Tracey et al v. Massachusetts Institute of Technology et al","settlement","","","","","","","USA","Massachusetts","non-profit","","miscellaneous services","university","",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$15,000","$0","$15,000","2001","20011025","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Cambridge","","","","","USA","Massachusetts","non-profit","","miscellaneous services","university","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$5,000","$0","$5,000","2011","20111215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CAMBRIDGE","500 MEMORIAL DRIVE","02139","611310","611310: Colleges, Universities, and Professional Schools","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MASSACHUSETTS INSTITUTE OF TECHNOLOGY","Massachusetts Institute of Technology","$5,500","$0","$5,500","2014","20140218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","CAMBRIDGE","105 MASSACHUSETTS AVENUE","02139","611310","611310: Colleges, Universities, and Professional Schools","USA","Massachusetts","non-profit","","miscellaneous services","university","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
