"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Brush Wellman","Materion","$5,240","$0","$5,240","2000","20001031","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-31925-001","","","Ohio","Elmore","","43416","325998","325998: All Other Miscellaneous Chemical Product and Preparation Manufacturing","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Cerac Inc.","Materion","$297,000","$0","$297,000","2006","20060901","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","FOIA48","Source document obtained through a Freedom of Information Act request to the agency."
"MATERION BRUSH INC","Materion","$14,852","$0","$14,852","2017","20170814","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"ACADEMY CORPORATION","Materion","$5,850","$0","$5,850","2008","20080211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Mexico","ALBUQUERQUE","5520 MIDWAY PARK PL NE","87109","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION PRECISION OPTICS AND THIN FILM","Materion","$5,000","$0","$5,000","2001","20010605","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Westford","","","","","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=MATERION PRECISION OPTICS AND THIN FILM","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Brush Wellman Inc.","Materion","$276,289","$0","$276,289","2004","20041230","environment-related offenses","environmental violation","","Brush Wellman agreed to pay $256,289 civil penalties and perform a Supplemental Environmental Project costing $20,000 in settlement of allegations its beryllium and beryllium containing compounds production facility had violated air emissions permits with multiple items of equipment failing to operate within specified ranges and/or failing to have required data records.","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Elmore","","","","","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=364343",""
"ACADEMY CORPORATION","Materion","$7,500","$0","$7,500","2010","20100302","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Mexico","ALBUQUERQUE","6905-A WASHINGTON NE","87109","331314","331314: Secondary Smelting and Alloying of Aluminum","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"TECHNICAL MATERIALS, INC.","Materion","$7,000","$0","$7,000","2010","20101109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Rhode Island","LINCOLN","5 WELLINGNTON ROAD","02865","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION BRUSH, INC.","Materion","$7,000","$0","$7,000","2013","20130226","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SHOEMAKERSVILLE","203 SHOEMAKERSVILLE ROAD","19555","331410","331410: Nonferrous Metal (except Aluminum) Smelting and Refining","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION BRUSH INC.","Materion","$70,000","$0","$70,000","2016","20160315","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","ELMORE","14710 WEST PORTAGE RIVER SOUTH RD.","43416","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION ADVANCED MATERIALS GROUP INC.","Materion","$10,000","$0","$10,000","2016","20161118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","2978 MAIN STREET","14214","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION BRUSH, INC.","Materion","$25,350","$0","$25,350","2017","20170706","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","ELMORE","14710 WEST PORTAGE RIVER SOUTH RD.","43416","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION TECHNICAL MATERIALS, INC.","Materion","$7,985","$0","$7,985","2017","20170822","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Rhode Island","LINCOLN","5 WELLINGTON ROAD","02865","332999","332999: All Other Miscellaneous Fabricated Metal Product Manufacturing","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION BRUSH, INC.","Materion","$47,117","$0","$47,117","2018","20180820","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","ELMORE","14710 WEST PORTAGE RIVER SOUTH ROAD","43416","331421","331421: Copper Rolling, Drawing, and Extruding","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MATERION ADVANCED MATERIALS GROUP INC.","Materion","$10,121","$0","$10,121","2020","20200204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BUFFALO","2978 MAIN STREET","14214","331492","331492: Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","USA","Ohio","publicly traded","MTRN","miscellaneous manufacturing","advanced materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
