"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"McKesson Corp.","McKesson","$13,250,000","$0","$13,250,000","2008","20080502","healthcare-related offenses","Controlled Substances Act violation","","McKesson Corp. agreed to settle allegations that it violated federal reporting provisions relating to its handling of certain prescription medications regulated by the Drug Enforcement Administration.  Under the agreement between the company and six U.S. Attorney's Offices, McKesson agreed to pay $13,250,000 in civil penalties for alleged violations of its obligations under the Controlled Substances Act. ","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.justice.gov/archive/opa/pr/2008/May/08-opa-374.html",""
"McKesson Corp.","McKesson","$3,000,000","$0","$3,000,000","2006","20060216","government-contracting-related offenses","False Claims Act and related","","McKesson Corporation, a wholesale pharmaceutical distributor, agreed to pay the United States $3 million to settle claims that it overcharged the Department of Defense from October 1997 to December 2001.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.justice.gov/archive/opa/pr/2006/February/06_civ_083.html",""
"McKesson Corp.","McKesson","$22,445","$0","$22,445","2006","20060715","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1447406","","","Iowa","Dubuque","","52001","423450","423450: Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"McKesson Corporation","McKesson","$190,000,000","$0","$190,000,000","2012","20120426","government-contracting-related offenses","False Claims Act and related","","McKesson Corporation agreed to pay the United States more than $190 million to resolve claims that it violated the False Claims Act by reporting inflated pricing information for a large number of prescription drugs.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.justice.gov/opa/pr/mckesson-corp-pays-us-more-190-million-resolve-false-claims-act-allegations",""
"McKesson Corporation","McKesson","$150,000,000","$0","$150,000,000","2017","20170117","healthcare-related offenses","Controlled Substances Act violation","","McKesson Corporation, a large distributor of pharmaceutical drugs, agreed to pay a $150 million civil penalty for alleged violations of the Controlled Substances Act relating to the failure to report suspicious orders of products such as oxycodone and hydrocodone.","federal","agency action","Drug Enforcement Administration","civil","","","","","","","","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.justice.gov/opa/pr/mckesson-agrees-pay-record-150-million-settlement-failure-report-suspicious-orders",""
"McKesson Corporation","McKesson","$18,000,000","$0","$18,000,000","2014","20140808","government-contracting-related offenses","False Claims Act and related","","McKesson Corporation agreed to pay $18 million to resolve allegations that it improperly set temperature monitors used in shipping vaccines under its contract with the Centers for Disease Control and Prevention.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.justice.gov/opa/pr/mckesson-corp-pay-18-million-resolve-false-claims-allegations-related-shipping-services",""
"McKesson Corporation","McKesson","$130,653","$0","$130,653","2016","20160908","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","12-CA-094552","","","Florida","Lakeland","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"MCKESSON CORPORATION","McKesson","$13,530","$0","$13,530","2007","20070221","safety-related offenses","motor vehicle safety violation","","OH-2007-0048-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","California","SAN FRANSISCO","","","","","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
"MCKESSON CORPORATION","McKesson","$6,177","$0","$6,177","2007","20071101","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1512813","","","Georgia","Alpharetta","","30004","3254","3254: Pharmaceutical and Medicine Manufacturing","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"McKesson Drug Company","McKesson","$60,000","$0","$60,000","2003","20030806","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-18721-001","","","Tennessee","Memphis","","38115","325412","325412: Pharmaceutical Preparation Manufacturing","USA","California","publicly traded","NYSE: MCK","wholesalers","wholesalers-medical supplies","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
