"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Memorial Hermann Health System","Memorial Hermann Health System","$4,900,000","$0","$4,900,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"MEMORIAL HERMANN HOSPITAL SYSTEM","Memorial Hermann Health System","$9,450","$0","$9,450","2015","20150114","safety-related offenses","aviation safety violation","","DRUG TESTING ","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.faa.gov/about/office_org/headquarters_offices/agc/practice_areas/enforcement/reports/",""
"Memorial Hermann Health System","Memorial Hermann Health System","$1,929,071","$0","$1,929,071","2018","20180514","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Southern District of Texas","civil","","","","","","Texas","Houston","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.justice.gov/usao-sdtx/pr/memorial-hermann-health-system-pay-nearly-2-million-resolve-improper-billing",""
"Memorial Hermann Health System","Memorial Hermann Health System","$2,400,000","$0","$2,400,000","2017","20170510","consumer-protection-related offenses","privacy violation","","patient privacy violation","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.hhs.gov/about/news/2017/05/10/texas-health-system-settles-potential-hipaa-disclosure-violations.html",""
"Memorial Hermann Hospital System","Memorial Hermann Health System","$6,000","$0","$6,000","2011","20110221","consumer-protection-related offenses","insurance violation","","workers compensation","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","Texas Workers' Comp Enforcements for February Include $40K in Fines, Insurance Journal, March 10, 2011 (via Nexis).",""
"Memorial Hermann Health Plan, Inc.","Memorial Hermann Health System","$20,000","$0","$20,000","2017","20170509","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Houston","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20175067.pdf",""
"Memorial Hermann Health Plan, Inc","Memorial Hermann Health System","$75,000","$0","$75,000","2020","20200212","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","Houston","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20206235.pdf",""
"Memorial Hermann Health Plan Inc.","Memorial Hermann Health System","$100,000","$0","$100,000","2020","20200803","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20206416.pdf",""
"MEMORIAL HERMANN HEALTH SYSTEM","Memorial Hermann Health System","$7,605","$0","$7,605","2017","20170221","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","925 GESSNERSUITE 2564","77024","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MEMORIAL HERMAN MEDICAL CENTER","Memorial Hermann Health System","$35,490","$0","$35,490","2017","20170707","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","6411 FANNIN ST.","77030","622110","622110: General Medical and Surgical Hospitals","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Memorial Hermann Health System","Memorial Hermann Health System","$248,497","$0","$248,497","2017","20170222","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2017-0904","","","","","","","","","USA","Texas","non-profit","","healthcare services","hospitals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
