"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Daimler AG","Mercedes-Benz Group","$93,600,000","$0","$93,600,000","2010","20100401","competition-related offenses","Foreign Corrupt Practices Act","","Daimler AG and three of its subsidiaries resolved charges related to a Foreign Corrupt Practices Act investigation into the company's worldwide sales practices. Daimler AG's Russian subsidiary DaimlerChrysler Automotive Russia SAO, subsequently renamed Mercedes-Benz Russia SAO, and its German subsidiary, Export and Trade Finance GmbH, each pleaded guilty to criminal charges. Daimler AG entered into a deferred prosecution agreement as did its Chinese subsidiary.","federal","agency action","Justice Department Criminal Division","criminal","plea & deferred prosecution agreement","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.justice.gov/opa/pr/daimler-ag-and-three-subsidiaries-resolve-foreign-corrupt-practices-act-investigation-and",""
"Daimler AG","Mercedes-Benz Group","$91,400,000","$0","$91,400,000","2010","20100401","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.sec.gov/news/press/2010/2010-51.htm",""
"Mercedes-Benz","Mercedes-Benz Group","$687,588","$0","$687,588","2003","20030402","employment-related offenses","wage and hour violation","Fair Labor Standards Act","The U.S. Department of Labor's Wage and Hour Division and Mercedes-Benz announced that the company agreed to pay 240 workers at its Vance, Ala., plant $687,588 in back wages for the period Feb. 18, 2001 to Feb. 9, 2003. Mercedes paid the back wages as a result of a self-audit it conducted after the Wage and Hour Division brought to the company's attention allegations that it had not properly paid paint department employees for required uniform changing time.","federal","agency action","Labor Department Wage and Hour Division","civil","","","","","","Alabama","Vance","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.dol.gov/whd/media/press/whdpressVB2.asp?pressdoc=Southeast/SEarchive/20030054.xml",""
"Mercedes-Benz USA","Mercedes-Benz Group","$1,200,000","$0","$1,200,000","2006","20061221","environment-related offenses","environmental violation","","Mercedes-Benz USA and its parent corporation DaimlerChrysler AG agreed to pay $1.2 million in civil penalties to resolve allegations that they violated the Clean Air Act by failing to promptly notify the Environmental Protection Agency about defects in the air pollution controls installed on numerous 1998 to 2006 Mercedes model vehicles.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.justice.gov/archive/opa/pr/2006/December/06_enrd_854.html",""
"Mercedes-Benz","Mercedes-Benz Group","$200,000","$0","$200,000","2016","20160111","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Northern District of Alabama","10-cv-0467","Ledbetter et al v. Mercedes Benz U.S. International, Inc.","settlement","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","",""
"Daimler","Mercedes-Benz Group","$16,316,960","$0","$16,316,960","2013","20130301","environment-related offenses","fuel economy (CAFE) violation","","Light Truck: 2011","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Daimler","Mercedes-Benz Group","$11,838,365","$0","$11,838,365","2011","20111101","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2010","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Daimler","Mercedes-Benz Group","$2,935,988","$0","$2,935,988","2010","20101101","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2009","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Daimler","Mercedes-Benz Group","$6,870,435","$0","$6,870,435","2009","20091201","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 2008","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Mercedes Benz","Mercedes-Benz Group","$168,353","$0","$168,353","2000","20000501","environment-related offenses","fuel economy (CAFE) violation","","Import Passenger Car: 1998","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://one.nhtsa.gov/cafe_pic/CAFE_PIC_Fines_LIVE.html",""
"Mercedes Benz USA","Mercedes-Benz Group","$20,000,000","$0","$20,000,000","2019","20191218","safety-related offenses","motor vehicle safety violation","","NHTSA signed a $20 million settlement agreement with Mercedes Benz USA to resolve Audit Query 18-004, which was opened in 2018 to investigate the company's recall reporting and recall execution practices.","federal","agency action","National Highway Traffic Safety Administration","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.nhtsa.gov/press-releases/nhtsa-announces-mercedes-benz-usa-settlement-agreement",""
"Daimler AG","Mercedes-Benz Group","$1,500,000,000","$0","$1,500,000,000","2020","20200914","environment-related offenses","environmental violation","","The U.S. Department of Justice, Environmental Protection Agency, and California Air Resources Board announced a $1.5 billion settlement with German automaker Daimler AG and its American subsidiary Mercedes-Benz USA, LLC resolving alleged violations of the Clean Air Act and California law associated with emissions cheating. The settlement included $945 million in penalties and $534 million to extend vehicle warranties and to pay for mitigation projects.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.justice.gov/opa/pr/us-reaches-15-billion-settlement-daimler-ag-over-emissions-cheating-mercedes-benz-diesel",""
"Mercedes-Benz, U.S. International, Inc.","Mercedes-Benz Group","$16,000","$0","$16,000","2003","20030228","environment-related offenses","environmental violation","","Hazardous waste","state","agency action","Alabama Department of Environmental Management","civil","","","03-085-CHW      ","","","Alabama","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","List of FY2003 ADEM Administrative Orders obtained via an open records request on October 5, 2020.",""
"Mercedes-Benz","Mercedes-Benz Group","$11,600","$0","$11,600","2016","20160615","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","http://www.aqmd.gov/docs/default-source/Agendas/Governing-Board/2016/2016-Sep2-018.pdf?sfvrsn=3",""
"Mercedes-Benz USA LLC","Mercedes-Benz Group","$700,000,000","$0","$700,000,000","2021","20210920","environment-related offenses","environmental violation","","Mercedes-Benz agreed to an settlement worth an estimated $700 million to resolve class action litigation concerning the sale of vehicles with emissions-cheating software.","federal","private litigation","","civil","","District of New Jersey","2:16cv881","Lynevych v. Mercedes-Benz USA, LLC","settlement","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://www.law360.com/articles/1310086/mercedes-benz-to-pay-700m-in-emissions-fraud-deal",""
"Mercedes-Benz USA LLC","Mercedes-Benz Group","$32,000,000","$0","$32,000,000","2003","20030411","safety-related offenses","product safety violation","","Mercedes-Benz agreed to a $32 million settlement of class action litigation brought by car owners who said they weren't warned that non-synthetic motor oil could cause premature engine wear.","federal","private litigation","","civil","","Eastern District of Pennsylvania","2:03cv1480","O'Keefe V. Mercedes-Benz USA, LLC","settlement","","","","","","","Germany","","publicly traded","","motor vehicles","motor vehicles","https://content.next.westlaw.com/Document/I636fae815f4411dbbe1cf2d29fe2afe6/View/FullText.html?contextData=(sc.Default)&transitionType=Default",""
"MERCEDES-BENZ USA, LLC","Mercedes-Benz Group","$5,526","$0","$5,526","2014","20140509","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","CAROL STREAM","100 MERCEDES DRIVE","60188","423120","423120: Motor Vehicle Supplies and New Parts Merchant Wholesalers","Germany","","publicly traded","","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
