"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"EMD CHEMICALS INCORPORATED","Merck KGaA (EMD)","$13,170","$0","$13,170","2004","20041229","safety-related offenses","motor vehicle safety violation","","OH-2004-0250-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CINCINNATI","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2005-pdf",""
"EMD CHEMICALS INCORPORATED","Merck KGaA (EMD)","$7,614","$0","$7,614","2006","20060523","safety-related offenses","motor vehicle safety violation","","OH-2006-0107-US0482","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Ohio","CINCINNATI","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2006-pdf","Year is fiscal year. Date is closing date."
"EMD Chemicals, Inc.","Merck KGaA (EMD)","$8,250","$0","$8,250","2007","20070202","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/02022007.pdf",""
"EMD Chemicals, Inc.","Merck KGaA (EMD)","$44,000","$0","$44,000","2007","20070309","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://efoia.bis.doc.gov/index.php/component/docman/?task=doc_download&gid=341&Itemid=",""
"EMD Millipore Corp.","Merck KGaA (EMD)","$385,000","$0","$385,000","2017","20170206","environment-related offenses","environmental violation","","Under the terms of a Consent Decree lodged in federal court, EMD Millipore Corp. of Jaffrey, N.H., agreed to upgrade its on-site wastewater treatment system to comply with the terms of the company's industrial wastewater discharge permit and prevent pretreatment violations of the federal Clean Water Act (CWA). The company also agreed to pay a civil penalty of $385,000 for alleged violations of the CWA.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","New Hampshire","Jaffrey","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.epa.gov/enforcement/reference-news-release-jaffrey-nh-facility-upgrade-its-wastewater-treatment-systems",""
"EMD Millipore Corporation","Merck KGaA (EMD)","$2,681,500","$0","$2,681,500","2013","20130731","environment-related offenses","environmental violation","","EMD Millipore Corporation, of Billerica, Mass., has agreed to pay $2,681,500 in civil penalties to settle EPA allegations that it violated the federal pesticide law and regulations on numerous instances over many years.","federal","agency action","Environmental Protection Agency","civil","","","","","","Massachusetts","Billerica","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/ce0d13ac337fe52685257bb900603f21.html",""
"Merck KgaA","Merck KGaA (EMD)","$14,000,000","$0","$14,000,000","2000","20000505","competition-related offenses","price-fixing or anti-competitive practices","","Two German pharmaceutical manufacturers--Merck KgaA and Degussa-Huls AG--and two U.S. pharmaceutical companies--Nepera Inc. and Reilly Industries Inc.--agreed to plead guilty and pay criminal antitrust fines totaling $33 million for participating in two separate worldwide conspiracies to suppress and eliminate competition in the vitamin industry.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/atr/public/press_releases/2000/4684.htm",""
"Serono Laboratories Inc.","Merck KGaA (EMD)","$44,300,000","$0","$44,300,000","2011","20110504","government-contracting-related offenses","False Claims Act and related","kickbacks and bribery","Pharmaceutical manufacturers Serono Laboratories Inc., EMD Serono Inc., Merck Serono S.A, and Ares Trading S.A. agreed to pay $44.3 million to resolve False Claims Act allegations in connection with the marketing of the drug Rebif. The settlement resolved allegations that Serono paid health care providers from the launch of Rebif in January 2002 through December 2009 to induce them to promote or prescribe Rebif, a recombinant interferon injectable that is used to treat relapsing forms of multiple sclerosis. Serono was alleged to have made payments to providers for hundreds of speaker training meetings and programs, as well as payments for attending consultant, marketing and advisory board meetings, all at upscale resorts and other locations. Serono's actions allegedly resulted in the submission of false claims to federal health care programs including Medicare and Medicaid for the payment of Rebif, i.e., claims that were tainted by kickbacks.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/pharmaceutical-giant-serono-agrees-pay-443-million-settle-false-claims-act-case",""
"Serono, S.A.","Merck KGaA (EMD)","$704,000,000","$0","$704,000,000","2005","20051017","healthcare-related offenses","off-label or unapproved promotion of medical products","False Claims Act and related","Swiss corporation, Serono, S.A., together with its U.S. subsidiaries and related entities, agreed to pay $704 million to resolve criminal charges and civil allegations in connection with illegal schemes to promote, market and sell its drug Serostim used to treat AIDS wasting, a condition involving profound involuntary weight loss in AIDS patients.","federal","agency action","Justice Department Civil Division","civil and criminal","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/opa/pr/2005/October/05_civ_545.html",""
"Sigma Aldrich Research Biochemicals Inc.","Merck KGaA (EMD)","$1,760,000","$0","$1,760,000","2002","20021104","competition-related offenses","export control violation","","","federal","agency action","Bureau of Industry and Security","civil","","","","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","FOIA139","Source document obtained through a Freedom of Information Act request to the agency."
"Aldrich Chemical Company LLC","Merck KGaA (EMD)","$22,500","$0","$22,500","2017","20171023","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Wisconsin","Milwaukee","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","https://www.ttb.gov/images/pdfs/fo-compromise/2017/Aldrich_OIC_Redacted.pdf",""
"ALDRICH CHEMICAL","Merck KGaA (EMD)","$6,500","$0","$6,500","2010","20100721","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2010SO700127","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"MILLIPORE CORPORATION","Merck KGaA (EMD)","$15,000","$0","$15,000","2010","20101109","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2009WP700129","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"SIGMA-ALDRICH","Merck KGaA (EMD)","$30,000","$0","$30,000","2011","20110103","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2009NE700335","","","","","","","","","Germany","","publicly traded","","pharmaceuticals","pharmaceuticals","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
