"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Mercury Casualty Co.","Mercury General Corporation","$19,000","$0","$19,000","2013","20130925","consumer-protection-related offenses","insurance violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://insurance.az.gov/sites/default/files/documents/files/130113.pdf","This case was brought by the Arizona Department of Insurance before it merged with the Department of Financial Institutions."
"Mercury Insurance Co.","Mercury General Corporation","$9,000","$0","$9,000","2006","20060224","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Workmen's Auto Insurance Co.","Mercury General Corporation","$100,000","$0","$100,000","2006","20060612","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Mercury Insurance Group","Mercury General Corporation","$300,000","$0","$300,000","2006","20060824","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"Mercury Insurance Company","Mercury General Corporation","$1,000,000","$0","$1,000,000","2015","20150310","consumer-protection-related offenses","insurance violation","","The California Department of Insurance announced that Mercury agreed to pay $1 million after the department alleged that it violated California law more than 350,000 times based on more than 50 illegal rating and underwriting practices.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://web.archive.org/web/20171219181854/http://www.insurance.ca.gov/0400-news/0100-press-releases/2015/release025-15.cfm",""
"Mercury Insurance Co. and Mercury Casualty Co. and California Automobile Insurance Co.","Mercury General Corporation","$41,188,505","$0","$41,188,505","2019","20191002","consumer-protection-related offenses","insurance violation","","Mercury Insurance Co., Mercury Casualty Co. and California Automobile Insurance Co. agreed to pay a total of $41,188,505 in settlement of allegations they violated the Insurance Code by charging unapproved premiums and  unfairly discriminatory rates.","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","California","publicly traded","MCY","financial services","insurance","http://www.insurance.ca.gov/0400-news/0100-press-releases/2019/release074-19.cfm",""
"Workmen's Auto Insurance Company","Mercury General Corporation","$8,000","$0","$8,000","2003","20030703","consumer-protection-related offenses","insurance violation","","","state","agency action","Indiana Department of Insurance","civil","","","","","","Indiana","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://www.in.gov/idoi/2586.htm",""
"Mercury Indemnity Company of America","Mercury General Corporation","$25,000","$0","$25,000","2018","20180416","consumer-protection-related offenses","insurance violation","","","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://www.state.nj.us/dobi/division_insurance/enforcement/e18_30.pdf",""
"Mercury Casualty Company","Mercury General Corporation","$31,000","$0","$31,000","2019","20190201","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://www.dfs.ny.gov/system/files/documents/2019/03/da20190307.pdf",""
"MERCURY CASUALTY COMPANY","Mercury General Corporation","$25,600","$0","$25,600","2007","20071221","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2007-00375","","","Virginia","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/1mxp01!.PDF",""
"MERCURY CASUALTY COMPANY","Mercury General Corporation","$26,942","$0","$26,942","2010","20100708","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2010-00101","","","Virginia","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/273101!.PDF",""
"MERCURY CASUALTY COMPANY","Mercury General Corporation","$173,650","$0","$173,650","2018","20180710","consumer-protection-related offenses","insurance violation","","","state","agency action","Virginia Bureau of Insurance","civil","","","INS-2018-00160","","","Virginia","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://scc.virginia.gov/docketsearch/DOCS/3m%24601!.PDF",""
"Mercury Casualty Company","Mercury General Corporation","$11,000","$0","$11,000","2020","20200728","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","California","publicly traded","MCY","financial services","insurance","https://www.dfs.ny.gov/system/files/documents/2021/03/da20210330_2.pdf",""
