"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Merit Energy Co. LLC","Merit Energy","$1,500,000","$1,500,000","$0","2008","20081001","environment-related offenses","environmental violation","","To settle a Clean Air Act case at a natural gas facility, owner Merit Energy and former owner Shell Exploration agreed to pay a penalty of $500,000; Merit also agreed to spend $1 million on an environmental project.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://yosemite.epa.gov/opa/admpress.nsf/a5792a626c8dac098525735900400c2d/d3a5bb9266870684852574d50058d27d!OpenDocument","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Merit Energy Company","Merit Energy","$220,000","$0","$220,000","2007","20070425","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2007-civil-penalties",""
"Merit Energy Company","Merit Energy","$80,000","$0","$80,000","2011","20110621","environment-related offenses","environmental violation","offshore drilling violation","Curing the course of an inspection the following items were discovered: Containment decks had multiple areas of corrosion; Gas detectors were not in service; the quarters building was within 10' of production; there were missing records of subsurface safety devices being tested; compressor PSVs were set greater than the maximum allowable pressure; and there were multiple violations of unsafe and unworkmanlike conditions.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Merit Energy Company","Merit Energy","$10,000","$0","$10,000","2007","20070110","environment-related offenses","offshore drilling violation","","","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/site-page/2007-civil-penalties",""
"Merit Energy Company, LLC","Merit Energy","$100,000","$0","$100,000","2011","20110526","environment-related offenses","environmental violation","offshore drilling violation","During the course of an inspection, it was discovered that the purge mechanical ventilation system for the Mud Logging Unit (MLU) building, placed in a Class 1 Division 1 Hazardous Area, was found switched to manual bypass. It was also discovered that the fresh air intake for the MLU building was located within the Class 1 Division 1 hazardous area.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Merit Energy Company, LLC","Merit Energy","$70,000","$0","$70,000","2011","20110225","environment-related offenses","environmental violation","offshore drilling violation","During a BOEMRE inspection, it was discovered that a tubing plug was set above the mud line. There were also several severely corroded critical areas on the equipment and platform","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Merit Energy Company, LLC","Merit Energy","$45,000","$0","$45,000","2010","20100524","environment-related offenses","environmental violation","offshore drilling violation","During an annual inspection on September 3, 2009 the pressure safety high/low for the FA-2 flow line segment for Well B-2 was discovered to be in by-pass at the control panel and was not monitored and/or flagged.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2010-Civil/Criminal-Penalties",""
"Merit Energy Company, LLC","Merit Energy","$35,000","$0","$35,000","2012","20120416","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BSEE investigation into a crane incident, the inspectors discovered that operator failed to follow safe lifting policies and procedures and to accurately identify the weight of the load prior to lifting operations.  July 31, 2011   ","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/sites/bsee.gov/files/summary-of-civil-penalties-paid/safety/cp-paid-2012.pdf",""
"Merit Energy Company, LLC","Merit Energy","$21,250","$0","$21,250","2011","20110621","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEM inspection, the inspection revealed a failure to correct corroded deck drain and produced water lines.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Merit Energy Company, LLC","Merit Energy","$10,000","$0","$10,000","2011","20111004","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEMRE inspection, the inspectors discovered the pressure safety valve (PSV) on the first stage compressor discharge with the manual block valve on the inlet of the PSV was in the closed position, rendering the PSV inoperable.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"Merit Energy Company, LC","Merit Energy","$80,000","$0","$80,000","2011","20110708","environment-related offenses","environmental violation","offshore drilling violation","During the course of a BOEMRE investigation into a flash fire injury occurrence, it was discovered that unsafe and unworkmanlike operations were present while attempting to establish fluid returns from Well A-1. This resulted in 1st degree burns to the pump operator. It was also discovered that the coil tubing head was leaking oil and gas and was within 10' of the facility gas compressor, which was operating during the coil tubing operations.","federal","agency action","Bureau of Safety and Environmental Enforcement","civil","","","","","","","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://www.bsee.gov/Inspection-and-Enforcement/Civil-Penalties-and-Appeals/2011-Civil/Criminal-Penalties",""
"MERIT ENERGY COMPANY","Merit Energy","$6,187","$0","$6,187","2002","20021219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","HAMILTON DOME","2553 HAMILTON DOME ROAD","82427","211111","211111: Crude Petroleum and Natural Gas Extraction","USA","Texas","privately held","","oil and gas","oil & gas","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Merit Energy Company","Merit Energy","$7,000","$0","$7,000","2013","20130213","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Longacre","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2012/MeritEnergy_Final.pdf",""
"Merit Energy Company, LLC","Merit Energy","$8,900","$0","$8,900","2012","20121018","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Texas","privately held","","oil and gas","oil & gas","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2012/Merit0070_Final.pdf",""
