"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Wellmore Coal Corporation","Metinvest","$5,900","$0","$5,900","2020","20200210","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC-19-1-0251","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$115,000","$0","$115,000","2014","20140331","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -130110","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$30,000","$0","$30,000","2013","20130924","environment-related offenses","environmental violation","","air quality violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -42793","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$5,000","$0","$5,000","2011","20110408","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -41365","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$6,300","$0","$6,300","2010","20100609","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -29547","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$9,000","$0","$9,000","2010","20100514","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -070111","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$9,000","$0","$9,000","2010","20100514","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -070112","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$8,800","$0","$8,800","2010","20100114","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -29551","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"SAPPHIRE COAL COMPANY","Metinvest","$8,000","$0","$8,000","2009","20090519","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -060120","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"WELLMORE COAL CORP","Metinvest","$7,700","$0","$7,700","2007","20071016","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -28376","","","Kentucky","","","","","","Ukraine","","privately held","","mining and minerals","mining & steel","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
