"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Beau Rivage Resorts, Inc.","MGM Resorts International","$5,625","$0","$5,625","2004","20041001","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Nevada","publicly traded","MGM","entertainment","casinos","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/10012004.pdf",""
"MGM Grand Hotels, LLC","MGM Resorts International","$80,000","$0","$80,000","2011","20110111","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-23080-001","","","Nevada","Las Vegas","","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MGM Mirage","MGM Resorts International","$1,140,000","$0","$1,140,000","2002","20021127","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Nevada","","","","","","USA","Nevada","publicly traded","MGM","entertainment","casinos","https://www.eeoc.gov/eeoc/newsroom/release/archive/11-27-02.html","Description field shows type of discrimination that EEOC had alleged."
"MGM Resorts International","MGM Resorts International","$6,579","$0","$6,579","2012","20120425","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1650067","","","Mississippi","Robinsonville","","38664","713290","713290: Other Gambling Industries","USA","Nevada","publicly traded","MGM","entertainment","casinos","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"MIRAGE CASINO HOTEL, THE","MGM Resorts International","$5,100","$0","$5,100","2009","20090915","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3400 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK NEW YORK HOTEL AND CASINO","MGM Resorts International","$20,400","$0","$20,400","2009","20090629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3790 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MGM GRAND HOTEL AND CASINO","MGM Resorts International","$19,800","$0","$19,800","2009","20090521","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3799 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MGM GRAND HOTEL AND CASINO","MGM Resorts International","$52,721","$0","$52,721","2009","20090202","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3799 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK NEW YORK HOTEL AND CASINO","MGM Resorts International","$9,720","$0","$9,720","2005","20050426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3790 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK NEW YORK HOTEL AND CASINO","MGM Resorts International","$5,385","$0","$5,385","2005","20050426","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Nevada","LAS VEGAS","3790 LAS VEGAS BLVD., SOUTH","89109","721120","721120: Casino Hotels","USA","Nevada","publicly traded","MGM","entertainment","casinos","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
