"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Michigan Sugar","Michigan Sugar Company","$13,210,000","$0","$13,210,000","2008","20080515","environment-related offenses","environmental violation","","Michigan Sugar, a grower-owned sugar cooperative located in Bay City, Mich., agreed to install pollution reduction measures valued at more than $13 million at its processing facility to resolve alleged violations of the Clean Air Act. Michigan Sugar also agreed to pay a $210,000 civil penalty.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Michigan","Bay City","","","","","USA","Michigan","cooperative","","agribusiness","agribusiness","https://yosemite.epa.gov/opa/admpress.nsf/dc57b08b5acd42bc852573c90044a9c4/8bcd17f5009de4f08525744a005b8b39!OpenDocument",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$35,000","$0","$35,000","2012","20120412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BAY CITY","2600 S EUCLID AVE","48706","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$42,145","$0","$42,145","2011","20111121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CROSWELL","159 S HOWARD ST","48422","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$26,920","$0","$26,920","2013","20130128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CARO","819 PENINSULAR ST","48723","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$20,450","$0","$20,450","2010","20101019","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BAY CITY","2600 S EUCLID AVE","48706","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$5,000","$0","$5,000","2005","20051014","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","BAY CITY","2600 S EUCLID AVE","48706","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$81,675","$0","$81,675","2005","20050110","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CARO","725 S ALMER ST","48723","311313","311313: Beet Sugar Manufacturing","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$8,255","$0","$8,255","2002","20020118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CROSWELL","159 S HOWARD STREET","48422","000000","","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MICHIGAN SUGAR CO","Michigan Sugar Company","$9,000","$0","$9,000","2002","20020116","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Michigan","CARROLLTON","341 SUGAR ST","48724","000000","","USA","Michigan","cooperative","","agribusiness","agribusiness","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Michigan Sugar Company","Michigan Sugar Company","$39,960","$0","$39,960","2019","20190530","environment-related offenses","environmental violation","","air quality violation","state","agency action","Michigan Department of Environmental Quality","civil","","","","","","Michigan","Croswell","","","","","USA","Michigan","cooperative","","agribusiness","agribusiness","https://www.deq.state.mi.us/aps/downloads/SRN/B2876/B2876_ACO_20190530.pdf",""
