"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MINTEQ INTERNATIONAL INC.","Minerals Technologies Inc.","$6,075","$0","$6,075","2004","20040218","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BRYAN","719 E HIGH ST.","43506","327125","327125: Nonclay Refractory Manufacturing","USA","New York","publicly traded","MTX","mining and minerals","minerals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$11,900","$0","$11,900","2016","20161227","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$5,750","$0","$5,750","2016","20161011","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$5,000","$0","$5,000","2011","20111107","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$21,570","$0","$21,570","2005","20050112","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$18,500","$0","$18,500","2004","20040318","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$26,750","$0","$26,750","2003","20030805","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$18,500","$0","$18,500","2002","20020604","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"SPECIALTY MINERALS INC","Minerals Technologies Inc.","$19,950","$0","$19,950","2000","20000524","environment-related offenses","environmental violation","","","state","agency action","Massachusetts Executive Office of Energy and Environmental Affairs","civil","","","","","","Massachusetts","Adams","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://eeaonline.eea.state.ma.us/Portal/#!/search/enforcements/results?FacilityName=SPECIALTY MINERALS INC","Captured from records in EEA database with basic enforcement information; may not include full details of penalties."
"Specialty Minerals Inc","Minerals Technologies Inc.","$24,000","$0","$24,000","2013","20130823","environment-related offenses","environmental violation","","Air Pollution","state","agency action","Minnesota Pollution Control Agency","civil","","","PEN20140001","","","Minnesota","International Falls","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","Contained in data received from the agency on October 14, 2020 in response to an open records request. ",""
"MINTEQ INTERNATIONAL INC","Minerals Technologies Inc.","$6,600","$0","$6,600","2010","20100615","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","15539-NEA100001","","","New Jersey","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"American Colloid Co.","Minerals Technologies Inc.","$20,250","$0","$20,250","2008","20080303","environment-related offenses","environmental violation","","Regulated Substance Response Fund","state","agency action","South Dakota Department of Environment & Natural Resources","civil","","","","","","South Dakota","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","Contained in data received from the agency on October 8, 2020 in response to an open records request.",""
"American Colloid Co.","Minerals Technologies Inc.","$20,000","$0","$20,000","2016","20160701","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1-N_VMJHg8dq51WqVD1BV0xU5Ift66biU/view",""
"American Colloid Co.","Minerals Technologies Inc.","$6,000","$0","$6,000","2015","20150728","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1zdztXUNFfmBzRdEgWLyfPDvsMeEXNWG0/view",""
"American Colloid Co.","Minerals Technologies Inc.","$5,000","$0","$5,000","2015","20150727","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1IAg0p-5B4Uza5qokk4Jqvk-bBJvzhYIJ/view",""
"American Colloid Co.","Minerals Technologies Inc.","$8,000","$0","$8,000","2015","20150727","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1KK_YqFWsF4rM9po8Wsl2kUTPe9PlC_UQ/view",""
"American Colloid Co.","Minerals Technologies Inc.","$6,000","$0","$6,000","2013","20130826","environment-related offenses","environmental violation","","Land Quality Division","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/11iB3V3H8Hd3l8B5n4LlgFYnnR0zr2ZCV/view",""
"American Colloid Co.","Minerals Technologies Inc.","$7,500","$0","$7,500","2010","20101013","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1yMJexqfMMjIl8CLiRVdGITZ8ZE47GCGd/view",""
"American Colloid Co.","Minerals Technologies Inc.","$17,500","$0","$17,500","2009","20090326","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1385TysDYo3JSSMu3ENQsGx7Y3MwNK--a/view",""
"American Colloid Co.","Minerals Technologies Inc.","$42,000","$0","$42,000","2008","20080713","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/1iZ1mUcfRZ16TnZOA8hR1zgkr6H5ROQvT/view",""
"American Colloid Co.","Minerals Technologies Inc.","$9,500","$0","$9,500","2007","20070302","environment-related offenses","environmental violation","","Air","state","agency action","Wyoming Department of Environmental Quality","civil","","","","","","Wyoming","","","","","","USA","New York","publicly traded","MTX","mining and minerals","minerals","https://drive.google.com/file/d/12ec4Ma3T9Xzu-2nJmqrzKX3LMcyZGvT0/view ",""
