"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AFG INDUSTRIES INCORPORATED","Mitsubishi Group","$50,000","$0","$50,000","2006","20060712","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-42444-001","","","Kentucky","Richmond","","40475","327215","327215: Glass Product Manufacturing Made of Purchased Glass","Japan","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"AGC Flat Glass North America, Inc","Mitsubishi Group","$47,894","$0","$47,894","2010","20100704","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1590742","","","Tennessee","Kingsport","","37660","327212","327212: Other Pressed and Blown Glass and Glassware Manufacturing","Japan","","publicly traded","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"LUCITE INTERNATIONAL","Mitsubishi Group","$7,000","$0","$7,000","2016","20160718","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"Lucite International","Mitsubishi Group","$6,500","$0","$6,500","2004","20040713","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Japan","","publicly traded","","diversified","diversified","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Lucite International, Inc.","Mitsubishi Group","$19,100,000","$0","$19,100,000","2005","20051017","environment-related offenses","environmental violation",""," The Justice Department and the Environmental Protection Agency reached a Clean Air Act settlement with Lucite International, Inc. requiring the chemical manufacturer to install pollution controls costing an estimated $16 million on three emission sources at its Memphis, Tennessee plant in addition to paying a civil penalty of $1.8 million and performing a supplemental environmental project worth $1.3 million.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","Tennessee","Memphis","","","","","Japan","","publicly traded","","diversified","diversified","https://www.justice.gov/archive/opa/pr/2005/October/05_enrd_546.html",""
"Lucite International, Inc.","Mitsubishi Group","$31,000","$0","$31,000","2006","20060103","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-22102-001","","","Mississippi","Olive Branch","","38654","314999","314999: All Other Miscellaneous Textile Product Mills","Japan","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Lucite International, Inc.","Mitsubishi Group","$10,000","$0","$10,000","2005","20050323","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-21750-001","","","Mississippi","Olive Branch","","38654","327999","327999: All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","Japan","","publicly traded","","diversified","diversified","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"MATHESON TRI-GAS INC.","Mitsubishi Group","$19,290","$0","$19,290","2008","20081223","safety-related offenses","motor vehicle safety violation","","NM-2008-0032-US1057","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Texas","IRVING","","","","","Japan","","publicly traded","","diversified","diversified","https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/closedByEnforcement_FY2009_04-26-2013.pdf",""
"Matheson Tri-Gas, Inc","Mitsubishi Group","$170,718","$0","$170,718","2012","20120628","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1625165","","","Texas","Irving","","75039","221210","221210: Natural Gas Distribution","Japan","","publicly traded","","diversified","diversified","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Matheson Tri-Gas, Inc","Mitsubishi Group","$73,790","$0","$73,790","2013","20130627","environment-related offenses","environmental violation","","Matheson Tri-Gas, Inc. has paid a $73,790 penalty for not submitting a required risk management plan for a facility at 1401 Stauffer Road, Palm, Pa. (Montgomery County), the U.S. Environmental Protection Agency announced today.","federal","agency action","Environmental Protection Agency","civil","","","","","","Pennsylvania","Palm","","","","","Japan","","publicly traded","","diversified","diversified","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/51a47094e96cc26a85257b97004f2205.html",""
