"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Coors Brewing","Molson Coors Brewing","$7,920","$0","$7,920","2004","20040913","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-21717-001","","","Tennessee","Memphis","","38118","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Coors Distributing Company of Fort Worth, Inc","Molson Coors Brewing","$38,844","$0","$38,844","2011","20110706","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1583596","","","Texas","Fort Worth","","76137","424810","424810: Beer and Ale Merchant Wholesalers","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Miller Brewing Co.","Molson Coors Brewing","$24,500","$0","$24,500","2004","20040308","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Wisconsin","Milwaukee","","","","","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2004/millerbrewing030804.pdf",""
"Miller Brewing Co.","Molson Coors Brewing","$24,500","$0","$24,500","2004","20040323","financial offenses","tax violations","excise tax violation","","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","Wisconsin","Milwaukee","","","","","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2004/millerbrewing032304.pdf",""
"MillerCoors LLC","Molson Coors Brewing","$450,000","$0","$450,000","2015","20150902","financial offenses","tax violations","excise tax violation","offer in compromise","federal","agency action","Alcohol and Tobacco Tax and Trade Bureau","civil","","","","","","","","","","","","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","https://www.ttb.gov/images/pdfs/fo-compromise/2015/millercoors-oic-redacted.pdf",""
"MILLERCOORS, LLC","Molson Coors Brewing","$42,500","$0","$42,500","2010","20100713","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GOLDEN","12TH & FORD ST.","80401","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MILLERCOORS, LLC","Molson Coors Brewing","$77,000","$0","$77,000","2009","20090203","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GOLDEN","12TH & FORD ST.","80401","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MILLER BREWERIES EAST, INC.","Molson Coors Brewing","$5,775","$0","$5,775","2006","20060628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Carolina","EDEN","863 E. MEADOW ROAD","27288","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"COORS BREWING COMPANY","Molson Coors Brewing","$21,150","$0","$21,150","2005","20050224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","GOLDEN","10TH & FORD","80401","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MILLER BREWING CO.","Molson Coors Brewing","$5,000","$0","$5,000","2007","20070105","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","IRWINDALE","15801 E. 1ST ST.","91706","312120","312120: Breweries","USA","Colorado","publicly traded","NYSE: TAP","beverages","beverages","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
