"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Mondelez International, Inc.","Mondelez International","$13,000,000","$0","$13,000,000","2017","20170106","financial offenses","accounting fraud or deficiencies","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","https://www.sec.gov/litigation/admin/2017/34-79753.pdf",""
"Mondelez Global LLC","Mondelez International","$200,000","$0","$200,000","2018","20180319","employment-related offenses","employment discrimination","","Retaliation; age discrimination. After the verdict the parties reached an confidential settlement on legal fees.","federal","private litigation","","civil","","Middle District of Pennsylvania","3:15-cv-1155","Konsavage v. Mondelez Global LLC","verdict","","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","https://www.law360.com/articles/1023764",""
"Mondelez Global LLC","Mondelez International","$1,500,000","$0","$1,500,000","2019","20190513","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Central District of California","8:16-cv-02193","Mario Zamarripa v. Mondelez Global LLC, et al","settlement","","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","https://www.law360.com/articles/1123450/mondelez-sales-reps-reach-1-5m-settlement-in-wage-row",""
"Mondelez Global","Mondelez International","$8,000,000","$0","$8,000,000","2019","20190815","competition-related offenses","price-fixing or anti-competitive practices","","The CFTC announced that it had gotten a federal court to order Kraft and Mondelez to pay a total of $16 million in a case involving manipulation of the wheat market. The announcement did not indicate how much each company would pay. Here we assume the total was split evenly between them. The press release about the case was removed from the CFTC website. Here we cite an archived version on the Nexis information service.","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","Kraft and Mondelez Global to Pay $16 Million in Wheat Manipulation Case, Targeted News Service, August 15, 2019 (via Nexis).",""
"Mondelez International, Inc.","Mondelez International","$750,000","$0","$750,000","2016","20160122","environment-related offenses","environmental violation","","The California Attorney General, eleven District Attorneys and the nonprofit Center for Environmental Health announced a settlement with food industry giant Mondelez International, Inc., formerly Kraft Foods, for selling ginger snap cookies containing lead in excess of California limits without the warning required by California's Proposition 65.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","https://www.oag.ca.gov/news/press-releases/attorney-general-kamala-d-harris-announces-settlement-mondel%C4%93z-international-inc",""
"Mondelez International","Mondelez International","$758,250","$758,250","$0","2016","20160122","safety-related offenses","food safety violation","","The Santa Cruz County District Attorney's Office, through its Consumer Fraud Unit, in conjunction with nine other California District Attorneys, the California Attorney General, and the non-profit Center for Environmental Health, reached a settlement with food industry giant Mondelez International, Inc., formerly Kraft Foods, for selling ginger snap cookies in excess of California lead limits without a warning. The settlement was also announced by the California Attorney General; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/ca-mondelez-international-inc","local","agency action","California Multi-Jurisdiction Case","civil","","","","","settlement","California","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","https://datinternet.co.santa-cruz.ca.us/Portals/24/pdfs/press/2016/01-22-16%20da%20press%20release%20-%20settlement%20with%20mondelez%20international%20inc.%20formerly%20kraft%20foods.pdf",""
"Mondelez Global LLC","Mondelez International","$7,000","$0","$7,000","2018","20180412","environment-related offenses","environmental violation","","Air Quality Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-AQC-6904","","","Georgia","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"MONDELEZ GLOBAL LLC","Mondelez International","$41,600","$0","$41,600","2016","20160803","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","02416-NEA110005","","","New Jersey","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"MONDELEZ GLOBAL LLC","Mondelez International","$12,000","$0","$12,000","2011","20110823","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","02416-NEA110002","","","New Jersey","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
"MONDELEZ GLOBAL LLC","Mondelez International","$43,100","$0","$43,100","2010","20101028","environment-related offenses","environmental violation","","air quality violation","state","agency action","New Jersey Department of Environmental Protection","civil","","","02416-NEA100001","","","New Jersey","","","","","","USA","Illinois","publicly traded","MDLZ","food products","food products","Contained in data received from the agency on October 26, 2020 in response to an open records request. The data was a spreadsheet version of information contained in the records in the DEP DataMiner at https://www13.state.nj.us/DataMiner",""
