"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Monro Muffler/Brake, Inc.","Monro Inc.","$45,000","$0","$45,000","2009","20090716","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-44650-001","","","Massachusetts","Ashland","","01721","811118","811118: Other Automotive Mechanical and Electrical Repair and Maintenance","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Monro Muffler Brake Inc.","Monro Inc.","$12,500","$0","$12,500","2012","20120822","safety-related offenses","workplace safety or health violation","","corporate-wide settlement agreement","federal","agency action","Occupational Safety & Health Administration corporate-wide settlements","civil","","","","","","","","","","","","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","https://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=CWSA&p_id=2194",""
"Monro Muffler Brake, Inc","Monro Inc.","$5,644","$0","$5,644","2013","20131025","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1706953","","","New York","Grand Island","","14072","811198","811198: All Other Automotive Repair and Maintenance","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Monro Muffler Brake, Inc.","Monro Inc.","$28,342","$0","$28,342","2011","20110614","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-022807","","","North Carolina","Pineville","","","","","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Monro Muffler Brake, Inc.","Monro Inc.","$7,008","$0","$7,008","2012","20120129","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1624200","","","New York","Rochester","","14615","44132","44132: Tire Dealers","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"MONRO MUFFLER BRAKE, INC.","Monro Inc.","$52,000","$0","$52,000","2007","20071211","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","GLASTONBURY","3000 MAIN STREET","06033","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE INC.","Monro Inc.","$20,000","$0","$20,000","2006","20060328","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","MANCHESTER","909 HANOVER ST.","03104","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE INC.","Monro Inc.","$28,200","$0","$28,200","2005","20050803","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","MANCHESTER","909 HANOVER ST.","03104","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Monro Muffler Brake, Inc.","Monro Inc.","$35,000","$0","$35,000","2004","20040823","consumer-protection-related offenses","consumer protection violation","","The New York Attorney General reached a $140,000 settlement with four auto servicing companies over allegedly misleading advertising. The announcement did not specify how much each company would pay. Here we assume the amount was divided evenly among them.","state","agency action","New York Attorney General","civil","","","","","","New York","","","","","","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","https://web.archive.org/web/20101119015221/http://www.ag.ny.gov/media_center/2004/aug/aug23a_04.html",""
"MONRO MUFFLER BRAKE, INC.","Monro Inc.","$16,150","$0","$16,150","2010","20101115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","NEWINGTON","3334 BERLIN TURNPIKE","06111","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INCORPORATED","Monro Inc.","$105,000","$0","$105,000","2011","20110207","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","HYANNIS","102 FALMOUTH ROAD","02601","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INCORPORATED","Monro Inc.","$12,500","$0","$12,500","2011","20110412","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","STOUGHTON","901 TECHNOLOGY CENTER DRIVE","02072","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE & SERVICE","Monro Inc.","$6,999","$0","$6,999","2011","20110428","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ROCHESTER","200 HOLLEDER PARKWAY","14615","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INC DBA MONRO MUFFLER BRAKE &","Monro Inc.","$10,000","$0","$10,000","2012","20120319","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","ERIE","2187 WEST 12TH STREET","16505","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER, BRAKE AND SERVICE","Monro Inc.","$12,650","$0","$12,650","2012","20120705","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","NEW PHILADELPHIA","214 SOUTH BROADWAY","44663","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER/BRAKE","Monro Inc.","$10,000","$0","$10,000","2012","20120907","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","GLASTONBURY","3000 MAIN STREET","06033","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INC.","Monro Inc.","$94,233","$0","$94,233","2012","20121127","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New Hampshire","PORTSMOUTH","1801 WOODBURY AVE","03801","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INC.","Monro Inc.","$7,000","$0","$7,000","2013","20130605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","RACINE","5320 WASHINGTON AVE","53406","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE, INC.","Monro Inc.","$8,116","$0","$8,116","2013","20130722","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","EAST HARTFORD","431 MAIN STREET","06108","811112","811112: Automotive Exhaust System Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER AND BRAKE SERVICE","Monro Inc.","$9,000","$0","$9,000","2013","20131231","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","GLENVILLE","10 SARATOGA ROAD","12302","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONRO MUFFLER BRAKE","Monro Inc.","$8,000","$0","$8,000","2014","20140210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","ROCHESTER","35 HOWARD ROAD","14606","811111","811111: General Automotive Repair","USA","New York","publicly traded","MNRO","miscellaneous services","auto repair services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
