"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Monterey Mushrooms","Monterey Mushrooms","$26,598","$0","$26,598","2013","20130831","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","","","","","","","USA","California","privately held","","food products","mushrooms","https://www.dol.gov/ofccp/foia/files/Monterey_Mushrooms_CA_Redacted.pdf",""
"MONTEREY MUSHROOMS","Monterey Mushrooms","$34,730","$0","$34,730","2000","20000223","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MORGAN HILL","642 HALE AVENUE","95037","000000","","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS","Monterey Mushrooms","$8,850","$0","$8,850","2000","20000405","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MORGAN HILL","642 HALE AVENUE","95037","000000","","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Monterey Mushrooms, Inc.","Monterey Mushrooms","$2,240,000","$0","$2,240,000","2019","20191217","environment-related offenses","environmental violation","","wastewater violations","local","agency action","Santa Clara County (CA) District Attorney","civil","","","","","","California","","","","","","USA","California","privately held","","food products","mushrooms","https://www.sccgov.org/sites/da/newsroom/newsreleases/Pages/NRA2019/Monterey-Mushroom-DDA-Griswold-.aspx",""
"Monterey Mushrooms, Inc.","Monterey Mushrooms","$911,800","$0","$911,800","2020","20200406","environment-related offenses","environmental violation","","water pollution","state","agency action","California State Water Resources Control Board","civil","","","","","","California","","","","","","USA","California","privately held","","food products","mushrooms","https://www.waterboards.ca.gov/press_room/press_releases/2020/pr04062020_san_francisco_mushroom_grower_enf.pdf",""
"MONTEREY MUSHROOMS INC.","Monterey Mushrooms","$6,000","$0","$6,000","2020","20201203","environment-related offenses","environmental violation","","wastewater violation","state","agency action","Florida Department of Environmental Protection","civil","","","","","","Florida","","","","","","USA","California","privately held","","food products","mushrooms","https://prodenv.dep.state.fl.us/DepStaging/api/dms/38.941035.1",""
"Monterey Mushrooms, Inc.","Monterey Mushrooms","$7,776","$0","$7,776","2011","20110522","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","privately held","","food products","mushrooms","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2011.pdf",""
"Monterey Mushrooms, Inc.","Monterey Mushrooms","$38,640","$0","$38,640","2006","20061103","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","privately held","","food products","mushrooms","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2007.pdf",""
"Monterey Mushrooms, Inc.","Monterey Mushrooms","$26,562","$0","$26,562","2021","20210201","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","California","privately held","","food products","mushrooms","https://data.texas.gov/dataset/Texas-Commission-on-Environmental-Quality-Administ/u66a-qggj",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$6,000","$0","$6,000","2015","20151006","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ZELLWOOD","5949 SADLER ROAD","32798","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$25,810","$0","$25,810","2016","20160204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MORGAN HILL","642 HALE AVE.","95037","111219","111219: Other Vegetable (except Potato) and Melon Farming","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$8,730","$0","$8,730","2016","20161115","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","BONNE TERRE","2 HAZEL STREET","63628","311421","311421: Fruit and Vegetable Canning","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$7,605","$0","$7,605","2017","20170316","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MADISONVILLE","5816 TX 75","77864","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS","Monterey Mushrooms","$14,221","$0","$14,221","2017","20170606","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","BONNE TERRE","# 2 HAZEL ST.","63628","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$103,000","$0","$103,000","2018","20180104","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MADISONVILLE","5816 TX 75","77864","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$6,098","$0","$6,098","2018","20180109","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","MADISONVILLE","5816 TX 75","77864","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$20,400","$0","$20,400","2018","20180723","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ROYAL OAKS","777 MAHER CT.","95076","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$5,210","$0","$5,210","2019","20190212","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ZELLWOOD","5949 SADLER RD.","32798","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC","Monterey Mushrooms","$7,956","$0","$7,956","2019","20190320","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","ZELLWOOD","5949 SADLER RD","32798","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$69,635","$0","$69,635","2020","20200213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","ROYAL OAKS","777 MAHER CT.","95076","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$55,500","$0","$55,500","2020","20201013","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","MORGAN HILL","642 HALE AVE.","95037","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MONTEREY MUSHROOMS, INC.","Monterey Mushrooms","$75,000","$0","$75,000","2020","20201204","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","WATSONVILLE","777 MAHER CT.","95076","111411","111411: Mushroom Production","USA","California","privately held","","food products","mushrooms","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
