"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Nationstar Mortgage LLC","Mr. Cooper Group","$1,750,000","$0","$1,750,000","2017","20170315","consumer-protection-related offenses","consumer protection violation","mortgage abuses","The Consumer Financial Protection Bureau ordered Nationstar Mortgage LLC to pay a $1.75 million civil penalty for violating the Home Mortgage Disclosure Act by consistently failing to report accurate data about mortgage transactions for 2012 through 2014.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.consumerfinance.gov/about-us/newsroom/cfpb-takes-action-against-nationstar-mortgage-flawed-mortgage-loan-reporting/",""
"Seterus, Inc.","Mr. Cooper Group","$72,162","$0","$72,162","2013","20130730","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-094779","","","Oregon","Beaverton","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$760,000","$0","$760,000","2018","20180514","consumer-protection-related offenses","consumer protection violation","","Nationstar Mortgage agreed to resolve allegations that it charged homeowners illegal inspection fees.","state","agency action","Maryland Attorney General","civil","","","","","","Maryland","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","http://www.marylandattorneygeneral.gov/press/2018/051418.pdf",""
"Nationstar Mortgage LLC dba Mr. Cooper","Mr. Cooper Group","$500,000","$0","$500,000","2018","20180130","consumer-protection-related offenses","mortgage abuses","","Nationstar Mortgage agreed to pay $500,000 restitution and implement a loan modification program with millions of dollars in relief in settlement of allegations it failed to make the good faith efforts to avoid foreclosure as required under Massachusetts law.","state","agency action","Massachusetts Attorney General","civil","","","","","","Massachusetts","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://wayback.archive-it.org/1101/20181225155454/https://www.mass.gov/news/ag-healey-secures-millions-in-relief-for-massachusetts-residents-faced-with-unfair-foreclosure",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$12,500","$0","$12,500","2008","20080115","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Arizona Department of Insurance and Financial Institutions","civil","","","","","","Arizona","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://dfi.az.gov/sites/default/files/media/Nationstar_Mortgage_LLC_Consent.pdf","This case was brought by the Arizona Department of Financial Institutions before it merged with the Department of Insurance."
"Nationstar Mortgage, LLC dba Mr. Cooper","Mr. Cooper Group","$9,118,784","$0","$9,118,784","2017","20171204","consumer-protection-related offenses","consumer protection violation","","Nationstar agreed to pay $4.8 million civil penalty plus refunds in settlement of allegations it overcharged borrowers interest and fees. Some refunds for interest overcharges and fee overcharges had already been paid as part of compliance with the Order.","state","agency action","California Department of Financial Protection and Innovation","civil","","","","","","California","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://dbo.ca.gov/wp-content/uploads/sites/296/2013/04/Nationstar-Mortgage-LLC-Consent-Order.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$105,000","$0","$105,000","2008","20080108","consumer-protection-related offenses","consumer protection violation","","Nationstar agreed to pay $105,000 in support of the Nationwide Mortgage Licensing System in settlement of allegations it violated several mortgage regulations, including using unregistered loan officers, making an unregistered company name change, and failing to maintain required records.","state","agency action","Kentucky Department of Financial Institutions","civil","","","","","","Kentucky","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","http://kfi.ky.gov/legal/Mortgage%20Enforcement%20Actions/Nationstar%20Mortgage%20LLC%20fka%20Centex%20Home%20Equity%20Company%20LLC%20010808.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$19,500","$0","$19,500","2010","20101228","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Kentucky Department of Financial Institutions","civil","","","","","","Kentucky","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","http://kfi.ky.gov/legal/Mortgage%20Enforcement%20Actions/Nationstar%20Mortgatge%20LLC%20122810.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$6,000","$0","$6,000","2016","20160923","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Kentucky Department of Financial Institutions","civil","","","","","","Kentucky","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","http://kfi.ky.gov/legal/Mortgage%20Enforcement%20Actions/Nationstar%20Mortgage%20LLC%2016AH00083.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$25,000","$0","$25,000","2011","20111130","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Massachusetts Division of Banks","civil","","","","","","Massachusetts","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.mass.gov/consent-order/nationstar-mortgage-llc",""
"Seterus, Inc.","Mr. Cooper Group","$10,000","$0","$10,000","2014","20140904","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New Hampshire Banking Department","civil","","","","","","New Hampshire","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.nh.gov/banking/orders/enforcement/documents/14-098-co-20140904.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$17,000,000","$0","$17,000,000","2018","20180411","consumer-protection-related offenses","consumer protection violation","","The Department of Financial Services fined Nationstar Mortgage LLC $5 million for violations of New York State Banking Law, stemming from the company's failure to develop effective, scalable controls that could keep pace with its rapid growth. As a result of DFS examinations, Nationstar made restitution of $7 million to New York borrowers.  Under the consent order with DFS, Nationstar also agreed to donate $5 million in residential real property or first-lien mortgages to one or more non-profit organizations to assist in the rehabilitation of vacant and abandoned properties.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1804111",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$9,200","$0","$9,200","2017","20170816","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Rhode Island Department of Business Regulation","civil","","","","","","Rhode Island","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://dbr.ri.gov/documents/decisions/BK_Consent_Agreement_Nationstar.pdf",""
"Nationstar Mortgage LLC","Mr. Cooper Group","$59,678","$0","$59,678","2016","20161209","consumer-protection-related offenses","consumer protection violation","","","state","agency action","Washington State Department of Financial Institutions","civil","","","","","","Washington","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://dfi.wa.gov/sites/default/files/consumer-services/enforcement-actions/C-15-1666-16-AG01.pdf",""
"Seterus Inc.","Mr. Cooper Group","$350,000","$0","$350,000","2019","20191009","consumer-protection-related offenses","mortgage abuses","","Seterus agreed to pay $350,000 to state regulators to resolve allegations it improperly collected late fees from borrowers.","state","agency action","Multistate Financial  Regulators Case","civil","","","","","","","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://portal.ct.gov/-/media/DOB/Enforcement/Consumer-Credit/2019-CC-Orders/Seterus-Inc-Settlement-Agreement-CO.pdf?la=en",""
"Nationstar Mortgage, LLC dba Mr. Cooper","Mr. Cooper Group","$74,500,000","$0","$74,500,000","2020","20201207","consumer-protection-related offenses","consumer protection violation","mortgage abuses","The Consumer Financial Protection Bureau filed a complaint and proposed stipulated judgment and order against Nationstar Mortgage, LLC, which does business as Mr. Cooper. The Bureau's action is part of a coordinated effort between the Bureau, a multistate group of state attorneys general, and state bank regulators. The Bureau alleges that Nationstar violated multiple Federal consumer financial laws, causing substantial harm to the borrowers whose mortgage loans it serviced, including distressed homeowners. Nationstar agreed to pay approximately $73 million in redress to more than 40,000 harmed borrowers and a $1.5 million civil penalty to the Bureau. State attorneys general issued their own announcements; see separate entry.","federal","agency action","Consumer Financial Protection Bureau","civil","","","","","","","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.consumerfinance.gov/about-us/newsroom/consumer-financial-protection-bureau-multiple-states-enter-settlement-nationstar-mortgage-llc-unlawful-servicing-practices/",""
"Nationstar Mortgage, LLC","Mr. Cooper Group","$40,000,000","$0","$40,000,000","2020","20201207","consumer-protection-related offenses","mortgage abuses","","The Department of Justice's U.S. Trustee Program entered into national agreements with three mortgage servicers to address past mortgage servicing deficiencies impacting homeowners in bankruptcy.","federal","agency action","Justice Department U.S. Trustee Program","civil","","","","","","","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.justice.gov/opa/pr/us-trustee-program-reaches-agreements-three-mortgage-servicers-providing-more-74-million",""
"Nationstar Mortgage dba Mr. Cooper","Mr. Cooper Group","$86,300,000","$74,500,000","$11,800,000","2020","20201207","consumer-protection-related offenses","consumer protection violation","mortgage abuses","Nationstar Mortgage, which does business as Mr. Cooper, agreed to pay $86.8 million to resolve multistate allegations that the mortgage servicer engaged in unlawful practices in the wake of the 2008 financial crisis. The settlement addressed alleged misconduct regarding servicing transfers, property preservation, loan modifications, and other mortgage servicing issues, which in some cases led to improper foreclosure or borrowers being locked out of their homes. The settlement also involved the U.S. Consumer Financial Protection Bureau, which issued its own announcement; see separate entry.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Texas","publicly traded","COOP","financial services","financial services","https://www.oag.ca.gov/news/press-releases/attorney-general-becerra-announces-863-million-multistate-settlement-nationstar",""
