"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Oscar Health Plan of California","Mulberry Health","$10,000","$0","$10,000","2018","20181030","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Oscar+Health+Plan+of+California+",""
"Oscar Health Plan of California","Mulberry Health","$5,000","$0","$5,000","2019","20190531","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Oscar+Health+Plan+of+California+",""
"Oscar Health Plan of California","Mulberry Health","$5,000","$0","$5,000","2019","20191121","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","http://wpso.dmhc.ca.gov/enfactions/actionListing.aspx?OrgType=0&Org=Oscar+Health+Plan+of+California+",""
"Oscar Garden State Insurance Corporation","Mulberry Health","$500,000","$0","$500,000","2018","20180919","consumer-protection-related offenses","insurance violation","","Respondent issued explanation of benefit forms that did not contain all required information, issued inaccurate Summary of Benefits and Coverage forms and improperly applied both an office visit copay and deductible and/or coinsurance to services rendered during the office visit.","state","agency action","New Jersey Department of Banking & Insurance","civil","","","","","","New Jersey","","","","","","USA","New York","privately held","","financial services","insurance","https://www.state.nj.us/dobi/division_insurance/enforcement/e18_96.pdf",""
"Oscar Insurance Corp.","Mulberry Health","$576,950","$0","$576,950","2018","20181212","consumer-protection-related offenses","insurance violation","","Oscar Insurance Corp. was fined $576,950 for violations including the failure to adhere to deadlines for utilization reviews and failure to include detailed explanations of adverse determination notices.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","privately held","","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr1812121",""
"Oscar Insurance Company","Mulberry Health","$75,000","$0","$75,000","2018","20181214","consumer-protection-related offenses","insurance violation","","","state","agency action","Texas Department of Insurance","civil","","","","","","Texas","","","","","","USA","New York","privately held","","financial services","insurance","https://www.tdi.texas.gov/commissioner/disciplinary-orders/documents/20185776.pdf",""
"Oscar Health Plan of California","Mulberry Health","$15,000","$0","$15,000","2020","20200915","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Oscar Health Plan of California","Mulberry Health","$15,000","$0","$15,000","2020","20200616","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Oscar Health Plan of California","Mulberry Health","$75,000","$0","$75,000","2021","20210125","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/3884/1611701496977.pdf",""
"Oscar Health Plan of California","Mulberry Health","$5,000","$0","$5,000","2020","20201218","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/3874/1608575261918.pdf",""
"Oscar Health Plan of California","Mulberry Health","$10,000","$0","$10,000","2021","20210514","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Oscar Health Plan of California","Mulberry Health","$30,000","$0","$30,000","2021","20210519","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/actionSearch.aspx",""
"Oscar Health Plan of California","Mulberry Health","$15,000","$0","$15,000","2021","20210802","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/4008/1628273901055.pdf",""
"Oscar Health Plan of California","Mulberry Health","$7,500","$0","$7,500","2021","20210908","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/4046/1631571414294.pdf",""
"Oscar Insurance Corporation","Mulberry Health","$1,465,800","$0","$1,465,800","2021","20211214","consumer-protection-related offenses","insurance violation","","Aetna Life Insurance, Oscar Life Insurance, and Wellfleet New York Insurance agreed to pay a penalties and restitution in settlement of allegations they sold policies that required consumers to pay a copayment or coinsurance for mental health and substance use disorder benefits that was not permitted under the law.","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","privately held","","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr20211214",""
"Oscar Health Plan of California","Mulberry Health","$12,500","$0","$12,500","2021","20211123","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/4064/1638314703771.pdf",""
"Oscar Health Plan of California","Mulberry Health","$10,000","$0","$10,000","2022","20220105","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Managed Health Care","civil","","","","","","California","","","","","","USA","New York","privately held","","financial services","insurance","https://wpso.dmhc.ca.gov/enfactions/docs/4084/1641508247190.pdf",""
