"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"American Alternative Insurance Corp.","Munich Re","$49,500","$0","$49,500","2019","20191202","consumer-protection-related offenses","insurance violation","","","state","agency action","Connecticut Insurance Department","civil","","","","","","Connecticut","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.catalog.state.ct.us/cid/portalApps/images/reports/10686047.pdf",""
"American Alternative Insurance Corp.","Munich Re","$21,500","$0","$21,500","2003","20031015","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.floir.com/siteDocuments/Amer_Alter_62308-02-CO.pdf",""
"American Modern Home Insurance Co.","Munich Re","$5,000","$0","$5,000","2010","20101117","consumer-protection-related offenses","insurance violation","","","state","agency action","Maryland Insurance Administration","civil","","","MIA-2010-11-025","","","Maryland","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.apps.insurance.maryland.gov/CompanyProducerInfo/InsOrder.aspx",""
"American Modern Insurance Group, Inc. et al.","Munich Re","$1,000,000","$0","$1,000,000","2016","20160506","consumer-protection-related offenses","insurance violation","","American Modern Insurance Group, plus subsidiaries including American Family Home Insurance Co., American Western Home Insurance Co, American Southern Home Insurance Co. and Midwest Enterprises, Inc. dba Ameritrac, agreed to pay a $1 million civil penalty plus refunds to customers in settlement of allegations they did business in Force-Placed Insurance while paying improper rebates to Servicers, charging excessive premiums, and providing inaccurate information to the Department of Commerce. ","state","agency action","Minnesota Department of Commerce","civil","","","","","","Minnesota","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.cards.commerce.state.mn.us/CARDS/security/search.do?documentId={4D362D86-32CA-4479-AE78-D72DE8083445}",""
"American Modern Home Insurance Co.","Munich Re","$10,000","$0","$10,000","2015","20150821","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Germany","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/AmericanModernHomeInsCo.pdf",""
"American Alternative Insurance Corp.","Munich Re","$85,000","$0","$85,000","2019","20190521","consumer-protection-related offenses","insurance violation","","","state","agency action","Missouri Department of Insurance","civil","","","","","","Missouri","","","","","","Germany","","publicly traded","","financial services","insurance","https://insurance.mo.gov/Contribute%20Documents/AAIC519.pdf",""
"American Modern Home Insurance Company","Munich Re","$1,860,000","$0","$1,860,000","2012","20121205","consumer-protection-related offenses","insurance violation","","","state","agency action","North Carolina Department of Insurance","civil","","","","","","North Carolina","","","","","","Germany","","publicly traded","","financial services","insurance","AMERICAN MODERN HOME AND AMERICAN FAMILY HOME INSURANCE COMPANIES TO ISSUE $1.6M IN REFUNDS, US State News, December 5, 2012 (via Nexis).",""
"American Family Home Insurance Company","Munich Re","$25,000","$0","$25,000","2015","20150115","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.dfs.ny.gov/system/files/documents/2019/11/da20150513.pdf",""
"American Modern Home Insurance Company","Munich Re","$150,000","$0","$150,000","2015","20150115","consumer-protection-related offenses","insurance violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","Germany","","publicly traded","","financial services","insurance","https://www.dfs.ny.gov/system/files/documents/2019/11/da20150513.pdf",""
"American Family Home Insurance Co.","Munich Re","$9,800","$0","$9,800","2011","20110518","consumer-protection-related offenses","insurance violation","","","state","agency action","South Carolina Department of Insurance","civil","","","","","","South Carolina","","","","","","Germany","","publicly traded","","financial services","insurance","https://doi.sc.gov/DocumentCenter/View/3437/American-Family-Home-Insurance-Co",""
