"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Murphy Oil USA","Murphy USA","$144,750,000","$0","$144,750,000","2010","20100928","environment-related offenses","environmental violation","","Murphy Oil USA agreed to spend more than $142 million to install new and upgraded pollution reduction equipment at its two petroleum refineries in Wisconsin and Louisiana as part of a comprehensive Clean Air Act settlement. The settlement also required Murphy to pay a $1.25 million civil penalty and spend an additional $1.5 million on a supplemental environmental project.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","http://www.justice.gov/opa/pr/murphy-oil-usa-spend-more-142-million-upgrading-pollution-controls-refineries-louisiana",""
"Murphy Oil USA, Inc.","Murphy USA","$13,000,000","$0","$13,000,000","2002","20020124","environment-related offenses","environmental violation","","The Justice Department, the Environmental Protection Agency and the Wisconsin Department of Justice announced a settlement with Murphy Oil USA, Inc. under which the company agreed to spend $7.5 million to cut sulfur dioxide emissions from its Superior, Wisconsin refinery and pay a $5.5 million civil penalty.","federal","agency action","Justice Department Environment and Natural Resources Division","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.justice.gov/archive/opa/pr/2002/January/02_enrd_039.htm",""
"MURPHY OIL USA, INC.","Murphy USA","$10,000","$0","$10,000","2013","20130401","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"MURPHY OIL USA, INC.","Murphy USA","$7,500","$0","$7,500","2012","20120523","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"MURPHY OIL U.S.A.,INC.","Murphy USA","$62,971","$0","$62,971","2009","20090707","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","MERAUX","2500 E. ST. BERNARD HWY","70075","324110","324110: Petroleum Refineries","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MURPHY OIL USA, INC.","Murphy USA","$179,100","$0","$179,100","2007","20070822","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wisconsin","SUPERIOR","2407 STINSON AVE.","54880","324110","324110: Petroleum Refineries","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"MURPHY OIL U.S.A.,INC.","Murphy USA","$58,500","$0","$58,500","2002","20020606","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","MERAUX","2500 E. ST. BERNARD HWY","70075","324110","324110: Petroleum Refineries","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Murphy Oil USA, Inc.","Murphy USA","$100,000","$0","$100,000","2018","20180813","employment-related offenses","employment discrimination","","disability and retaliation","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.eeoc.gov/eeoc/newsroom/release/8-13-18c.cfm","Description field shows type of discrimination that EEOC had alleged."
"Murphy Oil USA Inc.","Murphy USA","$624,999","$624,999","$0","2010","20100928","environment-related offenses","environmental violation","","Murphy Oil agreed to pay $395,312 to Louisiana and $229,687 to Wisconsin to resolve Clean Air Act violations at two petroleum refineries. These were part of a larger $144 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-murphy-oil-usa","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Murphy Oil USA Agrees to Substantially Upgrade Pollution Controls - Will Spend Over $142 Million at Refineries in Wisconsin and Louisiana, Targeted News Service, September 28, 2010 (via Nexis).",""
"Murphy Oil USA Inc.","Murphy USA","$125,000","$0","$125,000","2004","20040503","environment-related offenses","environmental violation","","air pollution","state","agency action","Wisconsin Attorney General","civil","","","","","","Wisconsin","Superior","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Murphy Oil's refinery in Superior agrees to pay $250,000 fine, The Associated Press State & Local Wire, May 3, 2004 (via Nexis).",""
"Murphy Oil USA, Inc.","Murphy USA","$90,000","$0","$90,000","2010","20100525","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","10-114-CAP","","","Alabama","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","http://adem.alabama.gov/compInfo/2010orders.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$30,000","$0","$30,000","2010","20100319","environment-related offenses","environmental violation","","Air Program","state","agency action","Alabama Department of Environmental Management","civil","","","10-084-CAP","","","Alabama","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","http://adem.alabama.gov/compInfo/2010orders.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$6,400","$0","$6,400","2016","20160125","environment-related offenses","environmental violation","","air quality violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2016-01-25_Notice_of_Enforcement_Actions.pdf",""
"MURPHY OIL USA, INC.","Murphy USA","$18,000","$0","$18,000","2008","20080801","environment-related offenses","environmental violation","","petroleum tank violation","state","agency action","Florida Department of Environmental Protection","civil","","","62256","","","Florida","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in a spreadsheet received from the agency on October 2, 2020 in response to an open records request. The spreadsheet included data from  the agency's Oculus database, which can be searched at https://prodenv.dep.state.fl.us/DepNexus/public/searchPortal","Case number is the designation given by the DEP's Office of General Counsel."
"Murphy Oil USA, Inc","Murphy USA","$10,000","$0","$10,000","2017","20170101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","El Dorado","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Murphy Oil USA, Inc.","Murphy USA","$6,000","$0","$6,000","2012","20120101","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Iowa Department of Natural Resources","civil","","","","","","Iowa","Altoona","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in a spreadsheet obtained from the agency on October 8, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://www.iowadnr.gov/About-DNR/About-DNR/Enforcement-Actions",""
"Murphy Oil USA, Inc.","Murphy USA","$22,988","$0","$22,988","2015","20151214","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","Meraux","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2015/MurphyOil0031_Final.pdf",""
"Murphy Oil USA Inc.","Murphy USA","$7,500","$0","$7,500","2016","20161212","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","671116","","","Mississippi","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1216643",""
"Murphy Oil USA, Inc.","Murphy USA","$26,058","$0","$26,058","2020","20200525","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Marion","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$6,143","$0","$6,143","2020","20200511","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Belmont","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$10,361","$0","$10,361","2020","20200511","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Eden","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$16,254","$0","$16,254","2020","20200511","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Mayodan","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$10,446","$0","$10,446","2020","20200511","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Winston Salem","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$26,747","$0","$26,747","2020","20200511","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Winston Salem","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2020.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$7,090","$0","$7,090","2018","20181029","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Murphy","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2018.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$6,035","$0","$6,035","2015","20150302","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","Gastonia","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://files.nc.gov/ncdeq/Waste%20Management/DWM/UST/Civil%20Penalty/2015.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$10,000","$0","$10,000","2010","20100805","environment-related offenses","environmental violation","","","state","agency action","Ohio Environmental Protection Agency","civil","","","","","","Ohio","Oberlin","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","http://edocpub.epa.ohio.gov/publicportal/ViewDocument.aspx?docid=55023","Penalty listed includes a $2,000 Supplemental Environmental Project."
"Murphy Oil USA, Inc. dba Murphy Express #8756","Murphy USA","$9,625","$0","$9,625","2020","20200117","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","APC19-0021","","","Tennessee","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Murphy Oil USA No. 7264","Murphy USA","$53,280","$0","$53,280","2019","20190813","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","UST18-0060","","","Tennessee","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Murphy Oil USA #7332","Murphy USA","$18,000","$0","$18,000","2011","20110614","environment-related offenses","environmental violation","","underground storage tank violation","state","agency action","Tennessee Department of Environment & Conservation","civil","","","UST10-0042","","","Tennessee","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","Contained in data received from the agency on January 25, 2021 in response to an open records request. The data was a spreadsheet compilation of information in the search engine at http://tdec.tn.gov:8080/pls/enf_reports/f?p=9001:710::::::",""
"Murphy Oil USA, Inc.","Murphy USA","$30,980","$0","$30,980","2020","20200525","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Murphy Oil USA, Inc.","Murphy USA","$14,102","$0","$14,102","2020","20200413","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Murphy Oil USA, Inc.","Murphy USA","$15,022","$0","$15,022","2020","20200121","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.tceq.texas.gov/compliance/enforcement/enforcement-reports/annenfreport.html",""
"Murphy Oil USA, Inc.","Murphy USA","$40,014","$0","$40,014","2017","20171115","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2018.pdf",""
"Murphy Oil USA, Inc.","Murphy USA","$5,250","$0","$5,250","2013","20131116","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Arkansas","publicly traded","MUSA","retailing","gas stations","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2014.pdf",""
