"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Nabors Alaska Drilling, Inc.","Nabors Industries","$135,831","$0","$135,831","2000","20000720","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-24334-001","","","Alaska","Anchorage","","99503-2639","211111","211111: Crude Petroleum and Natural Gas Extraction","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"NABORS DRILLING COMPANY","Nabors Industries","$7,000","$0","$7,000","2009","20090908","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","North Dakota","KEENE","RIG 460, SWSE 35-152N-95W","58847","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS WELL SERVICES","Nabors Industries","$18,000","$0","$18,000","2010","20100601","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","BAKERSFIELD","7515 ROSEDALE HWY","93308","213112","213112: Support Activities for Oil and Gas Operations","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA LP RIG 776","Nabors Industries","$15,275","$0","$15,275","2009","20090414","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","PHARR","SAM HOUSTON PARKWAY","78577","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA LP","Nabors Industries","$5,000","$0","$5,000","2008","20080624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","PINEDALE","SEC 8, T33N, R109W","82941","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA","Nabors Industries","$9,000","$0","$9,000","2009","20090430","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PARACHUTE","NABORS DRILLING USA - RIG 573","81635","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA","Nabors Industries","$5,500","$0","$5,500","2009","20090428","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","PARACHUTE","NABORS DRILLING USA - RIG 577","81635","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA LP, RIG#722","Nabors Industries","$9,180","$0","$9,180","2008","20080128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","CATARINA","ESPEJOS RD, 20 MI S OF HWY 83/FM 2688","78336","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA, LP","Nabors Industries","$13,925","$0","$13,925","2007","20071028","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","NATURITA","ANDY'S MESA 69","81422","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NABORS DRILLING USA, LP","Nabors Industries","$20,500","$0","$20,500","2007","20070612","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","NATURITA","RIG 926 IN DESPERATION VALLEY","81422","213111","213111: Drilling Oil and Gas Wells","Bermuda","","publicly traded","NBR","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
