"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Nally and Hamilton Enterprises, Inc.","Nally & Hamilton Enterprises","$660,000","$0","$660,000","2014","20140523","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency (EPA) Region 4 has reached an agreement with Nally and Hamilton Enterprises, Inc. (Nally), for filling streams at two coal mining sites in Kentucky in violation of the Clean Water Act (CWA). Under the terms of the Consent Decree, Nally will pay a total civil penalty of $660,000 and has agreed to restore three streams impacted during unauthorized coal mining activities.","federal","agency action","Environmental Protection Agency","civil","","","","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/e92695f4f0f6c43985257ce100731dd3.html",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$40,000","$0","$40,000","2017","20170511","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -29271","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$40,000","$0","$40,000","2017","20170511","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33513","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$40,000","$0","$40,000","2017","20170511","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33514","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$40,000","$0","$40,000","2017","20170511","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -33515","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$40,000","$0","$40,000","2017","20170511","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -42336","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$8,800","$0","$8,800","2016","20161011","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -46807","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$6,500","$0","$6,500","2016","20160309","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -46381","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$7,800","$0","$7,800","2015","20151123","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -45289","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$19,200","$0","$19,200","2015","20151120","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -45161","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES, INC.","Nally & Hamilton Enterprises","$364,000","$0","$364,000","2015","20150812","environment-related offenses","environmental violation","","water pollution violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","DOW -46025","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$6,500","$0","$6,500","2014","20141110","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -44867","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$20,000","$0","$20,000","2014","20140618","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -44743","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$5,000","$0","$5,000","2014","20140303","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -44916","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$5,000","$0","$5,000","2014","20140221","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -44703","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$5,700","$0","$5,700","2013","20131113","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -44389","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$62,500","$0","$62,500","2013","20131113","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAC -44155","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
"NALLY & HAMILTON ENTERPRISES INC","Nally & Hamilton Enterprises","$62,500","$0","$62,500","2013","20131113","environment-related offenses","environmental violation","","mining violation","state","agency action","Kentucky Department for Environmental Protection","civil","","","PAH -44155","","","Kentucky","","","","","","USA","Kentucky","privately held","","mining and minerals","coal mining","Contained in data received from the agency on October 23, 2020 in response to an open records request.",""
