"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"KeySpan Corporation","National Grid","$12,000,000","$0","$12,000,000","2010","20100222","competition-related offenses","price-fixing or anti-competitive practices","","The Department of Justice announced a settlement with KeySpan Corporation that requires KeySpan to pay $12 million for violating the antitrust laws by entering into an agreement restraining competition in the New York City electricity capacity market. The department said the financial derivative agreement likely resulted in a price increase for retail electricity suppliers and, in turn, an increase in electricity prices for consumers.","federal","agency action","Justice Department Antitrust Division","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","https://www.justice.gov/opa/pr/justice-department-requires-keyspan-disgorge-12-million-profits-anticompetitive-agreement",""
"National Grid","National Grid","$220,000","$0","$220,000","2009","20091002","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-45480-001","","","Massachusetts","Westborough","","01582","221119","221119: Other Electric Power Generation","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"National Grid, formerly New England Gas Company","National Grid","$22,500","$0","$22,500","2006","20061228","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-43498-001","","","Rhode Island","Providence","","02914","221210","221210: Natural Gas Distribution","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"NATIONAL GRID LNG L.P.","National Grid","$108,000","$0","$108,000","2007","20070913","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120063004.html?nocache=9900",""
"NATIONAL GRID LNG L.P.","National Grid","$41,000","$0","$41,000","2009","20091229","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120073006.html?nocache=9493",""
"NATIONAL GRID LNG L.P.","National Grid","$11,600","$0","$11,600","2006","20060410","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_120023001.html?nocache=7081",""
"NATIONAL GRID GENERATION LLC","National Grid","$15,000","$0","$15,000","2008","20080512","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NORTHPORT","301 WATERSIDE AVENUE","11768","221112","221112: Fossil Fuel Electric Power Generation","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KEYSPAN ENERGY DELIVERY","National Grid","$6,000","$0","$6,000","2006","20060425","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Massachusetts","BRAINTREE","CHURCH & WASHINGTON STREETS","02184","221210","221210: Natural Gas Distribution","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KEYSPAN ENERGY CORP.","National Grid","$5,400","$0","$5,400","2006","20060629","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","LIDO BEACH","LIDO BLVD.","11561","221122","221122: Electric Power Distribution","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"KEYSPAN ENERGY CORP.","National Grid","$5,000","$0","$5,000","2003","20030416","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NORTHPORT","NORTHPORT POWER STATION, EATON NECKS RD.","11768","221112","221112: Fossil Fuel Electric Power Generation","United Kingdom","","publicly traded","LSE: NG","utilities and power generation","utilities","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
