"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"National Healthcare Corporation","National Healthcare Corp.","$27,000,000","$0","$27,000,000","2000","20001215","government-contracting-related offenses","False Claims Act and related","","National Healthcare Corporation agreed to pay the United States $27 million to resolve allegations under the False Claims Act that beginning in 1991 the company submitted nursing home cost reports that falsely claimed that facility staff members spent more time caring for Medicare patients than they actually did in order to collect additional money from the federal health care program.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://www.justice.gov/archive/opa/pr/2000/December/699civ.htm",""
"NHC Healthcare/Clinton, LLC","National Healthcare Corp.","$50,000","$0","$50,000","2016","20160125","employment-related offenses","employment discrimination","Americans with Disabilities Act","pregnancy and disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","South Carolina","Clinton","","","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://www.eeoc.gov/eeoc/newsroom/release/1-25-16b.cfm","Description field shows type of discrimination that EEOC had alleged."
"NHC HEALTHCARE, TOWN & COUNTRY","National Healthcare Corp.","$5,363","$0","$5,363","2015","20151201","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","TOWN AND COUNTRY","13995 CLAYTON ROAD","63017","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, FARRAGUT","National Healthcare Corp.","$5,481","$0","$5,481","2017","20170620","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","KNOXVILLE","120 CAVETT HILL LANE","37922","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, KNOXVILLE","National Healthcare Corp.","$6,500","$0","$6,500","2015","20151021","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","KNOXVILLE","809 EAST EMERALD AVE","37917","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, HENDERSONVILLE","National Healthcare Corp.","$6,500","$0","$6,500","2017","20170628","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","HENDERSONVILLE","370 OLD SHACKLE ISLAND RD","37075","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, DICKSON","National Healthcare Corp.","$10,530","$0","$10,530","2016","20160707","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","DICKSON","812 CHARLOTTE ST","37055","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, TOWN & COUNTRY","National Healthcare Corp.","$11,050","$0","$11,050","2016","20160309","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","TOWN AND COUNTRY","13995 CLAYTON ROAD","63017","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, FARRAGUT","National Healthcare Corp.","$14,757","$0","$14,757","2017","20170620","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","KNOXVILLE","120 CAVETT HILL LANE","37922","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, ST CHARLES","National Healthcare Corp.","$21,884","$0","$21,884","2017","20170518","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","SAINT CHARLES","35 SUGAR MAPLE LANE","63303","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"VILLAGES OF JACKSON CREEK, THE","National Healthcare Corp.","$23,659","$0","$23,659","2016","20161114","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","INDEPENDENCE","3980 SOUTH JACKSON DRIVE","64057","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, TOWN & COUNTRY","National Healthcare Corp.","$38,322","$0","$38,322","2016","20160922","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","TOWN AND COUNTRY","13995 CLAYTON ROAD","63017","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, JOPLIN","National Healthcare Corp.","$77,365","$0","$77,365","2016","20161110","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","JOPLIN","2700 EAST 34TH STREET,  PO BOX 2877","64803","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC PLACE AT COOL SPRINGS","National Healthcare Corp.","$663,500","$0","$663,500","2015","20150814","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","FRANKLIN","211 COOL SPRINGS BLVD","37067","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, JOPLIN","National Healthcare Corp.","$85,228","$0","$85,228","2019","20190308","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Missouri","JOPLIN","2700 EAST 34TH STREET,  PO BOX 2877","64803","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC PLACE AT COOL SPRINGS","National Healthcare Corp.","$12,938","$0","$12,938","2019","20190822","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Tennessee","FRANKLIN","211 COOL SPRINGS BLVD","37067","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
"NHC HEALTHCARE, ANNISTON","National Healthcare Corp.","$8,557","$0","$8,557","2020","20200724","safety-related offenses","nursing home violation","","","federal","agency action","Centers for Medicare & Medicaid Services","civil","","","","","","Alabama","ANNISTON","2300 COLEMAN RD","36207","","","USA","Tennessee","publicly traded","NHC","healthcare services","skilled nursing facilities","https://data.cms.gov/provider-data/dataset/g6vv-u9sr",""
