"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"MOLYCORP INC","Neo Performance Materials","$55,000","$0","$55,000","2009","20090910","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","mining and minerals","mining","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"MOLYCORP INC","Neo Performance Materials","$15,000","$0","$15,000","2006","20061205","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","Canada","","publicly traded","","mining and minerals","mining","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Molycorp, Inc.","Neo Performance Materials","$191,437","$0","$191,437","2012","20120829","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1651764","","","California","Mountain Pass","","92366","212299","212299: All Other Metal Ore Mining","Canada","","publicly traded","","mining and minerals","mining","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Molycorp Minerals, LLC","Neo Performance Materials","$27,300","$0","$27,300","2014","20140421","environment-related offenses","environmental violation","","The U.S. Environmental Protection Agency today ordered Molycorp Minerals, LLC, to pay a $27,300 penalty for improper management of hazardous waste at its San Bernardino County mine and mineral processing facility. The violations were discovered as part of unannounced EPA inspections in October 2012.","federal","agency action","Environmental Protection Agency","civil","","","","","","California","","","","","","Canada","","publicly traded","","mining and minerals","mining","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/6e94180b229d259485257cc100613ae9.html",""
"Molycorp Rare Metals (Oklahoma) LLC","Neo Performance Materials","$12,830","$0","$12,830","2013","20130625","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Oklahoma","QUAPAW","","","","","Canada","","publicly traded","","mining and minerals","mining","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2013-pdf",""
"MOLYCORPMOLYCORP MOUNTAIN PASS MINE","Neo Performance Materials","$27,300","$27,300","$0","2014","20140417","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","09-2014-5001","","","California","MOUNTAIN PASS","67750 BAILEY ROAD","92366","212299","212299: All Other Metal Ore Mining","Canada","","publicly traded","","mining and minerals","mining","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Molycorp Minerals","Neo Performance Materials","$9,000","$0","$9,000","2013","20131211","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Primm","","","","","Canada","","publicly traded","","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Molycorp Minerals","Neo Performance Materials","$25,000","$0","$25,000","2014","20140818","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Primm","","","","","Canada","","publicly traded","","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Molycorp Minerals","Neo Performance Materials","$15,000","$0","$15,000","2014","20140226","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Primm","","","","","Canada","","publicly traded","","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Molycorp Minerals","Neo Performance Materials","$6,000","$0","$6,000","2014","20140624","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Primm","","","","","Canada","","publicly traded","","mining and minerals","mining","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
