"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"AMERICAN PRESIDENT LINES LTD.","Neptune Orient Lines","$5,250","$0","$5,250","2009","20090318","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","publicly traded","","freight and logistics","shipping","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"AMERICAN PRESIDENT LINES LTD.","Neptune Orient Lines","$8,300","$0","$8,300","2008","20081126","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","publicly traded","","freight and logistics","shipping","https://railroads.dot.gov/sites/fra.dot.gov/files/fra_net/282/Annual_Enforcement_Report_2009.pdf",""
"American President Lines Ltd.","Neptune Orient Lines","$7,500","$0","$7,500","2007","20070814","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","publicly traded","","freight and logistics","shipping","Taken from the Federal Railroad Administration's FY2007 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"American President Lines, LTD","Neptune Orient Lines","$127,547","$0","$127,547","2009","20090206","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1548215","","","California","Oakland","","94607","483111","483111: Deep Sea Freight Transportation","Singapore","","publicly traded","","freight and logistics","shipping","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"APL Limited","Neptune Orient Lines","$26,300,000","$0","$26,300,000","2009","20090213","government-contracting-related offenses","False Claims Act and related","","APL Limited agreed to pay the government $26.3 million to resolve allegations that it submitted false claims in connection with contracts to transport cargo in shipping containers to support U.S. troops in Iraq and Afghanistan.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Singapore","","publicly traded","","freight and logistics","shipping","https://www.justice.gov/opa/pr/apl-ltd-pay-us-263-million-resolve-fraud-allegations-inflated-shipping-costs-military-iraq",""
"APL Limited","Neptune Orient Lines","$24,545","$0","$24,545","2009","20090206","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1552559","","","California","Oakland","","94607","483111","483111: Deep Sea Freight Transportation","Singapore","","publicly traded","","freight and logistics","shipping","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"APL Limited","Neptune Orient Lines","$9,800,000","$0","$9,800,000","2015","20151027","government-contracting-related offenses","False Claims Act and related","","APL Limited agreed to pay the government $9.8 million to resolve allegations that it violated the False Claims Act in connection with a contract to provide GPS tracking of shipping containers in Afghanistan.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Singapore","","publicly traded","","freight and logistics","shipping","https://www.justice.gov/opa/pr/apl-ltd-pay-98-million-resolve-alleged-false-claims-under-department-defense-shipping",""
"AMERICAN PRESIDENT LINES, LTD.","Neptune Orient Lines","$6,088","$0","$6,088","2009","20090128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","DUTCH HARBOR","1125 E.POINT RD. TERMINAL ONE","99692","488320","488320: Marine Cargo Handling","Singapore","","publicly traded","","freight and logistics","shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"AMERICAN PRESIDENT LINES, LTD.","Neptune Orient Lines","$8,849","$0","$8,849","2009","20090128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alaska","DUTCH HARBOR","1125 E.POINT RD. TERMINAL ONE","99692","488320","488320: Marine Cargo Handling","Singapore","","publicly traded","","freight and logistics","shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"APL LOGISTICS","Neptune Orient Lines","$5,750","$0","$5,750","2006","20060407","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","07NCHO CUCAMONGA","9050 HERMOSA AVE","91730","493110","493110: General Warehousing and Storage","Singapore","","publicly traded","","freight and logistics","shipping","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
