"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ACUITY SPECIALTY PRODUCTS GROUP INC","New Mountain Capital","$14,030","$0","$14,030","2008","20080513","safety-related offenses","motor vehicle safety violation","","MD-2008-0009-US0537","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Georgia","ATLANTA","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2008-pdf","Year is fiscal year. Date is closing date."
"Acuity Specialty Products Group, Inc","New Mountain Capital","$15,074","$0","$15,074","2007","20070709","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1485631","","","Georgia","Atlanta","","30327","325611","325611: Soap and Other Detergent Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Brinderson Constructors Inc.","New Mountain Capital","$22,500","$0","$22,500","2009","20090825","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","21-CA-38378-001","","","California","Torrance","","90502","238990","238990: All Other Specialty Trade Contractors","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"INSITUFORM TECHNOLOGIES USA, INC","New Mountain Capital","$13,490","$0","$13,490","2006","20061002","safety-related offenses","motor vehicle safety violation","","MO-2006-0176-US0591","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","Missouri","CHESTERFIELD","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf",""
"Intermarine, Inc.","New Mountain Capital","$54,162","$0","$54,162","2004","20040103","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1307822","","","Louisiana","New Orleans","","70130","48832","48832: Marine Cargo Handling","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"JDA Software Group Inc.","New Mountain Capital","$750,000","$0","$750,000","2014","20140925","financial offenses","accounting fraud or deficiencies","","A Scottsdale, Ariz.-based software company settled allegations of having inadequate internal accounting controls over its financial reporting, which resulted in misstated revenues in public filings.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370543042731",""
"Medical Specialties Distributors, LLC","New Mountain Capital","$12,082","$0","$12,082","2006","20060831","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1453775","","","Illinois","Lombard","","60148","3391","3391: Medical Equipment and Supplies Manufacturing","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"INSITUFORM TECH INC","New Mountain Capital","$20,250","$0","$20,250","2009","20090122","environment-related offenses","environmental violation","","","state","agency action","Pennsylvania Department of Environmental Protection","civil","","","","","","Pennsylvania","","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Contained in data received from the agency on February 25, 2021 in response to an open records request. The data -- which in some cases merged penalty amounts from multiple violations --was a spreadsheet version of information contained in individual case documents that can be retrieved at https://www.ahs.dep.pa.gov/eFACTSWeb/default.aspx",""
"Acuity Specialty Products, Inc.,","New Mountain Capital","$3,800,000","$0","$3,800,000","2007","20070629","environment-related offenses","environmental violation","","Acuity Specialty Products, Inc., a company with a manufacturing plant in Atlanta pleaded guilty to a one-count information charging it with a knowing violation of the Clean Water Act. Per the terms of the plea agreement, a federal judge imposed a sentence of three years of probation and a fine of $3.8 million.","federal","agency action","Justice Department Environment and Natural Resources Division","criminal","","","","","","Georgia","Atlanta","","","","","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","https://www.justice.gov/archive/opa/pr/2007/June/07_enrd_476.html",""
"TRC Solutions","New Mountain Capital","$22,476","$0","$22,476","2010","20100608","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-22709-001","","","California","Irvine","","92618","541620","541620: Environmental Consulting Services","USA","New York","privately held","","private equity (including portfolio companies)","private equity (including portfolio companies)","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
