"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"New York Life Insurance & Annuity Corporation","New York Life Insurance","$10,929,000","$0","$10,929,000","2021","20210302","consumer-protection-related offenses","consumer protection violation","","","state","agency action","New York Department of Financial Services","civil","","","","","","New York","","","","","","USA","New York","mutual","","financial services","insurance","https://www.dfs.ny.gov/reports_and_publications/press_releases/pr202003021",""
"New York Life","New York Life Insurance","$94,818","$0","$94,818","2016","20160324","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Middle District of Florida","15-cv-0159","Copeland-Stewart v. New York Life Insurance Company","settlement","","","","","","","USA","New York","mutual","","financial services","insurance","",""
"New York Life Investment Management LLC","New York Life Insurance","$6,100,784","$0","$6,100,784","2009","20090527","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","mutual","","financial services","insurance","https://www.sec.gov/litigation/admin/2009/ia-2883.pdf",""
"New York Life Insurance","New York Life Insurance","$6,000,000","$0","$6,000,000","2006","20060928","employment-related offenses","employment discrimination","age discrimination","A jury awarded the plaintiff $6 million in compensatory damages and $10 million in punitive damages, but an appeals court threw out the punitive damages award (6th Cir., No. 07-4186).","federal","private litigation","","civil","","Northern District of Ohio","1:05-cv-2872","Morgan v. New York Life Insurance Company","verdict","","","","","","","USA","New York","mutual","","financial services","insurance","https://caselaw.findlaw.com/us-6th-circuit/1173017.html",""
"New York Life Insurance","New York Life Insurance","$14,000,000","$0","$14,000,000","2008","20080305","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Eastern District of Pennsylvania","2:99-cv-5417","Mehling, et al v. New York Life Insurance Co, et al","settlement","","","","","","","USA","New York","mutual","","financial services","insurance","https://www.law.com/almID/900005560667/",""
"New York Life Insurance Company","New York Life Insurance","$3,000,000","$0","$3,000,000","2017","20170615","employment-related offenses","benefit plan administrator violation","pension ERISA violation","","federal","private litigation","","civil","","Southern District of New York","1:16-cv-5698","Andrus et al v. New York Life Insurance Company et al","settlement","","","","","","","USA","New York","mutual","","financial services","insurance","https://ecf.nysd.uscourts.gov/cgi-bin/DktRpt.pl?460465",""
"New York Life Insurance Company","New York Life Insurance","$15,000,000","$0","$15,000,000","2013","20131024","consumer-protection-related offenses","insurance violation","","New York Life agreed to pay $15 million to settle multistate litigation regarding its use of the Social Security Administration's Death Master File.","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","USA","New York","mutual","","financial services","insurance","Settlement Reached in Death Master Case with NY Life, States News Service, October 24, 2013 (via Nexis).",""
"New York Life Insurance Co.","New York Life Insurance","$175,000","$0","$175,000","2009","20090320","consumer-protection-related offenses","insurance violation","","","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","USA","New York","mutual","","financial services","insurance","https://legaldocs.insurance.ca.gov/publicdocs/SearchBasic",""
"New York Life Insurance and Annuity Corp.","New York Life Insurance","$5,000","$0","$5,000","2018","20180730","consumer-protection-related offenses","insurance violation","","","state","agency action","Delaware Department of Insurance","civil","","","","","","Delaware","","","","","","USA","New York","mutual","","financial services","insurance","https://insurance.delaware.gov/wp-content/uploads/sites/15/2018/08/new_york_20180730164954.pdf",""
"New York Life Insurance Co.","New York Life Insurance","$18,000","$0","$18,000","2011","20110310","consumer-protection-related offenses","insurance violation","","","state","agency action","Florida Office of Financial Regulation","civil","","","","","","Florida","","","","","","USA","New York","mutual","","financial services","insurance","https://www.floir.com/siteDocuments/LH-Exams/NYLife113616-10-CO.pdf",""
"NYLIFE Securities, LLC","New York Life Insurance","$275,000","$0","$275,000","2017","20170119","financial offenses","investor protection violation","","","state","agency action","Indiana Securities Division","civil","","","16-0020 CA","","","Indiana","","","","","","USA","New York","mutual","","financial services","insurance","https://securities.sos.in.gov/admin-actions-search/",""
"NYLIFE Securities LLC","New York Life Insurance","$50,000","$0","$50,000","2019","20190606","financial offenses","investor protection violation","","","state","agency action","Maine Office of Securities","civil","","","","","","Maine","","","","","","USA","New York","mutual","","financial services","insurance","https://www.maine.gov/tools/whatsnew/index.php?topic=SEC-LegalDocs&id=1308161&v=Default",""
