"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Afton Chemical Corporation","NewMarket Corp.","$10,000","$0","$10,000","2011","20110413","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Afton Chemical Corporation","NewMarket Corp.","$7,500","$0","$7,500","2012","20120606","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Afton Chemical Corporation","NewMarket Corp.","$5,000","$0","$5,000","2011","20110122","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ETHYL CORPORATION","NewMarket Corp.","$6,900","$0","$6,900","2011","20110104","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ETHYL CORPORATION","NewMarket Corp.","$5,750","$0","$5,750","2008","20081124","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://railroads.dot.gov/sites/fra.dot.gov/files/fra_net/282/Annual_Enforcement_Report_2009.pdf",""
"ETHYL CORPORATION","NewMarket Corp.","$5,000","$0","$5,000","2011","20110211","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Ethyl Canada, Inc.","NewMarket Corp.","$7,100","$0","$7,100","2012","20120718","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Afton Chemical Corporation","NewMarket Corp.","$8,000","$0","$8,000","2018","20180327","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","ZAFQ 2017-1(HMT)","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.fra.dot.gov/eLib/Find#p1_z5_lEA",""
"AFTON CHEMICAL CORPORATION","NewMarket Corp.","$31,440","$0","$31,440","2017","20171115","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2018.pdf",""
"Ethyl Corporation","NewMarket Corp.","$5,881","$0","$5,881","2017","20171024","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2018.pdf",""
"AFTON CHEMICAL CORP","NewMarket Corp.","$168,000","$0","$168,000","2012","20120628","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2012-5037","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Ethyl Corporation","NewMarket Corp.","$69,858","$0","$69,858","2015","20150121","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2015-0910","","","","","","","","","USA","Virginia","publicly traded","NEU","chemicals","petroleum additives","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
