"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hudson Valley Hospital Center, Inc.","NewYork-Presbyterian","$142,500","$0","$142,500","2009","20091204","employment-related offenses","employment discrimination","","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.eeoc.gov/eeoc/newsroom/release/12-4-09.cfm","Description field shows type of discrimination that EEOC had alleged."
"The New York and Presbyterian Hospital","NewYork-Presbyterian","$4,100,000","$0","$4,100,000","2015","20151030","government-contracting-related offenses","False Claims Act and related","","The Department of Justice reached 70 settlements involving 457 hospitals in 43 states for more than $250 million related to cardiac devices that were implanted in Medicare patients in violation of Medicare coverage requirements.","federal","agency action","Justice Department Civil Division","civil","","","","","","New York","New York","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.justice.gov/opa/pr/nearly-500-hospitals-pay-united-states-more-250-million-resolve-false-claims-act-allegations",""
"New York Downtown Hospital","NewYork-Presbyterian","$30,801","$0","$30,801","2011","20110219","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1576491","","","New York","New York","","10038","6221","6221: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"NYU Hospital Center","NewYork-Presbyterian","$7,100","$0","$7,100","2003","20030825","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","02-CA-35407-001","","","New York","New York","","10016","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"NEW YORK-PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$6,500","$0","$6,500","2009","20090309","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","525 EAST 68TH STREET, BOX #33806","10065","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$5,000","$0","$5,000","2004","20040628","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","525 E. 68TH STREET","10021","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NYU DOWNTOWN HOSPITAL","NewYork-Presbyterian","$7,000","$0","$7,000","2000","20000224","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","170 WILLIAM STREET","10038","000000","","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"New York Methodist Hospital","NewYork-Presbyterian","$70,000","$0","$70,000","2013","20130920","healthcare-related offenses","Controlled Substances Act violation","","","federal","agency action","U.S. Attorney-Eastern District of New York","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.justice.gov/usao-edny/pr/new-york-methodist-hospital-agrees-implement-compliance-program-settle-civil-claims",""
"New York Downtown Hospital","NewYork-Presbyterian","$13,400,000","$0","$13,400,000","2012","20120905","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Eastern District of New York","civil","","","","","","New York","New York","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.justice.gov/archive/usao/nye/pr/2012/2012sep05.html",""
"New York Presbyterian","NewYork-Presbyterian","$2,200,000","$0","$2,200,000","2016","20160421","consumer-protection-related offenses","privacy violation","","patient privacy violation","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/agreements/new-york-presbyterian-hospital/index.html",""
"New York and Presbyterian Hospital","NewYork-Presbyterian","$3,300,000","$0","$3,300,000","2014","20140507","consumer-protection-related offenses","privacy violation","","","federal","agency action","Health & Human Services Department Office for Civil Rights","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www.hhs.gov/hipaa/for-professionals/compliance-enforcement/examples/new-york-and-presbyterian-hospital/index.html",""
"New York Downtown Hospital","NewYork-Presbyterian","$13,400,000","$13,400,000","$0","2012","20120905","government-contracting-related offenses","False Claims Act and related","","receipt of illegal payments for inpatient drug and alcohol treatment","state","agency action","New York Attorney General","civil","","","","","","New York","New York","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://web.archive.org/web/20170213183320/https://ag.ny.gov/press-release/ag-schneiderman-announces-134-million-settlement-nyc-hospital-illegally-charging",""
"New York Methodist Hospital","NewYork-Presbyterian","$33,116","$0","$33,116","2001","20011120","government-contracting-related offenses","False Claims Act and related","","","state","agency action","New York Attorney General","civil","","","","","","New York","Brooklyn","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://web.archive.org/web/20101116012452/http://www.ag.ny.gov/media_center/2001/nov/nov20b_01.html",""
"NYU Downtown Hospital","NewYork-Presbyterian","$2,100,000","$0","$2,100,000","2004","20040923","government-contracting-related offenses","False Claims Act and related","","","federal","agency action","U.S. Attorney-Southern District of New York","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","NYU DOWNTOWN HOSPITAL PAYS $2.1 MILLION TO SETTLE FEDERAL CIVIL HEALTH CARE FRAUD CHARGES, US Fed News, Sepember 23, 2004 (via Nexis).",""
"NewYork-Presbyterian/Queens","NewYork-Presbyterian","$27,000","$0","$27,000","2019","20191001","employment-related offenses","employment discrimination","","","local","agency action","New York City Commission on Human Rights","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www1.nyc.gov/site/cchr/enforcement/2019-settlements.page",""
"New York Methodist Hospital","NewYork-Presbyterian","$28,000","$0","$28,000","2015","20151201","employment-related offenses","employment discrimination","","","local","agency action","New York City Commission on Human Rights","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www1.nyc.gov/site/cchr/enforcement/2015-settlements.page",""
"New York-Presbyterian Hospital","NewYork-Presbyterian","$30,000","$0","$30,000","2021","20210801","consumer-protection-related offenses","discriminatory practices (non-employment)","","","local","agency action","New York City Commission on Human Rights","civil","","","","","","New York","","","","","","USA","New York","non-profit","","healthcare services","hospitals","https://www1.nyc.gov/site/cchr/enforcement/2021-settlements.page",""
"NEW YORK METHODIST HOSPITAL","NewYork-Presbyterian","$5,000","$0","$5,000","2010","20101019","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","BROOKLYN","506 6TH STREET","11215","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$5,500","$0","$5,500","2012","20121011","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","525 EAST 68 STREET","10065","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"NEW YORK PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$9,300","$0","$9,300","2013","20130625","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","161 FORT WASHINGTON AVE.","10032","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE NEW YORK AND PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$45,600","$0","$45,600","2014","20140624","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","525 EAST 68TH STREET","10065","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THE NEW YORK AND PRESBYTERIAN HOSPITAL","NewYork-Presbyterian","$201,000","$0","$201,000","2014","20140715","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","New York","NEW YORK","622 WEST 168TH STREET","10032","622110","622110: General Medical and Surgical Hospitals","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"New York Presbyterian Hospital","NewYork-Presbyterian","$248,000","$0","$248,000","2003","20030710","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","02-2002-9273","","","New York","WHITE PLAINS","21 BLOOMINGDALE ROAD","10605","999999","","USA","New York","non-profit","","healthcare services","hospitals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
