"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"SEYMOUR TUBING INC","Nippon Steel & Sumitomo Metal","$5,363","$0","$5,363","2004","20040611","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Tennessee","DUNLAP","310 SEQUACHEE INDUSTRIAL PARK DR","37327","331221","331221: Rolled Steel Shape Manufacturing","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC.","Nippon Steel & Sumitomo Metal","$5,000","$0","$5,000","2003","20030528","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY CT","40324","238120","238120: Structural Steel and Precast Concrete Contractors","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC.","Nippon Steel & Sumitomo Metal","$10,450","$0","$10,450","2000","20000811","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY CT","40324","000000","","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC.","Nippon Steel & Sumitomo Metal","$7,000","$0","$7,000","2016","20160106","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY CT","40324","331221","331221: Rolled Steel Shape Manufacturing","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC.","Nippon Steel & Sumitomo Metal","$7,000","$0","$7,000","2017","20170915","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY CT","40324","332111","332111: Iron and Steel Forging","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC","Nippon Steel & Sumitomo Metal","$25,500","$0","$25,500","2019","20190318","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY COURT","40324","332111","332111: Iron and Steel Forging","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STANDARD STEEL, LLC","Nippon Steel & Sumitomo Metal","$8,260","$0","$8,260","2019","20190711","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BURNHAM","500 NORTH WALNUT STREET","17009","331111","331111: Iron and Steel Mills","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"INTERNATIONAL CRANKSHAFT INC","Nippon Steel & Sumitomo Metal","$7,000","$0","$7,000","2020","20200219","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","GEORGETOWN","101 CARLEY COURT","40324","332111","332111: Iron and Steel Forging","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STANDARD STEEL, LLC","Nippon Steel & Sumitomo Metal","$13,494","$0","$13,494","2020","20201008","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","BURNHAM","500 NORTH WALNUT STREET","17009","332111","332111: Iron and Steel Forging","Japan","","publicly traded","","metals","steel","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"STANDARD STEEL LLC","Nippon Steel & Sumitomo Metal","$59,957","$0","$59,957","2007","20071108","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2008-0028","","","Pennsylvania","BURNHAM","500 N. WALNUT ST.","17009","331110","331110: Iron and Steel Mills and Ferroalloy Manufacturing","Japan","","publicly traded","","metals","steel","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
