"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alcatel-Lucent S.A.","Nokia","$92,000,000","$0","$92,000,000","2010","20101227","competition-related offenses","Foreign Corrupt Practices Act","","Alcatel-Lucent S.A. and three of its subsidiaries agreed to pay a combined $92 million penalty to resolve a Foreign Corrupt Practices Act investigation into the worldwide sales practices of Alcatel S.A. prior to its 2006 merger with Lucent Technologies Inc.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.justice.gov/opa/pr/alcatel-lucent-sa-and-three-subsidiaries-agree-pay-92-million-resolve-foreign-corrupt",""
"Alcatel-Lucent S.A.","Nokia","$45,000,000","$0","$45,000,000","2010","20101227","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.sec.gov/news/press/2010/2010-258.htm",""
"Alcatel Network Systems, Inc.","Nokia","$6,000","$0","$6,000","2001","20010215","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-19353-001","","","Texas","RICHARDSON","","75081","335929","335929: Other Communication and Energy Wire Manufacturing","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alcatel Network Systems, Inc.","Nokia","$13,440","$0","$13,440","2000","20000913","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-19262-002","","","Texas","RICHARDSON","","75081","335929","335929: Other Communication and Energy Wire Manufacturing","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alcatel USA","Nokia","$18,000","$0","$18,000","2005","20050815","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20698-001","","","Texas","Richardson","","75081","335929","335929: Other Communication and Energy Wire Manufacturing","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alcatel-Lucent","Nokia","$67,418","$0","$67,418","2007","20070804","employment-related offenses","wage and hour violation","Davis-Bacon Act and related","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1523478","","","Kansas","Fort Riley","","66442","237130","237130: Power and Communication Line and Related Structures Construction","Finland","","publicly traded","NOK","telecommunications","telecommunications","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Lucent Technologies","Nokia","$21,669","$0","$21,669","2002","20020612","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-33117-001","","","Ohio","Solon","","44139","517911","517911: Telecommunications Resellers","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"LUCENT TECHNOLOGIES","Nokia","$17,500","$0","$17,500","2003","20030606","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-37766-001","","","Ohio","Cincinnati","","45202","517210","517210: Wireless Telecommunications Carriers (except Satellite)","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Lucent Technologies","Nokia","$13,784","$0","$13,784","2002","20021220","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","19-CA-28276-001","","","Washington","Kent","","98032","238210","238210: Electrical Contractors","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Lucent Technologies Inc.","Nokia","$25,000,000","$0","$25,000,000","2004","20040517","financial offenses","accounting fraud or deficiencies","","Lucent Technologies Inc. agreed to pay $25 million to settle allegations of securities fraud in connection with the improper recognition of approximately $1.148 billion of revenue and $470 million in pre-tax income during its fiscal year 2000.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.sec.gov/news/press/2004-67.htm",""
"Lucent Technologies Inc.","Nokia","$1,500,000","$0","$1,500,000","2007","20071221","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.sec.gov/litigation/litreleases/2007/lr20414.htm",""
"Lucent Technologies Inc.","Nokia","$1,000,000","$0","$1,000,000","2007","20071221","competition-related offenses","Foreign Corrupt Practices Act","","Lucent Technologies Inc. agreed to pay a $1 million fine to resolve allegations that it violated the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","non-prosecution agreement","","","","","","","","","","","Finland","","publicly traded","NOK","telecommunications","telecommunications","https://www.justice.gov/archive/opa/pr/2007/December/07_crm_1028.html",""
"Lucent Technologies, Inc.","Nokia","$7,828","$0","$7,828","2000","20001227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-38589-001","","","Massachusetts","North Andover","","01845","519190","519190: All Other Information Services","Finland","","publicly traded","NOK","telecommunications","telecommunications","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
