"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Nordstrom Inc.","Nordstrom","$360,000","$0","$360,000","2015","20151209","consumer-protection-related offenses","consumer protection violation","","The Federal Trade Commission announced complaints and proposed court orders barring four national retailers from mislabeling and advertising rayon textiles as made of bamboo, and requiring them to pay civil penalties totaling $1.3 million.","federal","agency action","Federal Trade Commission","civil","","","","","","","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.ftc.gov/news-events/press-releases/2015/12/nordstrom-bed-bath-beyond-backcountrycom-jc-penney-pay-penalties",""
"Nordstrom Inc.","Nordstrom","$60,000","$0","$60,000","2008","20081203","safety-related offenses","product safety violation","","Nordstrom Inc. agreed to pay a $60,000 civil penalty to settle allegations that it knowingly failed to report to the CPSC immediately, as required by federal law, that its children's hooded jackets and sweaters were sold with drawstrings at the hood and neck and thus posed a strangulation hazard.","federal","agency action","Consumer Product Safety Commission","civil","","","","","","","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.cpsc.gov/Newsroom/News-Releases/2009/Major-Apparel-Retailer-To-Pay-a-60000-Civil-Penalty-For-Failure-To-Report-Drawstrings-In-Childrens-Outerwear",""
"Nordstrom, Inc.","Nordstrom","$292,500","$0","$292,500","2009","20090416","employment-related offenses","employment discrimination","","race and national origin","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Florida","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.eeoc.gov/eeoc/newsroom/release/archive/4-16-09a.html","Description field shows type of discrimination that EEOC had alleged."
"NORDSTROM","Nordstrom","$5,400","$0","$5,400","2010","20100217","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","2009SO700220","","","","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","from a spreadsheet posted on the FAA website at https://www.faa.gov/about/office_org/headquarters_offices/ash/ash_programs/hazmat/compliance_enforcement/",""
"Nordstrom","Nordstrom","$7,600,000","$0","$7,600,000","2014","20141215","employment-related offenses","wage and hour violation","","minimum wage violation","federal","private litigation","","civil","","Southern District of California","10-cv-2671","Maraventano v. Nordstrom, Inc et al","settlement","","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.law360.com/articles/543617/nordstrom-strikes-7-65m-deal-in-sales-workers-wage-suit","This case was settled along with 11-cv-2609."
"Nordstrom","Nordstrom","$8,905,000","$0","$8,905,000","2011","20110208","employment-related offenses","wage and hour violation","","","state","private litigation","","civil","","Superior Court of State of California, County of Orange","2008-00044690","Nordstrom Commission Debit Cases","settlement","California","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.law360.com/articles/179872/calif-court-oks-nordstrom-s-9m-commissions-deal","In 2004 Ernest Young and Nicole Savala filed class action lawsuits in Orange County Superior Court arguing that the way Nordstrom was calculating sales commissions violated the settlement in an earlier case. Nordstrom settled the actions for $8.905 million ($6.404 million in cash and $2.5 million in merchandise vouchers). A challenge to that settlement was rejected by a state appeals court in 2010 (case G042772)."
"NORDSTROM","Nordstrom","$6,500","$0","$6,500","2015","20150827","safety-related offenses","aviation safety violation","","hazardous materials shipping","federal","agency action","Federal Aviation Administration","civil","","","","","","","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","Contained in data obtained on May 23, 2018 in response to a Freedom of Information Act request. ",""
"Nordstrom inc.","Nordstrom","$25,000","$0","$25,000","2006","20060127","environment-related offenses","environmental violation","","A group of major retailers and a group of jewelry manufacturers joined a settlement involving the presence of lead in costume jewelry sold to children.","state","agency action","California Attorney General","civil","","","","","","California","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://www.oag.ca.gov/news/press-releases/attorney-general-lockyer-announces-settlement-major-us-companies-reduce-lead",""
"Nordstrom Nordstrom I, Inc. and Nordstrom Imports, Inc.","Nordstrom","$2,263,142","$0","$2,263,142","2014","20140523","financial offenses","investor protection violation","","Nordstrom Nordstrom I, Inc. and Nordstrom Imports, Inc. were ordered to pay $2,163,142 restitution and a $100,000 administrative penalty in an Order finding they deceptively sold securities in the state as an unregistered dealer or salesman.","state","agency action","Arizona Corporation Commission","civil","","","","","","Arizona","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://images.edocket.azcc.gov/docketpdf/0000153547.pdf",""
"NORDSTROM, INC.","Nordstrom","$10,001","$0","$10,001","2020","20200921","employment-related offenses","benefit plan administrator violation","","","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Illinois","","","","","","USA","Washington","publicly traded","NYSE: JWN","retailing","retail-department stores","https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
