"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Alliant Tech Systems","Northrop Grumman","$7,000","$0","$7,000","2006","20060516","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Alliant  Techsystems, Inc.","Northrop Grumman","$100,000","$0","$100,000","2012","20121127","employment-related offenses","employment discrimination","","race","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Minnesota","","","","","","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","https://www.eeoc.gov/eeoc/newsroom/release/11-27-12b.cfm","Description field shows type of discrimination that EEOC had alleged."
"Alliant Techsystems Inc","Northrop Grumman","$24,241","$0","$24,241","2013","20130601","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1680323","","","Missouri","Independence","","64056","332992","332992: Small Arms Ammunition Manufacturing","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Alliant Techsystems Inc.","Northrop Grumman","$9,237","$0","$9,237","2003","20030924","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-19886-001","","","Virginia","Radford","","24141","331419","331419: Primary Smelting and Refining of Nonferrous Metal (except Copper and Aluminum)","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alliant Techsystems, Inc.","Northrop Grumman","$25,500","$0","$25,500","2001","20010314","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","11-CA-18475-001","","","Virginia","Radford","","24141","339999","339999: All Other Miscellaneous Manufacturing","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Alliant Techsystems, Inc.","Northrop Grumman","$44,677","$0","$44,677","2006","20060919","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","18-CA-17469-001","","","Minnesota","Plymouth","","55442","332993","332993: Ammunition (except Small Arms) Manufacturing","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"ATK Launch Systems Inc.","Northrop Grumman","$36,967,160","$0","$36,967,160","2012","20120423","government-contracting-related offenses","False Claims Act and related","","ATK Launch Systems Inc. agreed to a $36,967,160 settlement with the United States to resolve allegations that ATK sold dangerous and defective illumination flares to the Army and the Air Force.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/opa/pr/atk-launch-systems-inc-settles-false-claims-product-substitution-case-nearly-37-million",""
"Northrop Gruman Technical Services, Inc.","Northrop Grumman","$94,734","$0","$94,734","2009","20091201","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1511307","","","Virginia","Herndon","","20171","5611","5611: Office Administrative Services","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Northrop Grumman","Northrop Grumman","$8,000,000","$0","$8,000,000","2007","20070718","government-contracting-related offenses","False Claims Act and related","","Northrop Grumman agreed to pay the United States $8 million to resolve allegations that it did not properly test certain tubes used by the U.S. military in night vision goggles and sniper scopes.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","https://www.justice.gov/archive/opa/pr/2007/July/07_civ_518.html",""
"Northrop Grumman","Northrop Grumman","$10,451","$0","$10,451","2007","20070630","employment-related offenses","wage and hour violation","Service Contract Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1459951","","","Virginia","Reston","","20190","336419","336419: Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing","USA","Virginia","publicly traded","NOC","aerospace and military contracting","aerospace & military contracting","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
