"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Darigold Inc","Northwest Dairy Association","$42,000","$42,000","$0","2013","20131218","environment-related offenses","environmental violation","","Darigold Inc. failed to immediately notify federal and state emergency authorities of a chlorine gas release in 2012 at a milk facility in Portland, Oregon, according to a settlement with the U.S. Environmental Protection Agency.","federal","agency action","Environmental Protection Agency","civil","","","","","","Oregon","Portland","","","","","USA","Washington","cooperative","","food products","food products","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/69c6bd8c3d50a77d85257c450071cc7e.html","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Darigold, Inc.","Northwest Dairy Association","$70,000","$0","$70,000","2011","20110615","environment-related offenses","environmental violation","","DARIGOLD, Inc., the nations fourth largest dairy cooperative, pleaded guilty in U.S. District Court in Seattle to violations of the Clean Water Act, in connection with an October 2009, discharge of an ammonia solution from the company's dairy processing plant at Issaquah, Washington into the East Fork of Issaquah Creek. The release killed a significant number of fish, including several adult Chinook salmon, a species listed as threatened under the Endangered Species Act. Under the terms of the plea agreement entered today, the government and DARIGOLD will jointly recommend imposition of a sentence to include development and implementation of a corporate environmental compliance plan covering thirteen processing facilities located in five western states, payment of a $10,000 criminal fine, and payment of a $60,000 community service payment targeted toward protecting and restoring vital natural resources in the Issaquah Creek watershed.","federal","agency action","Environmental Protection Agency","criminal","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","http://cfpub.epa.gov/compliance/criminal_prosecution/index.cfm?action=3&prosecution_summary_id=2256&searchParams=M5%2C%3A%2FXT%2A%5CCYZ%40O%3B%20W_%2AYN5%5E%3EK99%2A%29W%3CU%3FV%23DH%5BZ8%257TRPH%3BJQH%229%3FD%3C%26Z%40CY%26%0AM7EFH%21%25%21%3A%23%3DV%40%3A%2A_%3AB8%2A%5DR%3BB%25%5E9%5B2D%22I2K565NEY7M%21-U%40%2B8%22J%29Y%23%24LNJ%40DX%24%0A%2F5YJ%3EP%27O_K04_G%5C%3E%290M8%2F%0A",""
"DARIGOLD LYNDEN PLANT","Northwest Dairy Association","$6,500","$0","$6,500","2012","20121227","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD LYNDEN PLANT","Northwest Dairy Association","$14,000","$0","$14,000","2011","20110314","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD ISSAQUAH","Northwest Dairy Association","$10,000","$0","$10,000","2010","20101007","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD LYNDEN PLANT","Northwest Dairy Association","$60,000","$0","$60,000","2008","20080124","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD LYNDEN PLANT","Northwest Dairy Association","$95,000","$0","$95,000","2007","20070507","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD LYNDEN PLANT","Northwest Dairy Association","$60,000","$0","$60,000","2005","20051220","environment-related offenses","environmental violation","","","state","agency action","Washington Department of Ecology","civil","","","","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD, INC","Northwest Dairy Association","$12,000","$0","$12,000","2002","20020201","environment-related offenses","environmental violation","","water quality violation","state","agency action","Washington Department of Ecology","civil","","","01WQNR-3431","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
"DARIGOLD, INC","Northwest Dairy Association","$6,000","$0","$6,000","2000","20000114","environment-related offenses","environmental violation","","water quality violation","state","agency action","Washington Department of Ecology","civil","","","99WQNR-87","","","Washington","","","","","","USA","Washington","cooperative","","food products","food products","Contained in data received from the agency on November 20, 2020 in response to an open records request.",""
