"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Novo Nordisk Inc.","Novo Holdings A/S","$25,000,000","$0","$25,000,000","2011","20110610","healthcare-related offenses","off-label or unapproved promotion of medical products","","Novo Nordisk Inc., a Danish pharmaceutical manufacturer, has agreed to pay $25 million to resolve its civil liability arising from the illegal promotion of its hemostasis management drug, NovoSeven. The Food and Drug Administration (FDA) approved NovoSeven to treat certain bleeding disorders in hemophiliacs.","federal","agency action","Food and Drug Administration referral to the Justice Department","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","http://www.justice.gov/opa/pr/danish-pharmaceutical-novo-nordisk-pay-25-million-resolve-allegations-label-promotion",""
"Novo Nordisk A/S","Novo Holdings A/S","$9,030,149","$0","$9,030,149","2009","20090511","competition-related offenses","Foreign Corrupt Practices Act","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.sec.gov/litigation/litreleases/2009/lr21033.htm",""
"Novo Nordisk A/S","Novo Holdings A/S","$9,000,000","$0","$9,000,000","2009","20090511","competition-related offenses","kickbacks and bribery","","Novo Nordisk A/S agreed to pay a $9 million penalty for illegal kickbacks paid to the former Iraqi government. Novo agreed to pay the fine as part of a deferred prosecution agreement connected to the Justice Department's investigation into the U.N. Oil-for-Food program.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/novo-nordisk-agrees-pay-9-million-fine-connection-payment-14-million-kickbacks-through-united",""
"NOVOZYMES BIOLOGICALS, INC.","Novo Holdings A/S","$5,610","$0","$5,610","2003","20030128","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Virginia","SALEM","528 CHAPMAN STREET","24153","325188","325188: All Other Basic Inorganic Chemical Manufacturing","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Novo Nordisk Inc.","Novo Holdings A/S","$58,650,000","$0","$58,650,000","2017","20170905","government-contracting-related offenses","False Claims Act and related","drug or medical equipment safety violation","Novo Nordisk Inc. agreed to pay $58.65 million to resolve allegations that the company failed to comply with the FDA-mandated Risk Evaluation and Mitigation Strategy (REMS) for its Type II diabetes medication Victoza. The resolution included disgorgement of $12.15 million for alleged violations of the Federal Food, Drug, and Cosmetic Act from 2010 to 2012 and a payment of $46.5 million for alleged violations of the False Claims Act from 2010 to 2014.","federal","agency action","Justice Department Civil Division","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/novo-nordisk-agrees-pay-58-million-failure-comply-fda-mandated-risk-program",""
"Novo Nordisk Inc.","Novo Holdings A/S","$1,725,000","$0","$1,725,000","2011","20110610","government-contracting-related offenses","False Claims Act and related","","Novo Nordisk, Inc. entered into a civil settlement agreement in which it has agreed to pay the United States and several states $1.725 million to resolve allegations that the company caused false or fraudulent claims to be submitted to the Medicaid program in connection with its marketing of the diabetes drugs Novolin, Novolin 70/30, Novolog, and Novolog 70/30.","federal","agency action","U.S. Attorney-Eastern District of New York","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/archive/usao/nye/pr/2011/2011jun10.html",""
"Novo Nordisk Inc.","Novo Holdings A/S","$3,320,963","$3,320,963","$0","2017","20170905","government-contracting-related offenses","False Claims Act and related","","Novo Nordisk agreed to pay $3.3 million to settle multistate litigation alleging that it failed to comply with FDA risk mitigation rules and thus caused false claims to be submitted to state Medicaid programs. This was part of a larger $58 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-novo-nordisk-inc-0","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/novo-nordisk-agrees-pay-58-million-failure-comply-fda-mandated-risk-program",""
"Novo Nordisk Inc.","Novo Holdings A/S","$3,574,209","$3,574,209","$0","2011","20110610","healthcare-related offenses","off-label or unapproved promotion of medical products","False Claims Act and related","Novo Nordisk Inc. agreed to pay $3.5 million to settle multistate litigation alleging that it promoted its hemostasis management drug NovoSeven for uses not approved by the Food and Drug Administration and thus caused false claims to be submitted to state Medicaid programs.  This was part of a larger $25 million settlement involving the federal government; see the Violation Tracker entry at https://violationtracker.goodjobsfirst.org/violation-tracker/-novo-nordisk-inc","state","agency action","Multistate Attorneys General Case","civil","","","","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://www.justice.gov/opa/pr/danish-pharmaceutical-novo-nordisk-pay-25-million-resolve-allegations-label-promotion",""
"Novo Nordisk Inc.","Novo Holdings A/S","$1,100,000","$0","$1,100,000","2017","20170905","healthcare-related offenses","off-label or unapproved promotion of medical products","drug or medical equipment safety violation","The California Insurance Commissioner reached a $1.1 million settlement with pharmaceutical company Novo Nordisk Inc. over allegations that Novo Nordisk's drug Victoza was extensively promoted for uses not approved of by the Food and Drug Administration, a violation of the Insurance Frauds Prevention Action. ","state","agency action","California Department of Insurance","civil","","","","","","California","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://web.archive.org/web/20180118190234/http://www.insurance.ca.gov/0400-news/0100-press-releases/2017/release088-17.cfm",""
"Novo Nordisk Pharmaceutical Industries, Inc.","Novo Holdings A/S","$36,836","$0","$36,836","2009","20091022","environment-related offenses","environmental violation","","waste management violation","state","agency action","North Carolina Department of Environmental Quality","civil","","","","","","North Carolina","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","https://files.nc.gov/ncdeq/Waste%20Management/DWM/HW/Programs%20Branch/penalties/2009.pdf",""
"NOVOZYMES BIOLOGICALS, INC","Novo Holdings A/S","$26,797","$0","$26,797","2009","20091222","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2010-0077","","","Virginia","SALEM","525 BRANCH DRIVE","24153","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"NOVOZYMES BIOLOGICALS, INC.","Novo Holdings A/S","$8,400","$0","$8,400","2016","20161214","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","03-2017-0021","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"NOVO NORDISK BIOCHEM, N.A., INC.","Novo Holdings A/S","$5,000","$0","$5,000","2000","20001012","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","04-2001-0010","","","","","","","","","Denmark","","privately held","","pharmaceuticals","pharmaceuticals","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
