"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"NUFARM AMERICAS INC","Nufarm","$10,001","$0","$10,001","2012","20120723","employment-related offenses","benefit plan administrator violation","","Deficient Filer","federal","agency action","Employee Benefits Security Administration","civil","","","","","","Illinois","","","","","","Australia","","publicly traded","","chemicals","fertilizers","Included in a dataset downloaded at https://enforcedata.dol.gov/views/data_summary.php","Company is plan administrator. Penalty amount reported in range of $10,001 to $50,000. "
"Nufarm Americas Inc.","Nufarm","$105,000","$0","$105,000","2012","20120301","environment-related offenses","environmental violation","","EPA determined that Nufarm Americas, Inc. illegally imported five misbranded pesticide products; Bromoxynil Mixed Ester (EPA Reg. No. 264-533), Bromoxynil Octanote (EPA Reg. No. 264-442), Dichlorprop-P Technical Acid (EPA Reg. No. 15440-24), MCPA Technical Acid (EPA Reg. No. 70596-1), and Nufarm USA 2, 4-D Acid (EPA Reg. No. 61272-3). The imported products were illegal because the labels on the products either contained information that conflicted with the EPA-accepted label or had claims that substantially differed from the claims made as part of the product registration under FIFRA. Nufarm agreed to relabel the violative products, prepare and implement a compliance monitoring plan to prevent or eliminate any future violations of FIFRA, and pay a $105,000 civil penalty. ","federal","agency action","Environmental Protection Agency","civil","","","","","","","","","","","","Australia","","publicly traded","","chemicals","fertilizers","http://cfpub.epa.gov/enforcement/cases/index.cfm",""
"Nufarm Americas Inc.","Nufarm","$80,000","$0","$80,000","2020","20201112","environment-related offenses","environmental violation","","pesticide violations","federal","agency action","Environmental Protection Agency","civil","","","","","","Colorado","Longmont","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.epa.gov/newsreleases/us-epa-settles-pesticide-producers-doing-business-longmont-colorado-resolve-alleged",""
"Nufarm Americas Incorporated","Nufarm","$40,857","$0","$40,857","2014","20140527","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","Australia","","publicly traded","","chemicals","fertilizers","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"NuFarm Americas, Inc.","Nufarm","$17,514","$0","$17,514","2010","20100921","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","Australia","","publicly traded","","chemicals","fertilizers","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Nufarm Americas, Inc.","Nufarm","$99,000","$0","$99,000","2021","20210907","environment-related offenses","environmental violation","","","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","Australia","","publicly traded","","chemicals","fertilizers","https://www.cdpr.ca.gov/docs/mill/actions/fy21-22/first_quarter.xlsx",""
"NUFARM AMERICAS INC","Nufarm","$5,500","$0","$5,500","2003","20030123","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2003-0020","","","Illinois","BENSENVILLE","860 FOSTER AVENUE","60101","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"NUFARM AMERICAS, INC","Nufarm","$22,100","$0","$22,100","2004","20040428","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2004-0044","","","Illinois","BURR RIDGE","1333 BURR RIDGE PARKWAY","60521-0866","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"NUFARM AMERICAS INC","Nufarm","$26,400","$0","$26,400","2004","20041020","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2004-0063","","","Illinois","BURR RIDGE","1333 BURR RIDGE PARKWAY","60521-0866","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nufarm Americas, Inc.","Nufarm","$6,500","$0","$6,500","2008","20080808","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2008-0120","","","Illinois","BURR RIDGE","150 HARVESTER DR. SUITE 200","60527","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nufarm Americas, Inc.","Nufarm","$262,950","$0","$262,950","2009","20090209","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2009-0024","","","Illinois","BURR RIDGE","1333 BURR RIDGE PARKWAY","60521-0866","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nufarm Americas Inc.","Nufarm","$105,000","$105,000","$0","2012","20120301","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2012-0044","","","Illinois","BURR RIDGE","150 HARVESTER DR. SUITE 200","60527","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads","Note: This penalty is a duplicate of an amount shown in another record (either because it applies to a multi-location settlement or because Violation Tracker contains an agency record and a settlement announcement for the same case)."
"Nufarm Americas Inc.","Nufarm","$22,500","$0","$22,500","2012","20120326","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2012-0045","","","Illinois","BURR RIDGE","150 HARVESTER DR. SUITE 200","60527","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nufarm Americas Inc.","Nufarm","$22,500","$0","$22,500","2012","20120524","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2012-0065","","","Illinois","BURR RIDGE","150 HARVESTER DR. SUITE 200","60527","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Nufarm Americas, Inc.","Nufarm","$7,500","$0","$7,500","2013","20130318","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2013-0026","","","Illinois","BURR RIDGE","150 HARVESTER DR. SUITE 200","60527","","","Australia","","publicly traded","","chemicals","fertilizers","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
