"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Agrium","Nutrien Ltd.","$7,000","$0","$7,000","2004","20041110","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Agrium","Nutrien Ltd.","$5,000","$0","$5,000","2006","20060920","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Agrium, Inc.","Nutrien Ltd.","$70,000","$0","$70,000","2011","20111025","environment-related offenses","environmental violation","","International Mineral Technologies, LLC, doing business as Tetra Micronutrients, of The Woodlands, Texas, has agreed to pay a civil penalty of $70,000 to the United States for Risk Management Program violations related to the use of anhydrous ammonia at its former Fairbury, Neb., facility. In July 2011, International Mineral Technologies reached an agreement to sell the Fairbury facility  which produces liquid plant nutrition and dry micronutrient products  to Agrium, Inc., an agrichemical company headquartered in Alberta, Canada.","federal","agency action","Environmental Protection Agency","civil","","","","","","Nebraska","Fairbury","","","","","Canada","","publicly traded","","chemicals","fertilizers","https://archive.epa.gov/epapages/newsroom_archive/newsreleases/beba4f40233f80b6852579340061983d.html",""
"AGRIUM U.S. INC.","Nutrien Ltd.","$7,600","$0","$7,600","2009","20090430","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","https://www.fra.dot.gov/Elib/Document/282","Year is fiscal year."
"Agrium U.S. Inc.","Nutrien Ltd.","$70,415","$0","$70,415","2013","20130918","environment-related offenses","environmental violation","","Agrium U.S., INC. Consent Agreement and Final Order ","federal","agency action","Environmental Protection Agency","civil","","","","","","North Carolina","","","","","","Canada","","publicly traded","","chemicals","fertilizers","https://yosemite.epa.gov/OA/RHC/EPAAdmin.nsf/Advanced%20Search/41035815C64D6C7A85257BEB001BCADB/$File/CAFO.pdf",""
"Agrium U.S. Inc.","Nutrien Ltd.","$10,000","$0","$10,000","2004","20041008","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2005 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Agrium U.S. Inc.","Nutrien Ltd.","$9,000","$0","$9,000","2006","20060321","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Agrium U.S. Inc.","Nutrien Ltd.","$8,000","$0","$8,000","2008","20080414","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Agrium U.S. Inc.","Nutrien Ltd.","$7,500","$0","$7,500","2002","20020628","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"AGRIUM U.S. INC.","Nutrien Ltd.","$6,500","$0","$6,500","2008","20081126","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Canada","","publicly traded","","chemicals","fertilizers","https://railroads.dot.gov/sites/fra.dot.gov/files/fra_net/282/Annual_Enforcement_Report_2009.pdf",""
