"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Badlands Power Fuels, LLC","Nuverra Environmental Solutions","$5,040","$0","$5,040","2010","20100922","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","North Dakota","MINOT","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2010-pdf",""
"Nuverra Environmental Solutions, Inc.","Nuverra Environmental Solutions","$18,958","$0","$18,958","2016","20160405","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","28-CA-158024","","","Arizona","Scottsdale","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Badlands Power Fuels Llc","Nuverra Environmental Solutions","$28,470","$0","$28,470","2017","20170825","safety-related offenses","motor vehicle safety violation","","","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","ND-2017-0037-US1534","","","North Dakota","Minot","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","https://ai.fmcsa.dot.gov/SafetyProgram/spRptEnforcement.aspx?rpt=CLOSE",""
"Nuverra Environmental Solutions, Inc.","Nuverra Environmental Solutions","$57,640","$0","$57,640","2017","20170426","employment-related offenses","labor relations violation","","","federal","agency action","National Labor Relations Board","civil","","","08-CA-164368","","","Ohio","Diamond","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/28/2020.",""
"Heckmann Water Resources Corp","Nuverra Environmental Solutions","$178,386","$0","$178,386","2014","20141120","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","WE-P-14-00871","","","Louisiana","","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","https://deq.louisiana.gov/page/enforcement-actions",""
"Nuverra Environmental","Nuverra Environmental Solutions","$75,000","$0","$75,000","2016","20160816","environment-related offenses","environmental violation","","used oil violation","state","agency action","Utah Department of Environmental Quality","civil","","","","","","Utah","","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Contained in data received from the agency on December 16, 2020 in response to an open records request.",""
"Heckmann Water Resources (CVR), Inc.","Nuverra Environmental Solutions","$6,025","$0","$6,025","2012","20121002","miscellaneous offenses","utility administrative violation","operating without approval","","state","agency action","Louisiana Public Service Commission","civil","","","T-32433","","","Louisiana","","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","https://lpscpubvalence.lpsc.louisiana.gov/portal/PSC/ViewFile?fileId=nFZM9j2AypI%3d",""
"Heckmann Water Resources (CVR), Inc.","Nuverra Environmental Solutions","$8,025","$0","$8,025","2021","20210224","miscellaneous offenses","utility administrative violation","operating without approval","","state","agency action","Louisiana Public Service Commission","civil","","","T-35776","","","Louisiana","","","","","","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","https://lpscpubvalence.lpsc.louisiana.gov/portal/PSC/ViewFile?fileId=IyJl5hZNAGo%3d",""
"HECKMANN WATER RESOURCES CORPORATION","Nuverra Environmental Solutions","$7,500","$0","$7,500","2010","20100525","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","JOAQUIN","202 CR 3167","75954","221310","221310: Water Supply and Irrigation Systems","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HECKMANN WATER RESOURCES","Nuverra Environmental Solutions","$23,100","$0","$23,100","2011","20111213","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","FORT WORTH","CAMPUS COURT ROAD","76129","561499","561499: All Other Business Support Services","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HECKMANN WATER RESOURCES INC.","Nuverra Environmental Solutions","$9,423","$0","$9,423","2018","20180709","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Pennsylvania","SOMERSET","921 BERLIN PLANK ROAD","15501","213112","213112: Support Activities for Oil and Gas Operations","USA","Arizona","publicly traded","NES","oilfield services and supplies","oilfield services","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
