"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"ODFJELL ASIA II PTE LTD","Odfjell","$1,200,000","$0","$1,200,000","2014","20140304","environment-related offenses","environmental violation","","Singapore-based ODFJELL ASIA II PTE LTD (ODFJELL) and one of its senior crew members pleaded guilty yesterday in federal court in Hartford, Conn., for violating the Act to Prevent Pollution from Ships (APPS), announced Acting Assistant Attorney General for the Justice Department's Environment and Natural Resources Division Robert G. Dreher, United States Attorney Deirdre M. Daly and Rear Admiral Daniel B. Abel, Commander of the First Coast Guard District in Boston. A quarter of the $1.2 million monetary penalty will fund improvements and protection of the Long Island Sound.","federal","agency action","U.S. Coast Guard referral to the Justice Department","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","http://www.justice.gov/opa/pr/singapore-shipping-company-crew-member-plead-guilty-illegally-discharging-oily-waste",""
"Odfjell Seachem AS","Odfjell","$42,500,000","$0","$42,500,000","2003","20030929","competition-related offenses","price-fixing or anti-competitive practices","","Norwegian-based Odfjell Seachem AS, one of the largest parcel tanker shippers in the world, and two of its executives were charged with participating in an international cartel to allocate customers, rig bids and fix prices on parcel tanker affreightment contracts for the shipment of specialty liquids to and from the United States and elsewhere.  Odfjell Seachem, with its principal place of business in Bergen, Norway, has agreed to pay a $42.5 million fine for its role in the cartel. ","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.justice.gov/archive/atr/public/press_releases/2003/201301.htm",""
"Odfjell Terminals (Houston) Inc.","Odfjell","$5,000","$0","$5,000","2006","20060228","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$17,000","$0","$17,000","2011","20110228","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$10,000","$0","$10,000","2012","20120201","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$8,500","$0","$8,500","2016","20160620","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$8,500","$0","$8,500","2011","20110927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$7,000","$0","$7,000","2011","20110228","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$6,000","$0","$6,000","2009","20091103","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L01493#p1_z5_gD_lEA",""
"ODFJELL TERMINALS (HOUSTON), INC.","Odfjell","$5,500","$0","$5,500","2015","20150930","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","Singapore","","privately held","","freight and logistics","ocean shipping","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
