"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Oklahoma Gas & Electric Co.","OGE Energy","$15,947","$0","$15,947","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514944","","","Oklahoma","Oklahoma City","","73129","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oklahoma Gas & Electric Co.","OGE Energy","$5,878","$0","$5,878","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514946","","","Oklahoma","Oklahoma City","","73172","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oklahoma Gas & Electric Co.","OGE Energy","$5,538","$0","$5,538","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514947","","","Oklahoma","Oklahoma City","","73130","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oklahoma Gas & Electric Co.","OGE Energy","$5,511","$0","$5,511","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1502364","","","Oklahoma","Oklahoma City","","73102","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oklahoma Gas & Electric Co.","OGE Energy","$5,118","$0","$5,118","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1514941","","","Oklahoma","Oklahoma City","","73105","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"ENOGEX GAS GATHERING, LLC","OGE Energy","$5,000","$0","$5,000","2010","20100630","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","POCASSET","4 MILES W. OF POCASSET, OK","73079","486210","486210: Pipeline Transportation of Natural Gas","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Oklahoma Gas and Electric Company","OGE Energy","$46,500","$0","$46,500","2014","20140810","environment-related offenses","environmental violation","","water quality violation","state","agency action","Arkansas Division of Environmental Quality","civil","","","","","","Arkansas","","","","","","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","https://www.adeq.state.ar.us/downloads/Communications/Enforcement_Actions/2014-08-10_Notice_of_Enforcement_Actions.pdf",""
"Oklahoma Gas and Electric Co.","OGE Energy","$300,000","$0","$300,000","2011","20110519","environment-related offenses","environmental violation","","opacity standard violations","state","agency action","Oklahoma Department of Environmental Quality","civil","","","","","","Oklahoma","","","","","","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","OG&E to pay $300K in emissions violations, The Oklahoman, May 19, 2011 (via Nexis).",""
"Enogex Inc.","OGE Energy","$112,050","$0","$112,050","2003","20030126","environment-related offenses","environmental violation","","air quality violations","state","agency action","Oklahoma Department of Environmental Quality","civil","","","","","","Oklahoma","","","","","","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","DEQ Fines: Oil, gas companies pay big, Tulsa World, January 26, 2003 (via Nexis).",""
"OKLAHOMA GAS AND ELECTRIC","OGE Energy","$19,300","$0","$19,300","2012","20120209","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","ARDMORE","HWY 53 E, ARDMORE AIRPARK","73401","221122","221122: Electric Power Distribution","USA","Oklahoma","publicly traded","OGE","utilities and power generation","energy generation","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
