"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Oil-Dri Corporation of America","Oil-Dri","$60,000","$0","$60,000","2011","20110301","environment-related offenses","environmental violation","","pesticide violation","state","agency action","California Department of Pesticide Regulation","civil","","","","","","California","","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Contained in data obtained from the agency on October 6, 2020 in response to an open records request. ",""
"Oil-Dri Corporation","Oil-Dri","$25,000","$0","$25,000","2004","20040721","environment-related offenses","environmental violation","","Comprehensive Solid Waste Management Act","state","agency action","Georgia Environmental Protection Division","civil","","","EPD-SW-1925","","","Georgia","","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Contained in a spreadsheet obtained from the agency on October 7, 2020 in response to an open records request. The spreadsheet contains cases from the enforcement database accessible at https://enfo.gaepd.org/Orders/Search",""
"Blue Mountain Production Company","Oil-Dri","$44,875","$0","$44,875","2018","20181003","environment-related offenses","environmental violation","","","state","agency action","Mississippi Department of Environmental Quality","civil","","","689618","","","Mississippi","Blue Mountain ","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","https://opc.deq.state.ms.us/ensearchonline/get_doc?datatype=order&id=1318983",""
"Oil-Dri Corp Of Georgia","Oil-Dri","$8,160","$0","$8,160","2010","20101026","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","Ochlocknee","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Oil Dri Production Company","Oil-Dri","$5,000","$0","$5,000","2009","20090429","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Mississippi","Ripley","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Oil-Dri Corp Of Georgia","Oil-Dri","$5,000","$0","$5,000","2010","20101026","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","Ochlocknee","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Oil-Dri Corp Of Georgia","Oil-Dri","$5,000","$0","$5,000","2011","20110104","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","Ochlocknee","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Oil-Dri Corp Of Georgia","Oil-Dri","$56,000","$0","$56,000","2011","20110104","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","Ochlocknee","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Oil-Dri Corp Of Georgia","Oil-Dri","$6,996","$0","$6,996","2013","20130124","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","Georgia","Ochlocknee","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
"Taft Production Company","Oil-Dri","$6,000","$0","$6,000","2013","20130814","safety-related offenses","workplace safety or health violation","mining violation","","federal","agency action","Mine Safety and Health Administration","civil","","","","","","California","Taft","","","","","USA","Illinois","publicly traded","ODC","mining and minerals","minerals","Extracted from a download of MSHA's Violations Data Set downloaded on 3/02/2022, available at https://www.msha.gov/mine-data-retrieval-system",""
