"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Oil State Skagit Smatco, LLC","Oil States International","$65,000","$0","$65,000","2017","20170215","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Louisiana","Houma","","","","","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","https://www.dol.gov/ofccp/foia/files/OIL_STATES_CA_Redacted.pdf",""
"Oil States Industries, Inc","Oil States International","$14,744","$0","$14,744","2015","20150529","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1723508","","","Texas","Arlington","","76001","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oil States Industries, Inc.","Oil States International","$19,289","$0","$19,289","2004","20041008","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1380524","","","Texas","Houston","","77048","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oil States International, Inc.","Oil States International","$81,223","$0","$81,223","2008","20080907","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1518740","","","Oklahoma","Tulsa","","74146","32629","32629: Other Rubber Product Manufacturing","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Oil States Energy Services, L.L.C.","Oil States International","$2,950,000","$0","$2,950,000","2019","20190213","employment-related offenses","wage and hour violation","","","federal","private litigation","","civil","","Western District of Pennsylvania","2:15-cv-0529","Mozingo et al v. Oil States Energy Services, L.L.C. et al","settlement","","","","","","","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","https://www.law360.com/articles/1084062/oil-field-workers-attys-get-2-4m-fees-costs-in-ot-suit",""
"OIL STATES SKAGIT SMATCO, LLC","Oil States International","$7,000","$0","$7,000","2012","20120605","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Louisiana","HOUMA","1180 MULBERRY ROAD","70363","333132","333132: Oil and Gas Field Machinery and Equipment Manufacturing","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OIL STATES INDUSTRIES","Oil States International","$7,000","$0","$7,000","2016","20160603","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","ARLINGTON","1027 N. COMMERCIAL BLVD.","76001","333132","333132: Oil and Gas Field Machinery and Equipment Manufacturing","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OIL STATES ENERGY SERVICES","Oil States International","$8,017","$0","$8,017","2018","20180502","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Wyoming","PINEDALE","STEWART POINT 3-28 PAD42 48' 30"" N 109 52'35 W","82941","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OIL STATES ENERGY SERVICES, LLC","Oil States International","$8,051","$0","$8,051","2018","20181210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","ORANGE GROVE","405 EAST ORANGE AVE","78372","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OIL STATES ENERGY SERVICES, LLC","Oil States International","$7,500","$0","$7,500","2019","20190228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","West Virginia","BUCKHANNON","106 ISLAND AVE","26201","213112","213112: Support Activities for Oil and Gas Operations","USA","Texas","publicly traded","OIS","oilfield services and supplies","oilfield equipment","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
