"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"OLD DOMINION FREIGHT LINE INC","Old Dominion Freight Line","$10,000","$0","$10,000","2007","20070219","safety-related offenses","motor vehicle safety violation","","OK-2007-0024-US0714","federal","agency action","Federal Motor Carrier Safety Administration","civil","","","","","","North Carolina","THOMASVILLE","","","","","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","https://www.fmcsa.dot.gov/regulations/enforcement/national-listing-enforcement-cases-subject-name-closed-fiscal-year-2007-pdf","Year is fiscal year. Date is closing date."
"Old Dominion Freight Line, Inc","Old Dominion Freight Line","$11,295","$0","$11,295","2008","20080606","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1513259","","","Colorado","Commerce City","","80022","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Old Dominion Freight Line, Inc","Old Dominion Freight Line","$10,400","$0","$10,400","2000","20000929","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-22784-001","","","New York","Ridgewood","","11385","484110","484110: General Freight Trucking, Local","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$119,612","$0","$119,612","2015","20150116","employment-related offenses","employment discrimination","Americans with Disabilities Act","disability","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","","","","","","","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","https://www.eeoc.gov/eeoc/newsroom/release/1-16-15.cfm","Description field shows type of discrimination that EEOC had alleged."
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$28,547","$0","$28,547","2000","20000929","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","29-CA-20002-001","","","New York","BAYSHORE","","11706","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$24,799","$0","$24,799","2004","20040819","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-28827-001","","","Indiana","Indianapolis","","46241","484110","484110: General Freight Trucking, Local","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$18,000","$0","$18,000","2004","20041101","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1335483","","","Illinois","Forest View","","60638","48412","48412: General Freight Trucking, Long-Distance","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$9,500","$0","$9,500","2003","20030414","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","26-CA-20946-001","","","Tennessee","Jackson","","38305","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Old Dominion Freight Line, Inc.","Old Dominion Freight Line","$5,000","$0","$5,000","2000","20000209","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","04-CA-28614-001","","","New Jersey","Pennsauken","","08110","484110","484110: General Freight Trucking, Local","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Old Dominion Freight Lines","Old Dominion Freight Line","$5,000","$0","$5,000","2004","20040426","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","01-CA-41559-001","","","Massachusetts","Dracut","","01826","484110","484110: General Freight Trucking, Local","USA","North Carolina","publicly traded","ODFL","freight and logistics","logistics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
