"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Chicago Tube & Iron Company","Olympic Steel","$10,000","$0","$10,000","2002","20020923","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","25-CA-27863-001","","","Indiana","Indianapolis","","46268","561990","561990: All Other Support Services","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Olympic Steel Company","Olympic Steel","$47,000","$0","$47,000","2005","20050614","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-33593-001","","","Ohio","Bedford Heights","","44146","332618","332618: Other Fabricated Wire Product Manufacturing","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Olympic Steel Iowa, Inc.","Olympic Steel","$8,679","$0","$8,679","2004","20041013","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","33-CA-14518-001","","","Iowa","Bettendorf","","52722","332111","332111: Iron and Steel Forging","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Olympic Steel Iowa, Inc.","Olympic Steel","$5,250","$0","$5,250","2000","20000531","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","33-CA-13034-001","","","Iowa","Bettendorf","","52722","332111","332111: Iron and Steel Forging","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"OLYMPIC STEEL INCORPORATED","Olympic Steel","$6,000","$0","$6,000","2009","20090120","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Connecticut","MILFORD","1 EASTERN STEEL ROAD","06460","423510","423510: Metal Service Centers and Other Metal Merchant Wholesalers","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL","Olympic Steel","$6,800","$0","$6,800","2000","20000708","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","BEDFORD HEIGHTS","5096 RICHMOND ROAD","44146","000000","","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL, INC.","Olympic Steel","$5,304","$0","$5,304","2000","20000330","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","SCHAUMBURG","1901 MITCHELL BOULEVARD","60193","000000","","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL, INC.","Olympic Steel","$6,038","$0","$6,038","2011","20110210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","WINDER","587 BARROW PARK DRIVE","30680","423510","423510: Metal Service Centers and Other Metal Merchant Wholesalers","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CHICAGO TUBE & IRON","Olympic Steel","$6,000","$0","$6,000","2011","20110210","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Illinois","ROMEOVILLE","ONE CHICAGO TUBE DRIVE","60446","333414","333414: Heating Equipment (except Warm Air Furnaces) Manufacturing","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL INC.","Olympic Steel","$9,300","$0","$9,300","2012","20120725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","NORTH KANSAS CITY","1801 BEDFORD AVENUE","64116","423510","423510: Metal Service Centers and Other Metal Merchant Wholesalers","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL, INC.","Olympic Steel","$6,550","$0","$6,550","2015","20151118","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","WINDER","587 BARROW PARK DRIVE","30680","331210","331210: Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OLYMPIC STEEL","Olympic Steel","$7,000","$0","$7,000","2017","20170228","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Minnesota","MINNEAPOLIS","625 XENIUM LANE N","55441","423510","423510: Metal Service Centers and Other Metal Merchant Wholesalers","USA","Ohio","publicly traded","ZEUS","metals","metal processing","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
