"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"GUARDIAN PIPELINE LLC","Oneok","$135,000","$0","$135,000","2006","20060216","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320031011.html?nocache=720",""
"GUARDIAN PIPELINE LLC","Oneok","$35,200","$0","$35,200","2011","20110425","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320111007.html?nocache=4476",""
"MIDWESTERN GAS TRANSMISSION CO","Oneok","$40,000","$0","$40,000","2010","20100927","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320101004.html?nocache=2017",""
"OKTEX PIPELINE COMPANY LLC","Oneok","$35,700","$0","$35,700","2011","20110224","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420111005.html?nocache=3252",""
"OKTEX PIPELINE COMPANY LLC","Oneok","$16,200","$0","$16,200","2010","20100616","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_420101003.html?nocache=3009",""
"ONEOK Inc.","Oneok","$3,000,000","$0","$3,000,000","2004","20040128","miscellaneous offenses","data submission deficiencies","","","federal","agency action","Commodity Futures Trading Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://www.cftc.gov/opa/enf04/opa4883-04.htm",""
"ONEOK, Inc.","Oneok","$6,414,945","$0","$6,414,945","2009","20090115","competition-related offenses","energy market violation","","","federal","agency action","Federal Energy Regulatory Commission","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","https://www.ferc.gov/enforcement/civil-penalties/actions/civil-penalty-action-2009.asp",""
"ONEOK Hydrocarbon, L.P.","Oneok","$8,000","$0","$8,000","2011","20110517","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"ONEOK Hydrocarbon, L.P.","Oneok","$7,250","$0","$7,250","2014","20140502","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"ONEOK Hydrocarbon, L.P.","Oneok","$5,000","$0","$5,000","2014","20140717","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"ONEOK Hydrocarbon, L.P.","Oneok","$5,000","$0","$5,000","2012","20120217","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Oneok Field Services","Oneok","$5,000","$0","$5,000","2008","20080429","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","Taken from the Federal Railroad Administration's FY2008 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"ONEOK NGL PIPELINE LLC","Oneok","$550,400","$0","$550,400","2016","20161012","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320135014.html?nocache=8954",""
"ONEOK NGL PIPELINE LLC","Oneok","$159,200","$0","$159,200","2016","20161013","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320135015.html?nocache=4906",""
"ONEOK NGL PIPELINE LLC","Oneok","$78,600","$0","$78,600","2012","20120615","environment-related offenses","environmental violation","pipeline safety violation","","federal","agency action","Pipeline and Hazardous Materials Safety Administration","civil","","","","","","","","","","","","USA","Oklahoma","publicly traded","OKE","pipelines","pipelines","http://primis.phmsa.dot.gov/comm/reports/enforce/CaseDetail_cpf_320125012.html?nocache=7767",""
