"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Josephthal & Co.","Oppenheimer Holdings","$330,000","$0","$330,000","2000","20000829","employment-related offenses","employment discrimination","","multiple","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","District of Columbia","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.eeoc.gov/eeoc/newsroom/release/archive/8-29-00.html","Description field shows type of discrimination that EEOC had alleged."
"Oppenheimer & Co.","Oppenheimer Holdings","$61,200","$0","$61,200","2014","20141103","financial offenses","investor protection violation","","The SEC sanctioned 13 firms for violating a rule primarily designed to protect retail investors in the municipal securities market. In its surveillance of trading in the municipal bond market, the SEC Enforcement Division's Municipal Securities and Public Pensions Unit detected improper sales below a $100,000 minimum denomination set in a $3.5 billion offering of junk bonds by the Commonwealth of Puerto Rico.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1370543350368",""
"Oppenheimer & Co. Inc.","Oppenheimer Holdings","$400,000","$0","$400,000","2015","20150618","financial offenses","investor protection violation","securities issuance or trading violation","The SEC announced enforcement actions against 36 municipal underwriting firms for violations in municipal bond offerings.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/news/pressrelease/2015-125.html",""
"Oppenheimer & Co., Inc.","Oppenheimer Holdings","$20,000,000","$0","$20,000,000","2015","20150127","financial offenses","anti-money-laundering deficiencies","","The Financial Crimes Enforcement Network assessed a $20 million civil money penalty against Oppenheimer & Co., Inc., for willfully violating the Bank Secrecy Act.","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.fincen.gov/news_room/nr/html/20150127.html",""
"Oppenheimer & Company, Inc.","Oppenheimer Holdings","$2,800,000","$0","$2,800,000","2005","20051229","financial offenses","anti-money-laundering deficiencies","","","federal","agency action","Treasury Department Financial Crimes Enforcement Network","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.fincen.gov/news/news-releases/fincen-assesses-28-million-penalty-against-oppenheimer-company-inc",""
"Oppenheimer & Co.","Oppenheimer Holdings","$2,375,901","$0","$2,375,901","2011","20110907","employment-related offenses","wage and hour violation","","overtime violation","federal","private litigation","","civil","","Southern District of New York","06-cv-4607","Creighton v. Oppenheimer & CO. Inc. et al","settlement","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.law360.com/articles/235246/oppenheimer-to-settle-stockbrokers-ot-suit-for-2m",""
"Oppenheimer Asset Management Inc. and Oppenheimer Alternative Investment Management, LLC","Oppenheimer Holdings","$2,886,677","$0","$2,886,677","2013","20130311","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/litigation/admin/2013/33-9390.pdf",""
"Oppenheimer & Co. Inc","Oppenheimer Holdings","$850,000","$0","$850,000","2009","20090224","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/litigation/admin/2009/34-59438.pdf",""
"Josephthal & Co., Inc.","Oppenheimer Holdings","$75,000","$0","$75,000","2002","20020606","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/litigation/admin/34-46039.htm",""
"Fahnestock & Co., Inc.","Oppenheimer Holdings","$20,000","$0","$20,000","2000","20000719","financial offenses","investor protection violation","","","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","New York","publicly traded","OPY","financial services","financial services","https://www.sec.gov/litigation/admin/34-43054.htm",""
