"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"CSK Auto Corporation","O'Reilly Automotive","$20,900,000","$0","$20,900,000","2011","20110909","financial offenses","accounting fraud or deficiencies","","CSK Auto Corporation, a specialty retailer of automotive parts and accessories and formerly a publicly-traded company, agreed to pay a $20.9 million penalty to resolve alleged securities law violations stemming from a corporate earnings manipulation and double-billing scheme.","federal","agency action","Justice Department Criminal Division","criminal","non-prosecution agreement","","","","","","","","","","","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","https://www.justice.gov/opa/pr/csk-auto-corporation-agrees-pay-209-million-resolve-violations-securities-laws-related-scheme",""
"O'Reilly Auto Parts","O'Reilly Automotive","$10,362","$0","$10,362","2005","20050202","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1371220","","","Tennessee","Knoxville","","37917","441310","441310: Automotive Parts and Accessories Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"O'Reilly Automotive Stores, Inc.","O'Reilly Automotive","$35,000","$0","$35,000","2014","20140912","employment-related offenses","employment discrimination","","sexual harassment","federal","agency action","Equal Employment Opportunity Commission","civil","","","","","","Illinois","Chicago","","","","","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","https://www.eeoc.gov/eeoc/newsroom/release/9-12-14.cfm","Description field shows type of discrimination that EEOC had alleged."
"O'REILLY AUTO PARTS DC#11","O'Reilly Automotive","$6,400","$0","$6,400","2009","20090807","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Alabama","SARALAND","120 JACINTOPORT BLVD","36571","441310","441310: Automotive Parts and Accessories Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"O'REILLY AUTOMOTIVE, INC.","O'Reilly Automotive","$5,738","$0","$5,738","2009","20090923","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Georgia","FOREST PARK","4000 SOUTH CORPORATE PARKWAY","30297","441310","441310: Automotive Parts and Accessories Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"O'REILLY AUTO PARTS DISTRIBUTION","O'Reilly Automotive","$9,215","$0","$9,215","2003","20030117","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Texas","HOUSTON","8601 TAVENOR LANE","77075","441310","441310: Automotive Parts and Accessories Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CSK AUTO, INC.","O'Reilly Automotive","$5,000","$0","$5,000","2004","20040108","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","DIXON","1000 VAUGHN ROAD","95620","441310","441310: Automotive Parts and Accessories Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"CSK Auto","O'Reilly Automotive","$8,800,000","$0","$8,800,000","2001","20010101","employment-related offenses","wage and hour violation","","overtime violation","state","private litigation","","civil","","multiple","multiple","multiple","settlement","","","","","","","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","https://www.sec.gov/Archives/edgar/data/1051848/000095015301500415/p64465e10-k.htm","In 2001 the company paid $8.8 million to settle a series of class action lawsuits filed in several state courts in California concerning overtime pay for store managers and assistant store managers."
"CSK Auto","O'Reilly Automotive","$215,000","$0","$215,000","2015","20150129","employment-related offenses","wage and hour violation","","off-the-clock work","federal","private litigation","","civil","","Northern District of Ohio","12-cv-2905","Pearson et al v. CSK Auto, Inc.","settlement","","","","","","","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","",""
"Ozark Automotive Distributors, Inc.","O'Reilly Automotive","$30,847","$0","$30,847","2018","20180318","employment-related offenses","Family and Medical Leave Act","","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1842399","","","North Carolina","Greensboro","4750 McConnell Center Dr.","27405","4413","4413: Automotive Parts, Accessories, and Tire Stores","USA","Missouri","publicly traded","ORLY","retailing","retail-auto parts","August 24, 2018 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
