"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Owens Corning","Owens Corning","$50,000","$0","$50,000","2001","20011107","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20475-001","","","Texas","New Braunfels","","78130","332996","332996: Fabricated Pipe and Pipe Fitting Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Owens Corning","Owens Corning","$10,205","$0","$10,205","2000","20000524","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","16-CA-20294-001","","","Texas","New Braunfels","","78130","339999","339999: All Other Miscellaneous Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Owens Corning Cultured Stone","Owens Corning","$17,500","$0","$17,500","2006","20060607","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-36509-001","","","Ohio","Dover","","44622","313320","313320: Fabric Coating Mills","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"FIBERTEK INSULATION LLC","Owens Corning","$34,189","$0","$34,189","2008","20080806","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Florida","LAKELAND","2222 W. BELLA VISTA STREET","33810","327993","327993: Mineral Wool Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"THERMAFIBER INC","Owens Corning","$7,000","$0","$7,000","2008","20080314","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Indiana","WABASH","3711 MILL STREET","46992","327993","327993: Mineral Wool Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWENS CORNING","Owens Corning","$16,500","$0","$16,500","2007","20070503","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","NEWARK","400 CASE AVENUE","43055","327993","327993: Mineral Wool Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWENS CORNING","Owens Corning","$9,500","$0","$9,500","2004","20040730","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","COMPTON","1501 N TAMARIND AVE","90222","324122","324122: Asphalt Shingle and Coating Materials Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWENS CORNING","Owens Corning","$5,000","$0","$5,000","2003","20030304","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","NEWARK","400 CASE AVENUE","43055","327993","327993: Mineral Wool Manufacturing","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWENS CORNING","Owens Corning","$92,500","$0","$92,500","2001","20010215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Colorado","DENVER","5201 FOX ST.","80216","000000","","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OWENS CORNING","Owens Corning","$11,100","$0","$11,100","2001","20010215","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","NEWARK","400 CASE AVENUE","43055","000000","","USA","Ohio","publicly traded","OC","building materials","building materials","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
