"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Oxbow Carbon and Minerals LLC","Oxbow Corporation","$276,250","$0","$276,250","2009","20090630","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","https://www.treasury.gov/resource-center/sanctions/OFAC-Enforcement/Documents/06302009.pdf",""
"OXBOW CALCINING L.L.C.","Oxbow Corporation","$18,900","$0","$18,900","2008","20080922","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Oklahoma","KREMLIN","11826 N. 30TH ST.","73753","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"OXBOW CARBON & MINERALS","Oxbow Corporation","$9,000","$0","$9,000","2007","20070424","environment-related offenses","environmental violation","","air pollution violation","state","agency action","Indiana Department of Environmental Management","civil","","","","","","Indiana","Aurora","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","http://www.in.gov/idem/oe/cause/AO/16357-A.htm",""
"Oxbow Calcining, LLC","Oxbow Corporation","$16,000","$0","$16,000","2019","20191218","environment-related offenses","environmental violation","","","state","agency action","Louisiana Department of Environmental Quality","civil","","","","","","Louisiana","","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","https://deq.louisiana.gov/assets/docs/General/Settlement_Agreements/2019/Oxbow0012_Final.pdf",""
"Oxbow Calcining LLC","Oxbow Corporation","$31,200","$0","$31,200","2019","20190819","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2019.pdf",""
"Oxbow Calcining LLC","Oxbow Corporation","$32,004","$0","$32,004","2008","20080605","environment-related offenses","environmental violation","","","state","agency action","Texas Commission on Environmental Quality","civil","","","","","","Texas","","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","https://www.tceq.texas.gov/assets/public/compliance/enforcement/enf_reports/AER/historical/Annual-Enforcement-Report-FY2008.pdf",""
"Oxbow Carbon & Minerals LLC","Oxbow Corporation","$5,000","$0","$5,000","2005","20050823","environment-related offenses","environmental violation","","air pollution","local","agency action","South Coast (CA) Air Quality Management District ","civil","","","","","","California","","","","","","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","http://www3.aqmd.gov/hb/2005/December/051213a.html",""
"Oxbow Midwest Calcinating, LLC","Oxbow Corporation","$118,326","$0","$118,326","2013","20130930","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","05-2013-0084","","","Illinois","LEMONT","12308 S. NEW AVE.","60439-3686","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Oxbow Calcining LLC","Oxbow Corporation","$66,666","$0","$66,666","2012","20120502","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2012-0510","","","Oklahoma","KREMLIN","2 MI S OF KREMLIN ON HWY 81","73753","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
"Oxbow Calcining LLC","Oxbow Corporation","$66,666","$0","$66,666","2012","20120502","environment-related offenses","environmental violation","","","federal","agency action","Environmental Protection Agency","civil","","","06-2012-0511","","","Louisiana","BATON ROUGE","2200 BROOKLAWN DR","70807","324199","324199: All Other Petroleum and Coal Products Manufacturing","USA","Florida","privately held","","miscellaneous energy products and systems","energy products","Extracted from a download of the EPA's Enforcement and Compliance History Online (ECHO) ICIS FE&C file downloaded on 3/02/2022, available at http://echo.epa.gov/tools/data-downloads#downloads",""
