"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"PACCAR","Paccar","$225,000","$0","$225,000","2013","20130603","financial offenses","accounting fraud or deficiencies","","Commercial truck manufacturer PACCAR and a subsidiary agreed to pay $225,000 to settle allegations of  various accounting deficiencies that clouded their financial reporting to investors in the midst of the financial crisis.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","https://www.sec.gov/News/PressRelease/Detail/PressRelease/1365171575142",""
"PACCAR Inc.","Paccar","$38,494","$0","$38,494","2014","20140322","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1716091","","","Washington","Mount Vernon","","98273","336120","336120: Heavy Duty Truck Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PACCAR Inc.","Paccar","$17,735","$0","$17,735","2014","20140223","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1723602","","","Washington","Renton","","98057","336120","336120: Heavy Duty Truck Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"PACCAR, INC., DBA KENWORTH TRUCK COMPANY","Paccar","$6,750","$0","$6,750","2006","20060905","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CHILLICOTHE","65 KENWORTH DRIVE","45601","488490","488490: Other Support Activities for Road Transportation","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PACCAR Technical Center","Paccar","$15,484","$0","$15,484","2014","20140401","employment-related offenses","wage and hour violation","","overtime violation","state","agency action","Washington State Department of Labor & Industries","civil","","","87217","","","Washington","","","","","","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Contained in data obtained on May 15, 2017 in response to an open records request. ",""
"PACCAR Inc.","Paccar","$1,709,325","$0","$1,709,325","2019","20190806","financial offenses","economic sanction violation","","","federal","agency action","Office of Foreign Assets Control","civil","","","","","","","","","","","","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","https://www.treasury.gov/resource-center/sanctions/CivPen/Documents/20190806_paccar.pdf",""
"PACCAR INC","Paccar","$5,400","$0","$5,400","2016","20161121","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","RENTON","1601 8TH STREET NORTH","98057","336120","336120: Heavy Duty Truck Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PACCAR INC","Paccar","$8,000","$0","$8,000","2017","20170505","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Washington","MOUNT VERNON","12479 FARM TO MARKET ROAD","98273","541712","541712: Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PACCAR INC.","Paccar","$11,641","$0","$11,641","2018","20180822","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CHILLICOTHE","65 KENWORTH DRIVE","45601","336211","336211: Motor Vehicle Body Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PACCAR INC","Paccar","$7,000","$0","$7,000","2019","20190117","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Kentucky","PLEASURE RIDGE PARK","10901 GREENBELT HWY","40258","336320","336320: Motor Vehicle Electrical and Electronic Equipment Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"PACCAR, INC.","Paccar","$13,260","$0","$13,260","2019","20190422","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Ohio","CHILLICOTHE","65 KENWORTH DRIVE","45601","336211","336211: Motor Vehicle Body Manufacturing","USA","Washington","publicly traded","PCAR","motor vehicles","motor vehicles","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
