"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Boston and Maine Corporation","Pan Am Railways","$32,725","$0","$32,725","2002","20020530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BOSTON AND MAINE CORPORATION","Pan Am Railways","$12,800","$0","$12,800","2015","20150923","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$9,125","$0","$9,125","2011","20110210","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"BOSTON AND MAINE CORPORATION","Pan Am Railways","$8,500","$0","$8,500","2015","20150923","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$7,300","$0","$7,300","2012","20120926","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$7,200","$0","$7,200","2004","20040929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2004 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"BOSTON AND MAINE CORPORATION","Pan Am Railways","$6,000","$0","$6,000","2015","20150923","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L17311#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$5,600","$0","$5,600","2014","20140929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$5,425","$0","$5,425","2012","20120926","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$5,175","$0","$5,175","2011","20110210","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Boston and Maine Corporation","Pan Am Railways","$5,160","$0","$5,160","2006","20060626","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2006 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Boston and Maine Corporation","Pan Am Railways","$5,000","$0","$5,000","2003","20030528","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Boston and Maine Corporation","Pan Am Railways","$5,000","$0","$5,000","2003","20030528","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maine Central Railroad","Pan Am Railways","$22,500","$0","$22,500","2014","20140929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$15,000","$0","$15,000","2011","20110210","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L01494#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$12,000","$0","$12,000","2002","20020530","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2002 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maine Central Railroad","Pan Am Railways","$11,800","$0","$11,800","2013","20130927","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04899#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$9,200","$0","$9,200","2014","20140929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$7,500","$0","$7,500","2014","20140929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L16190#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$7,300","$0","$7,300","2012","20120926","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/eLib/details/L04190#p1_z5_gD_lEA",""
"Maine Central Railroad","Pan Am Railways","$5,500","$0","$5,500","2003","20030528","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maine Central Railroad","Pan Am Railways","$5,000","$0","$5,000","2003","20030612","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","Taken from the Federal Railroad Administration's FY2003 safety penalty report obtained through a Freedom of Information Act request. A copy is available upon request. ",""
"Maine Central Railroad Company","Pan Am Railways","$15,500","$0","$15,500","2016","20160929","safety-related offenses","railroad safety violation","","","federal","agency action","Federal Railroad Administration","civil","","","","","","","","","","","","USA","Massachusetts","privately held","","railroads","railroads","https://www.fra.dot.gov/Elib/Document/16831","Year is fiscal year."
