"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Hussman Corporation","Panasonic","$147,569","$0","$147,569","2010","20100721","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1607274","","","New Jersey","Piscataway","","08854","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Hussman Corporation","Panasonic","$15,209","$0","$15,209","2010","20100721","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1561332","","","Texas","Houston","","77086","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Hussman Corporation","Panasonic","$10,000","$0","$10,000","2004","20041130","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-27685-001","","","Missouri","Bridgeton","","63044","335222","335222: Household Refrigerator and Home Freezer Manufacturing","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Panasonic Corp.","Panasonic","$56,500,000","$0","$56,500,000","2013","20130718","competition-related offenses","price-fixing or anti-competitive practices","","Panasonic Corp. and its subsidiary, SANYO Electric Co. Ltd., agreed to plead guilty and to pay a total of $56.5 million in criminal fines for their roles in separate price-fixing conspiracies involving automotive parts and battery cells.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.justice.gov/opa/pr/panasonic-and-its-subsidiary-sanyo-agree-plead-guilty-separate-price-fixing-conspiracies",""
"Panasonic Corp.","Panasonic","$49,100,000","$0","$49,100,000","2010","20100930","competition-related offenses","price-fixing or anti-competitive practices","","Panasonic Corporation and a Whirlpool Corporation subsidiary, Embraco North America Inc., agreed to plead guilty and to pay a total of $140.9 million in criminal fines for their role in an international conspiracy to fix the prices of refrigerant compressors used in refrigerators and freezers in homes and businesses.","federal","agency action","Justice Department Antitrust Division","criminal","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.justice.gov/opa/pr/panasonic-corp-and-whirlpool-corp-subsidiary-agree-plead-guilty-role-price-fixing-conspiracy",""
"HUSSMANN CORP","Panasonic","$7,350","$0","$7,350","2011","20110725","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","CHINO","13770 RAMONA AVE","91710","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUSSMANN CORP","Panasonic","$18,900","$0","$18,900","2008","20080402","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","California","LOS ANGELES","2511 DALY ST","90031","811310","811310: Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Main","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"HUSSMANN CORPORATION","Panasonic","$5,312","$0","$5,312","2004","20040519","safety-related offenses","workplace safety or health violation","","","federal","agency action","Occupational Safety & Health Administration","civil","","","","","","Missouri","BRIDGETON","12999 ST. CHARLES ROCK ROAD","63044","333415","333415: Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","Extracted from a download of OSHA's Enforcment Data downloaded on 3/02/2022, available at https://enforcedata.dol.gov/views/data_catalogs.php",""
"Panasonic Avionics Corporation","Panasonic","$137,400,000","$0","$137,400,000","2018","20180430","competition-related offenses","Foreign Corrupt Practices Act","","Panasonic Avionics Corporation (PAC), a subsidiary of multinational electronics company Panasonic Corporation, agreed to pay a $137.4 million criminal penalty to resolve charges arising out of a scheme to retain consultants for improper purposes and conceal payments to third-party sales agents, in violation of the accounting provisions of the Foreign Corrupt Practices Act.","federal","agency action","Justice Department Criminal Division","criminal","deferred prosecution agreement","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.justice.gov/opa/pr/panasonic-avionics-corporation-agrees-pay-137-million-resolve-foreign-corrupt-practices-act",""
"Panasonic Corp.","Panasonic","$143,000,000","$0","$143,000,000","2018","20180430","competition-related offenses","Foreign Corrupt Practices Act","","The Securities and Exchange Commission announced that Japan-based Panasonic Corp. would pay more than $143 million to resolve Foreign Corrupt Practices Act and accounting fraud violations involving its global avionics business.","federal","agency action","Securities and Exchange Commission","civil","","","","","","","","","","","","Japan","","publicly traded","","electrical and electronic equipment","consumer electronics","https://www.sec.gov/news/press-release/2018-73",""
