"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"PDC Energy Inc.","PDC Energy","$22,500,000","$0","$22,500,000","2017","20171031","environment-related offenses","environmental violation","","PDC Energy agreed to pay a fine of $2.5 million and spend $19.7 million on air pollution controls to resolve allegations that it violated rules regarding the emission of volatile organic compounds from its oil and gas operations.","federal","agency action","Environmental Protection Agency referral to the Justice Department","civil","","","","","","","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://www.epa.gov/enforcement/pdc-energy-inc-clean-air-act-settlement",""
"SRC Energy, Inc.","PDC Energy","$723,236","$0","$723,236","2019","20190417","government-contracting-related offenses","federal leasing royalty violation","","","federal","agency action","U.S. Attorney-District of Colorado","civil","","","","","","","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://www.justice.gov/usao-co/pr/us-attorney-s-office-resolves-mineral-trespass-investigation-against-colorado-oil-and-gas",""
"PDC Energy, Inc.","PDC Energy","$688,500","$0","$688,500","2020","20200616","government-contracting-related offenses","federal leasing royalty violation","","","federal","agency action","U.S. Attorney-District of Colorado","civil","","","","","","","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://www.justice.gov/usao-co/pr/denver-company-pays-688500-resolve-mineral-trespass-investigation",""
"PDC Energy","PDC Energy","$14,700","$0","$14,700","2020","20200511","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$12,950","$0","$12,950","2019","20190708","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$11,340","$0","$11,340","2016","20160809","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$10,500","$0","$10,500","2016","20160427","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$16,800","$0","$16,800","2016","20160226","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$7,650","$0","$7,650","2015","20150326","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$57,400","$0","$57,400","2015","20150120","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$9,000","$0","$9,000","2014","20141028","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$24,000","$0","$24,000","2014","20140523","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$67,000","$0","$67,000","2014","20140114","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$11,550","$0","$11,550","2013","20130420","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cdphe.colorado.gov/compliance-and-enforcement/enforcement-action-reports",""
"PDC Energy","PDC Energy","$6,600","$0","$6,600","2010","20100708","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"PDC Energy","PDC Energy","$26,400","$0","$26,400","2010","20100702","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"PDC Energy","PDC Energy","$17,850","$0","$17,850","2009","20090828","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"PDC Energy","PDC Energy","$11,620","$0","$11,620","2009","20090730","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"SRC Energy Inc.","PDC Energy","$23,800","$0","$23,800","2009","20090707","environment-related offenses","environmental violation","","air quality violation","state","agency action","Colorado Department of Public Health & Environment","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","Contained in data received from the agency on October 20, 2020 in response to an open records request.",""
"SRC Energy Inc.","PDC Energy","$6,318","$0","$6,318","2020","20200715","environment-related offenses","environmental violation","","","state","agency action","Colorado Oil & Gas Conservation Commission","civil","","","","","","Colorado","","","","","","USA","Colorado","publicly traded","PDCE","oil and gas","oil & gas","https://cogcc.state.co.us/documents/reg/Enforcement/2020_3Q_HB1356_Report.pdf",""
