"Company","Parent Company","Penalty Amount","Subtraction From Penalty","Penalty Amount Adjusted For Eliminating Multiple Counting","Penalty Year","Penalty Date","Offense Group","Primary Offense","Secondary Offense","Description","Level of Government","Action Type","Agency","Civil/Criminal","Prosecution Agreement","Court","Case ID","Private Litigation Case Title","Lawsuit Resolution","Facility State","City","Address","Zip","NAICS Code","NAICS Translation","HQ Country of Parent","HQ State of Parent","Ownership Structure","Parent Company Stock Ticker","Major Industry of Parent","Specific Industry of Parent","Info Source","Notes"
"Penske Truck Leasing Co., L.P.","Penske Truck Leasing","$300,000","$0","$300,000","2018","20180927","employment-related offenses","employment discrimination","","","federal","agency action","Office of Federal Contract Compliance Programs","civil","","","","","","Pennsylvania","Reading","","","","","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","https://www.dol.gov/ofccp/foia/files/20180927Penske-CA-R001936353-MA-Redacted.pdf",""
"PENSKE LOGISTICS","Penske Truck Leasing","$63,895","$0","$63,895","2015","20150709","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","32-CA-143215","","","California","Patterson","","","","","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Penske Logistics, Inc.","Penske Truck Leasing","$105,000","$0","$105,000","2002","20020814","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","14-CA-26890-001","","","Missouri","Fenton","","63026","484110","484110: General Freight Trucking, Local","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Penske Logistics, LLC","Penske Truck Leasing","$42,556","$0","$42,556","2011","20110605","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1603335","","","California","Rancho Cucamonga","","91730","488510","488510: Freight Transportation Arrangement","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Penske Logistics, LLC","Penske Truck Leasing","$20,167","$0","$20,167","2016","20161003","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","08-CA-172148","","","Ohio","Macedonia","","","","","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","Extracted from a spreadsheet obtained from the NLRB through a Freedom of Information Act request fulfilled on 5/16/2017.",""
"Penske Logistics LLC/Penske Truck Leasing","Penske Truck Leasing","$30,306","$0","$30,306","2011","20111121","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1624574","","","Pennsylvania","Reading","","19603","541614","541614: Process, Physical Distribution, and Logistics Consulting Services","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Penske Truck Leasing","Penske Truck Leasing","$5,238","$0","$5,238","2005","20050327","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1392303","","","Texas","Laredo","","78045","339999","339999: All Other Miscellaneous Manufacturing","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
"Penske Truck Leasing Co.","Penske Truck Leasing","$26,587","$0","$26,587","2003","20030227","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","06-CA-33228-001","","","Pennsylvania","Pittsburgh","","15225","488490","488490: Other Support Activities for Road Transportation","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Penske Truck Leasing Co. L.P.","Penske Truck Leasing","$13,174","$0","$13,174","2010","20100526","employment-related offenses","labor relations violation","","back pay award in unfair labor practices case","federal","agency action","National Labor Relations Board","civil","","","09-CA-45444-001","","","West Virginia","Huntington","","25701","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","Extracted from an NLRB dataset covering 1999-2011 downloaded at https://catalog.data.gov/dataset/nlrb-cats-final-c-case-data-bulk-19990101-20110930-in-xml",""
"Penske Truck Leasing Co., L.P.","Penske Truck Leasing","$47,688","$0","$47,688","2009","20090101","employment-related offenses","wage and hour violation","Fair Labor Standards Act","","federal","agency action","Labor Department Wage and Hour Division","civil","","","1544938","","","Pennsylvania","Reading","","19603","484121","484121: General Freight Trucking, Long-Distance, Truckload","USA","Pennsylvania","joint venture (owned by Penske Corporation, Penske Automotive Group, GE Capital and Mitsui)","","miscellaneous services","truck leasing","March 7, 2017 download of a dataset posted by the Wage and Hour Division at https://enforcedata.dol.gov/views/data_summary.php","Date and year are the Findings End Date in the dataset posted by the Wage and Hour Division, which does not provide case opening or closing dates. The company name is the Legal Name provided by the dataset unless that field is blank, in which case the Trade Name is used. The dataset provides only one address and does not indicate whether it is the company headquarters address or the establishment address. The penalty amount is the total of civil monetary penalties and mandated back wages. The original dataset provides a breakdown."
